sequence,run_id,year,mode,bucket_mode,model,from_date,to_date,preset,tester_ini,log_folder,legacy_log_folder,trades,wins,win_rate,net_profit,profit_factor,expectancy_money,gross_expectancy_r,net_expectancy_r,average_win_r,average_loss_r,max_drawdown_money_closed_trade,max_drawdown_percent_closed_trade,max_drawdown_r_closed_trade,max_consecutive_losses,average_holding_minutes,average_mfe_r,average_mae_r,long_trades,short_trades,average_cost_r,report_net_profit,report_balance_max_drawdown,report_equity_max_drawdown,report_balance_relative_drawdown,report_equity_relative_drawdown,report_profit_factor,report_trades,report_short,report_long,report_wins,mt5_deal_trade_count,custom_trade_count,trade_count_reconciled
1,baseline_2024,2024,baseline,0,4,2024.01.01,2024.12.31,reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2024\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2024\tester.ini,trendline_wave2_failure_baseline_2024,trendline_wave2_failure_baseline_2024_legacy,147,68,0.46258503401360546,-17.609999999999935,0.9860452953389224,-0.1197959183673465,0.0027664353741496807,0.0032512712054699367,0.7980410319113753,-0.6808715607945502,330.78999999999996,3.3078999999999996,13.814661980604313,9,106.42857142857143,0.6041532653061227,-0.5962330136054426,73,74,-0.00048483583132026244,-17.61,330.79 (3.28%),352.44 (3.49%),3.28% (330.79),3.49% (352.44),0.99,147,74 (35.14%),73 (57.53%),68 (46.26%),147,147,True
2,new_bucket_only_2024,2024,new_bucket_only,1,4,2024.01.01,2024.12.31,reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2024\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2024\tester.ini,trendline_wave2_failure_new_bucket_only_2024,trendline_wave2_failure_new_bucket_only_2024_legacy,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.00,0.00 (0.00%),0.00 (0.00%),0.00% (0.00),0.00% (0.00),0.00,0,0 (0.00%),0 (0.00%),0 (0.00%),0,0,True
3,combined_2024,2024,combined,2,4,2024.01.01,2024.12.31,reports\backtest\runs\20260815_trendline_wave2_failure\combined_2024\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\combined_2024\tester.ini,trendline_wave2_failure_combined_2024,trendline_wave2_failure_combined_2024_legacy,147,68,0.46258503401360546,-17.48999999999993,0.9861390689638774,-0.11897959183673422,0.002801884353741512,0.003286720185061768,0.7980410319113753,-0.6808055987692337,330.78999999999996,3.3078999999999996,13.814661980604315,9,106.42857142857143,0.6041887142857145,-0.5961556462585037,73,74,-0.00048483583132026244,-17.49,330.79 (3.28%),352.44 (3.49%),3.28% (330.79),3.49% (352.44),0.99,147,74 (35.14%),73 (57.53%),68 (46.26%),147,147,True
4,baseline_2025,2025,baseline,0,4,2025.01.01,2025.12.31,reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2025\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2025\tester.ini,trendline_wave2_failure_baseline_2025,trendline_wave2_failure_baseline_2025_legacy,173,75,0.43352601156069365,-545.9599999999999,0.6864785400084993,-3.155838150289017,-0.1312653468208093,-0.13165618682722438,0.7063354617409849,-0.7729763260375886,548.1899999999999,5.4818999999999996,22.914021321109818,7,105.8092485549133,0.5494626763005779,-0.6556323005780348,73,100,0.0003908400064151275,-545.96,548.19 (5.48%),549.69 (5.49%),5.48% (548.19),5.49% (549.69),0.69,173,100 (37.00%),73 (52.05%),75 (43.35%),173,173,True
5,new_bucket_only_2025,2025,new_bucket_only,1,4,2025.01.01,2025.12.31,reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2025\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2025\tester.ini,trendline_wave2_failure_new_bucket_only_2025,trendline_wave2_failure_new_bucket_only_2025_legacy,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.00,0.00 (0.00%),0.00 (0.00%),0.00% (0.00),0.00% (0.00),0.00,0,0 (0.00%),0 (0.00%),0 (0.00%),0,0,True
6,combined_2025,2025,combined,2,4,2025.01.01,2025.12.31,reports\backtest\runs\20260815_trendline_wave2_failure\combined_2025\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\combined_2025\tester.ini,trendline_wave2_failure_combined_2025,trendline_wave2_failure_combined_2025_legacy,172,75,0.436046511627907,-522.9999999999998,0.6963098452515754,-3.0406976744186034,-0.1261928255813954,-0.1265859379134292,0.7063354617409849,-0.7705973293988008,525.2299999999998,5.252299999999998,21.910282321109822,7,105.61046511627907,0.5526572267441858,-0.6536450290697675,73,99,0.0003931123320338199,-523.00,525.23 (5.25%),526.73 (5.27%),5.25% (525.23),5.27% (526.73),0.70,172,99 (37.37%),73 (52.05%),75 (43.60%),172,172,True
7,baseline_2026,2026,baseline,0,4,2026.01.01,2026.08.14,reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2026\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2026\tester.ini,trendline_wave2_failure_baseline_2026,trendline_wave2_failure_baseline_2026_legacy,36,17,0.4722222222222222,32.98999999999998,1.1148037305122496,0.9163888888888884,0.03324024999999997,0.031956646638413924,0.7846482134103641,-0.6415042288943835,92.66,0.9266,3.941124348993289,4,119.72222222222223,0.5751431944444444,-0.6189484722222222,15,21,0.0012836033615860525,32.99,92.66 (0.92%),112.22 (1.11%),0.92% (92.66),1.11% (112.22),1.11,36,21 (42.86%),15 (53.33%),17 (47.22%),36,36,True
8,new_bucket_only_2026,2026,new_bucket_only,1,4,2026.01.01,2026.08.14,reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2026\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2026\tester.ini,trendline_wave2_failure_new_bucket_only_2026,trendline_wave2_failure_new_bucket_only_2026_legacy,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.00,0.00 (0.00%),0.00 (0.00%),0.00% (0.00),0.00% (0.00),0.00,0,0 (0.00%),0 (0.00%),0 (0.00%),0,0,True
9,combined_2026,2026,combined,2,4,2026.01.01,2026.08.14,reports\backtest\runs\20260815_trendline_wave2_failure\combined_2026\preset.set,reports\backtest\runs\20260815_trendline_wave2_failure\combined_2026\tester.ini,trendline_wave2_failure_combined_2026,trendline_wave2_failure_combined_2026_legacy,36,17,0.4722222222222222,32.98999999999998,1.1148037305122496,0.9163888888888884,0.03324024999999997,0.031956646638413924,0.7846482134103641,-0.6415042288943835,92.66,0.9266,3.941124348993289,4,119.72222222222223,0.5751431944444444,-0.6189484722222222,15,21,0.0012836033615860525,32.99,92.66 (0.92%),112.22 (1.11%),0.92% (92.66),1.11% (112.22),1.11,36,21 (42.86%),15 (53.33%),17 (47.22%),36,36,True
