run_id,year,mode,bucket,reason,count
baseline_2024,2024,baseline,legacy,candidate_invalid_spread_guard,2419
baseline_2024,2024,baseline,legacy,invalid_state_transition_SIGNAL_CONSUMED_to_INVALIDATED,9
baseline_2024,2024,baseline,legacy,candidate_invalid_invalid_stop_distance,468
baseline_2024,2024,baseline,legacy,symbol_position_cap,1
baseline_2024,2024,baseline,legacy,invalid_state_transition_INVALIDATED_to_CHILD_TREND_FLIPPED,1
baseline_2024,2024,baseline,legacy,invalid_state_transition_INVALIDATED_to_SIGNAL_CONSUMED,1
baseline_2024,2024,baseline,legacy,stale_child_flip_not_reused,1
new_bucket_only_2024,2024,new_bucket_only,new,h4_opposite_structure_update,68
combined_2024,2024,combined,legacy,candidate_invalid_spread_guard,2419
combined_2024,2024,combined,legacy,invalid_state_transition_SIGNAL_CONSUMED_to_INVALIDATED,9
combined_2024,2024,combined,legacy,candidate_invalid_invalid_stop_distance,468
combined_2024,2024,combined,legacy,symbol_position_cap,1
combined_2024,2024,combined,legacy,invalid_state_transition_INVALIDATED_to_CHILD_TREND_FLIPPED,1
combined_2024,2024,combined,legacy,invalid_state_transition_INVALIDATED_to_SIGNAL_CONSUMED,1
combined_2024,2024,combined,legacy,stale_child_flip_not_reused,1
combined_2024,2024,combined,new,h4_opposite_structure_update,68
baseline_2025,2025,baseline,legacy,candidate_invalid_spread_guard,2562
baseline_2025,2025,baseline,legacy,candidate_invalid_invalid_stop_distance,406
baseline_2025,2025,baseline,legacy,stale_child_flip_not_reused,1
baseline_2025,2025,baseline,legacy,symbol_position_cap,1
new_bucket_only_2025,2025,new_bucket_only,new,h4_opposite_structure_update,41
combined_2025,2025,combined,legacy,candidate_invalid_spread_guard,2562
combined_2025,2025,combined,legacy,candidate_invalid_invalid_stop_distance,406
combined_2025,2025,combined,legacy,stale_child_flip_not_reused,1
combined_2025,2025,combined,legacy,symbol_position_cap,1
combined_2025,2025,combined,legacy,combined_same_direction_position_cap,1
combined_2025,2025,combined,new,h4_opposite_structure_update,41
baseline_2026,2026,baseline,legacy,candidate_invalid_spread_guard,1500
baseline_2026,2026,baseline,legacy,candidate_invalid_invalid_stop_distance,326
baseline_2026,2026,baseline,legacy,stale_child_flip_not_reused,5
baseline_2026,2026,baseline,legacy,invalid_state_transition_SIGNAL_CONSUMED_to_INVALIDATED,3
baseline_2026,2026,baseline,legacy,invalid_state_transition_INVALIDATED_to_CHILD_TREND_FLIPPED,1
baseline_2026,2026,baseline,legacy,invalid_state_transition_INVALIDATED_to_SIGNAL_CONSUMED,1
new_bucket_only_2026,2026,new_bucket_only,new,h4_opposite_structure_update,32
new_bucket_only_2026,2026,new_bucket_only,new,h1_wave1_origin_broken,1
combined_2026,2026,combined,legacy,candidate_invalid_spread_guard,1500
combined_2026,2026,combined,legacy,candidate_invalid_invalid_stop_distance,326
combined_2026,2026,combined,legacy,stale_child_flip_not_reused,5
combined_2026,2026,combined,legacy,invalid_state_transition_SIGNAL_CONSUMED_to_INVALIDATED,3
combined_2026,2026,combined,legacy,invalid_state_transition_INVALIDATED_to_CHILD_TREND_FLIPPED,1
combined_2026,2026,combined,legacy,invalid_state_transition_INVALIDATED_to_SIGNAL_CONSUMED,1
combined_2026,2026,combined,new,h4_opposite_structure_update,32
combined_2026,2026,combined,new,h1_wave1_origin_broken,1
