"sequence","run_id","year","mode","bucket_mode","model","from_date","to_date","preset","tester_ini","log_folder","legacy_log_folder"
"1","baseline_2024","2024","baseline","0","4","2024.01.01","2024.12.31","reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2024\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2024\tester.ini","trendline_wave2_failure_baseline_2024","trendline_wave2_failure_baseline_2024_legacy"
"2","new_bucket_only_2024","2024","new_bucket_only","1","4","2024.01.01","2024.12.31","reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2024\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2024\tester.ini","trendline_wave2_failure_new_bucket_only_2024","trendline_wave2_failure_new_bucket_only_2024_legacy"
"3","combined_2024","2024","combined","2","4","2024.01.01","2024.12.31","reports\backtest\runs\20260815_trendline_wave2_failure\combined_2024\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\combined_2024\tester.ini","trendline_wave2_failure_combined_2024","trendline_wave2_failure_combined_2024_legacy"
"4","baseline_2025","2025","baseline","0","4","2025.01.01","2025.12.31","reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2025\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2025\tester.ini","trendline_wave2_failure_baseline_2025","trendline_wave2_failure_baseline_2025_legacy"
"5","new_bucket_only_2025","2025","new_bucket_only","1","4","2025.01.01","2025.12.31","reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2025\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2025\tester.ini","trendline_wave2_failure_new_bucket_only_2025","trendline_wave2_failure_new_bucket_only_2025_legacy"
"6","combined_2025","2025","combined","2","4","2025.01.01","2025.12.31","reports\backtest\runs\20260815_trendline_wave2_failure\combined_2025\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\combined_2025\tester.ini","trendline_wave2_failure_combined_2025","trendline_wave2_failure_combined_2025_legacy"
"7","baseline_2026","2026","baseline","0","4","2026.01.01","2026.08.14","reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2026\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\baseline_2026\tester.ini","trendline_wave2_failure_baseline_2026","trendline_wave2_failure_baseline_2026_legacy"
"8","new_bucket_only_2026","2026","new_bucket_only","1","4","2026.01.01","2026.08.14","reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2026\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\new_bucket_only_2026\tester.ini","trendline_wave2_failure_new_bucket_only_2026","trendline_wave2_failure_new_bucket_only_2026_legacy"
"9","combined_2026","2026","combined","2","4","2026.01.01","2026.08.14","reports\backtest\runs\20260815_trendline_wave2_failure\combined_2026\preset.set","reports\backtest\runs\20260815_trendline_wave2_failure\combined_2026\tester.ini","trendline_wave2_failure_combined_2026","trendline_wave2_failure_combined_2026_legacy"
