run_id,year,mode,symbol,direction,state,unique_setups
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,LONG,EXPIRED,2
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,LONG,H1_STRUCTURE_RECONSTRUCTED,4
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,LONG,H4_IMPULSE_DETECTED,4
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,LONG,INVALIDATED,1
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,SHORT,EXPIRED,1
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,SHORT,H1_STRUCTURE_RECONSTRUCTED,8
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,SHORT,H1_TREND_MATURE,1
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,SHORT,H4_IMPULSE_DETECTED,8
new_bucket_only_2024,2024,new_bucket_only,AUDJPY,SHORT,INVALIDATED,7
new_bucket_only_2024,2024,new_bucket_only,EURJPY,LONG,H1_STRUCTURE_RECONSTRUCTED,3
new_bucket_only_2024,2024,new_bucket_only,EURJPY,LONG,H4_IMPULSE_DETECTED,3
new_bucket_only_2024,2024,new_bucket_only,EURJPY,LONG,INVALIDATED,3
new_bucket_only_2024,2024,new_bucket_only,EURJPY,SHORT,EXPIRED,2
new_bucket_only_2024,2024,new_bucket_only,EURJPY,SHORT,H1_STRUCTURE_RECONSTRUCTED,16
new_bucket_only_2024,2024,new_bucket_only,EURJPY,SHORT,H4_IMPULSE_DETECTED,16
new_bucket_only_2024,2024,new_bucket_only,EURJPY,SHORT,INVALIDATED,14
new_bucket_only_2024,2024,new_bucket_only,EURUSD,LONG,EXPIRED,2
new_bucket_only_2024,2024,new_bucket_only,EURUSD,LONG,H1_STRUCTURE_RECONSTRUCTED,11
new_bucket_only_2024,2024,new_bucket_only,EURUSD,LONG,H1_TREND_MATURE,1
new_bucket_only_2024,2024,new_bucket_only,EURUSD,LONG,H4_IMPULSE_DETECTED,11
new_bucket_only_2024,2024,new_bucket_only,EURUSD,LONG,INVALIDATED,9
new_bucket_only_2024,2024,new_bucket_only,EURUSD,SHORT,EXPIRED,1
new_bucket_only_2024,2024,new_bucket_only,EURUSD,SHORT,H1_STRUCTURE_RECONSTRUCTED,7
new_bucket_only_2024,2024,new_bucket_only,EURUSD,SHORT,H1_TREND_MATURE,1
new_bucket_only_2024,2024,new_bucket_only,EURUSD,SHORT,H4_IMPULSE_DETECTED,7
new_bucket_only_2024,2024,new_bucket_only,EURUSD,SHORT,INVALIDATED,6
new_bucket_only_2024,2024,new_bucket_only,GBPJPY,LONG,H1_STRUCTURE_RECONSTRUCTED,4
new_bucket_only_2024,2024,new_bucket_only,GBPJPY,LONG,H4_IMPULSE_DETECTED,4
