month,trades,wins,losses,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_sec
202501,1,1,0,100.0,1.35,0.0,1.35,0.0,1.35,1.08,263.0
202505,3,1,2,33.333333333333336,1.430233,-1.0133554999999999,-0.19882599999999995,0.7056916353638976,-0.5964779999999998,-1.29,955.6666666666666
202507,2,1,1,50.0,1.170732,-1.012346,0.07919300000000007,1.1564544138071373,0.15838600000000014,0.62,1971.0
202508,1,0,1,0.0,0.0,-1.0,-1.0,0.0,-1.0,-0.77,2229.0
202509,1,0,1,0.0,0.0,-0.187135,-0.187135,0.0,-0.187135,-0.32,2700.0
202510,1,1,0,100.0,1.474747,0.0,1.474747,0.0,1.474747,1.46,1258.0
