metric,bin,trades,wins,losses,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_sec
spread_atr,-inf-0.08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spread_atr,0.08-0.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spread_atr,0.10-0.12,9,4,5,44.44444444444444,1.356428,-0.8452383999999998,0.13328000000000004,1.2838299821683445,1.1995200000000004,0.78,1473.2222222222222
spread_atr,0.12-inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atr_ratio,-inf-0.80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atr_ratio,0.80-1.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atr_ratio,1.10-1.50,6,4,2,66.66666666666667,1.356428,-1.006173,0.5688943333333333,2.696212281585771,3.413366,3.62,1301.5
atr_ratio,1.50-inf,3,0,3,0.0,0.0,-0.7379486666666666,-0.7379486666666666,0.0,-2.2138459999999998,-2.84,1816.6666666666667
range_position,-inf-0.55,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range_position,0.55-0.75,1,1,0,100.0,1.170732,0.0,1.170732,0.0,1.170732,1.44,2700.0
range_position,0.75-0.92,8,3,5,37.5,1.4183266666666665,-0.8452383999999998,0.0035985000000000322,1.0068118059946165,0.028788000000000258,-0.6599999999999997,1319.875
range_position,0.92-inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
body_atr,-inf-0.15,3,1,2,33.333333333333336,1.474747,-1.006173,-0.17919966666666665,0.7328496193000608,-0.5375989999999999,-0.1299999999999999,1576.3333333333333
body_atr,0.15-0.35,2,1,1,50.0,1.35,-1.02,0.16500000000000004,1.3235294117647058,0.33000000000000007,0.06000000000000005,1061.0
body_atr,0.35-0.70,3,2,1,66.66666666666667,1.3004825000000002,-1.006711,0.5314180000000001,2.5836262840080226,1.5942540000000003,1.17,1236.0
body_atr,0.70-inf,1,0,1,0.0,0.0,-0.187135,-0.187135,0.0,-0.187135,-0.32,2700.0
wick_atr,-inf-0.03,1,0,1,0.0,0.0,-0.187135,-0.187135,0.0,-0.187135,-0.32,2700.0
wick_atr,0.03-0.08,2,1,1,50.0,1.170732,-1.02,0.07536600000000004,1.1477764705882354,0.1507320000000001,0.41999999999999993,2279.5
wick_atr,0.08-0.15,4,1,3,25.0,1.474747,-1.0063523333333333,-0.3860775,0.4884793496777305,-1.54431,-1.63,1405.0
wick_atr,0.15-inf,2,2,0,100.0,1.3901165,0.0,1.3901165,0.0,2.780233,2.31,190.0
ema_deviation_atr,-inf-0.25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ema_deviation_atr,0.25-0.50,2,0,2,0.0,0.0,-0.596923,-0.596923,0.0,-1.193846,-1.82,1795.5
ema_deviation_atr,0.50-0.80,4,3,1,75.0,1.3318263333333336,-1.0,0.7488697500000001,3.9954790000000004,2.9954790000000004,3.21,1612.5
ema_deviation_atr,0.80-1.20,3,1,2,33.333333333333336,1.430233,-1.016173,-0.2007043333333333,0.7037349939429606,-0.6021129999999999,-0.61,1072.6666666666667
ema_deviation_atr,1.20-inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_recent_high_atr,-inf-0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_recent_high_atr,0.00-0.25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_recent_high_atr,0.25-0.75,4,1,3,25.0,1.35,-1.010782,-0.4205865,0.4451998551616472,-1.682346,-1.5299999999999998,1398.25
distance_recent_high_atr,0.75-1.50,3,2,1,66.66666666666667,1.45249,-0.187135,0.9059483333333334,15.523445640847518,2.717845,2.37,1358.3333333333333
distance_recent_high_atr,1.50-inf,2,1,1,50.0,1.170732,-1.006711,0.0820105000000001,1.162927592923888,0.1640210000000002,-0.06000000000000005,1795.5
distance_recent_low_atr,-inf-0.50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_recent_low_atr,0.50-1.50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_recent_low_atr,1.50-3.00,3,0,3,0.0,0.0,-0.7312820000000001,-0.7312820000000001,0.0,-2.193846,-2.59,1940.0
distance_recent_low_atr,3.00-inf,6,4,2,66.66666666666667,1.356428,-1.016173,0.5655610000000001,2.669679277052234,3.3933660000000003,3.37,1239.8333333333333
recent_range_atr,-inf-1.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent_range_atr,1.00-2.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent_range_atr,2.00-4.00,4,1,3,25.0,1.35,-0.7331603333333333,-0.21237024999999998,0.6137811601918817,-0.8494809999999999,-0.8299999999999998,1608.5
recent_range_atr,4.00-inf,5,3,2,60.0,1.3585706666666668,-1.0133554999999999,0.4098002000000001,2.0109981146793996,2.0490010000000005,1.6099999999999999,1365.0
pullback_depth_atr,-inf-0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pullback_depth_atr,0.00-0.40,6,2,4,33.333333333333336,1.3227395,-0.8065479999999999,-0.09678549999999993,0.8200004835422071,-0.5807129999999996,-0.7599999999999998,1775.0
pullback_depth_atr,0.40-0.80,2,1,1,50.0,1.35,-1.0,0.17500000000000004,1.35,0.3500000000000001,0.31000000000000005,1246.0
pullback_depth_atr,0.80-1.20,1,1,0,100.0,1.430233,0.0,1.430233,0.0,1.430233,1.23,117.0
pullback_depth_atr,1.20-inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breakout_acceptance_atr,-inf-0.00,6,4,2,66.66666666666667,1.356428,-1.006173,0.5688943333333333,2.696212281585771,3.413366,3.62,1301.5
breakout_acceptance_atr,0.00-0.10,1,0,1,0.0,0.0,-1.006711,-1.006711,0.0,-1.006711,-1.5,891.0
breakout_acceptance_atr,0.10-0.30,1,0,1,0.0,0.0,-1.02,-1.02,0.0,-1.02,-1.02,1859.0
breakout_acceptance_atr,0.30-inf,1,0,1,0.0,0.0,-0.187135,-0.187135,0.0,-0.187135,-0.32,2700.0
up_pressure,-inf-0.40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_pressure,0.40-0.52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_pressure,0.52-0.65,5,1,4,20.0,1.35,-0.801548,-0.37123839999999997,0.42106024841930867,-1.8561919999999998,-2.3299999999999996,1465.0
