day_of_week,trades,wins,losses,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_sec
1,1,0,1,0.0,0.0,-1.006711,-1.006711,0.0,-1.006711,-1.5,891.0
3,1,0,1,0.0,0.0,-1.02,-1.02,0.0,-1.02,-1.02,1859.0
4,6,4,2,66.66666666666667,1.356428,-1.006173,0.5688943333333333,2.696212281585771,3.413366,3.62,1301.5
5,1,0,1,0.0,0.0,-0.187135,-0.187135,0.0,-0.187135,-0.32,2700.0
