exit_reason,trades,wins,losses,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_sec
SL,4,0,4,0.0,0.0,-1.00976425,-1.00976425,0.0,-4.039057,-4.109999999999999,1555.25
TIMEOUT,2,1,1,50.0,1.170732,-0.187135,0.4917985,6.256082507280841,0.983597,1.1199999999999999,2700.0
TP,3,3,0,100.0,1.4183266666666665,0.0,1.4183266666666665,0.0,4.25498,3.77,546.0
