bucket,trades,wins,losses,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_sec
BREAKOUT_ACCEPTANCE_RETEST_LONG,1,0,1,0.0,0.0,-0.187135,-0.187135,0.0,-0.187135,-0.32,2700.0
M1_PULLBACK_EXECUTION_LONG,8,4,4,50.0,1.356428,-1.00976425,0.17333187500000005,1.3433115700026022,1.3866550000000004,1.1,1319.875
