Mode,Period,From,To,Magic,Ini,Set,Month,ProfitR
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,2025-06,0.484776
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,2025-07,-3.410336
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,2025-08,2.337959
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,2025-09,-6.011169
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,2025-10,-6.657663
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,2025-11,-1.0
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,2026-01,-0.207217
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,2026-02,3.791604
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,2026-03,-0.815958
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,2025-10,-3.625714
