session,trend_mode,min_breakout_persist,min_spread_z,max_spread_pips,cooldown_bars,stop_loss_pips,target_r,max_hold_bars,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
london_ny,ema_up,1,0.0,2.0,0,15.0,1.2,12,398,1.0143447519092414,0.011289782244551282,0.535175879396985,156,1.7440993788819876,-0.10790598290598023,0.4551282051282051,0.22310292824204064
london_ny,ema_up,1,0.0,2.0,0,15.0,1.0,12,411,1.0474766156650708,-0.015620437956207812,0.5450121654501217,162,1.8111801242236025,-0.11831275720164348,0.4691358024691358,0.2083040370544244
london_ny,ema_up,1,0.0,2.0,0,15.0,1.2,6,430,1.0959001088466678,-0.012403100775197795,0.49534883720930234,177,1.9788819875776398,-0.1258757062146893,0.4350282485875706,0.1899655569982389
london_ny,ema_up,1,0.0,2.0,3,15.0,1.2,6,377,0.9607985416703537,0.0026171529619780512,0.506631299734748,153,1.7105590062111802,-0.1622222222222201,0.4117647058823529,0.18619117450144002
london_ny,ema_up,1,0.0,2.0,3,15.0,1.0,6,377,0.9607985416703537,-0.02334217506631463,0.5119363395225465,153,1.7105590062111802,-0.1561655773420464,0.42483660130718953,0.18529724062373323
london_ny,ema_up,1,0.0,2.0,3,15.0,1.2,12,355,0.9047307222625347,0.01231924882628612,0.5352112676056338,143,1.5987577639751553,-0.15687645687645257,0.42657342657342656,0.18223349466098487
london_ny,ema_up,1,0.0,2.0,0,15.0,1.0,6,442,1.1264833676982027,-0.042156862745100436,0.5,182,2.0347826086956524,-0.12322344322344184,0.44505494505494503,0.18032689896628507
london_ny,ema_up,2,0.0,2.0,0,15.0,1.2,12,150,0.3896560743954468,0.05271111111110486,0.54,77,0.8901376791233492,0.02017316017316629,0.5324675324675324,0.17779811242598842
london_ny,any,2,0.0,2.0,3,15.0,1.2,12,516,1.3084800084527133,-0.06935400516796197,0.4806201550387597,194,2.24268454220688,-0.04402061855670275,0.4845360824742268,0.1771085349247094
london_ny,ema_up,1,0.0,2.0,3,15.0,1.0,12,356,0.9072792595083446,0.0013295880149776166,0.5533707865168539,143,1.5987577639751553,-0.17114219114218748,0.4405594405594406,0.17643226687246683
all,ema_up,2,0.0,2.0,0,15.0,1.2,12,206,0.5351276755030803,-0.006699029126219287,0.5048543689320388,103,1.1887472950228422,-0.021747572815529043,0.5048543689320388,0.17162747684818996
london_ny,ema_up,1,0.0,2.0,3,10.0,1.0,12,379,0.965904163532587,-0.03300791556728656,0.5620052770448549,158,1.7664596273291926,-0.21272151898733593,0.47468354430379744,0.16642318433138142
london_ny,ema_up,1,0.0,2.0,0,12.0,1.0,12,446,1.136677787315381,-0.052036621823618526,0.531390134529148,184,2.0571428571428574,-0.1581068840579702,0.483695652173913,0.16604809228996223
london_ny,any,2,0.0,2.0,3,15.0,1.0,12,517,1.3110158224225827,-0.08857511283043588,0.4990328820116054,194,2.24268454220688,-0.06773195876288825,0.5,0.16455407560667684
london_ny,ema_up,1,0.0,2.0,3,12.0,1.0,12,368,0.9378617064580641,-0.03736413043478386,0.5380434782608695,150,1.6770186335403727,-0.20216666666666583,0.4666666666666667,0.16269335578436656
london_ny,ema_up,1,0.0,2.0,3,12.0,1.0,6,382,0.9735412278994036,-0.03392233856893724,0.518324607329843,160,1.7888198757763976,-0.21604166666666705,0.43125,0.15974625823258526
london_ny,any,2,0.0,2.0,3,15.0,1.2,6,533,1.3515888459404963,-0.06007504690431931,0.4709193245778612,202,2.335166378998916,-0.07491749174917867,0.504950495049505,0.15799536587775004
london_ny,ema_up,2,0.0,2.0,0,15.0,1.0,12,151,0.39225378155808316,0.02905077262692459,0.5562913907284768,78,0.9016979087223538,-0.026581196581190812,0.5384615384615384,0.15396009575804337
all,ema_up,2,0.0,2.0,0,15.0,1.0,12,208,0.540323089828353,-0.0027243589743645544,0.5288461538461539,104,1.2002885308968503,-0.06884615384614935,0.5096153846153846,0.15394282309387664
london_ny,any,2,0.0,2.0,3,15.0,1.0,6,533,1.3515888459404963,-0.06614133833646386,0.48592870544090055,202,2.335166378998916,-0.08448844884488882,0.5099009900990099,0.15372069544635403
london_ny,ema_up,1,0.0,2.0,3,10.0,1.0,6,388,0.9888412017167382,-0.02688144329897097,0.5412371134020618,166,1.8559006211180125,-0.24963855421687164,0.4457831325301205,0.15169477120907635
all,ema_up,2,0.0,2.0,0,12.0,1.2,12,214,0.5559093328041708,-0.04182242990654595,0.4953271028037383,108,1.246453474392883,-0.06651234567901237,0.5092592592592593,0.14857910609008224
london_ny,any,2,0.0,2.0,0,15.0,1.2,12,609,1.544310707650586,-0.05956212370005683,0.48440065681444994,231,2.6704130373700474,-0.01243867243867283,0.5064935064935064,0.14849741462254182
all,ema_up,2,0.0,2.0,0,15.0,1.2,6,213,0.5533116256415345,-0.005915492957752422,0.48826291079812206,105,1.2118297667708584,-0.06920634920635287,0.45714285714285713,0.14846380064808945
all,ema_up,2,0.0,2.0,0,15.0,1.0,6,215,0.5585070399668071,-0.005178294573647959,0.5023255813953489,106,1.2233710026448665,-0.07987421383648181,0.46226415094339623,0.14606504701632209
london_ny,any,2,0.0,2.0,3,12.0,1.0,12,542,1.3744111716693228,-0.09983087330873455,0.503690036900369,206,2.3814072973949343,-0.08171521035599186,0.5242718446601942,0.14599143265523007
london_ny,ema_up,1,0.0,2.0,3,12.0,1.2,6,381,0.9709926906535936,-0.028543307086615267,0.49868766404199477,156,1.7440993788819876,-0.24070512820512738,0.3974358974358974,0.14485054196677785
london_ny,ema_up,1,0.0,2.0,0,10.0,1.2,12,462,1.1774137885263745,-0.024978354978357552,0.5173160173160173,196,2.191304347826087,-0.1923979591836719,0.45408163265306123,0.14421645379750825
london_ny,ema_up,2,0.0,2.0,3,15.0,1.2,12,141,0.36627670993172,0.03716312056736914,0.5319148936170213,70,0.8092160719303174,-0.038380952380946666,0.5,0.1400122822092429
london_ny,any,2,0.0,2.0,3,12.0,1.2,12,539,1.366803729759714,-0.10728200371057775,0.46567717996289426,206,2.3814072973949343,-0.0873786407767025,0.48058252427184467,0.1372045763817547
london_ny,ema_up,1,0.0,2.0,0,12.0,1.2,12,432,1.1009973186552569,-0.0357253086419785,0.5069444444444444,170,1.9006211180124224,-0.22666666666666657,0.4117647058823529,0.1371791673510105
