period_id,scenario_key,variant,m15_wave_context_mode,m15_wave1_candidate,m15_wave2_candidate,m15_wave2_fib_zone,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,off,false,false,none,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,all,m15light_m5score,required_light,true,true,deep_618_786,2,0,0.0,-9.27,0,-9.27,0.0,-0.3946,-0.1973,0.0,9.27,0.0927,-1.0,0,0.0,0,0.0,2,1.0,0,0.5128,0.232,0.5,0.5,0.0,0.0,0.0
full2025_validation,all,m15light_m5score,required_light,true,true,over_786,4,2,0.5,-5.649999999999999,43.68,-49.33,0.8854652341374417,-0.23870000000000013,-0.059675000000000034,0.8811195776682104,49.33,0.49329999999999996,-0.11453476586255826,2,0.5,1,0.25,1,0.25,0,0.71495,0.740575,0.75,0.25,0.25,0.25,0.0
full2025_validation,all,m15light_m5score,required_light,true,true,room_382_618,16,5,0.3125,1.1900000000000084,142.14,-140.95,1.0084427101809152,0.07590000000000008,0.004743750000000005,1.0131512830731377,88.67999999999999,0.8867999999999999,0.0134190347316194,2,0.125,4,0.25,10,0.625,0,0.6912999999999998,0.5355500000000001,0.5625,0.4375,0.375,0.25,0.0
full2025_validation,all,m15light_m5score,required_light,true,true,room_under_382,28,12,0.42857142857142855,148.01999999999998,342.53999999999996,-194.52000000000004,1.7609500308451567,6.051,0.21610714285714286,1.7604911583948115,58.95,0.5895,2.5109414758269715,3,0.10714285714285714,10,0.35714285714285715,15,0.5357142857142857,0,0.8600071428571427,0.4711464285714286,0.6785714285714286,0.5357142857142857,0.4642857142857143,0.25,0.0
full2025_validation,all,m15score_m5req,score,false,false,none,2,1,0.5,0.5399999999999996,3.76,-3.22,1.167701863354037,0.020900000000000002,0.010450000000000001,1.158694001518603,3.22,0.0322,0.16770186335403714,0,0.0,0,0.0,2,1.0,0,0.84405,0.90625,1.0,1.0,0.0,0.0,0.0
full2025_validation,all,m15score_m5req,score,true,false,outside_beyond_impulse,11,1,0.09090909090909091,-100.89,31.98,-132.87,0.24068638518853014,-4.362400000000001,-0.39658181818181826,0.22947576656775467,100.89,1.0089000000000001,-1.0,2,0.18181818181818182,1,0.09090909090909091,8,0.7272727272727273,0,0.3982545454545454,0.659409090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.0
full2025_validation,all,m15score_m5req,score,true,false,room_under_382,2,1,0.5,22.05,30.75,-8.7,3.53448275862069,0.9389,0.46945,3.5793956043956046,8.7,0.087,2.53448275862069,0,0.0,1,0.5,1,0.5,0,0.7937,0.32145,0.5,0.5,0.5,0.5,0.0
full2025_validation,all,m15score_m5req,score,true,true,room_382_618,2,1,0.5,17.57,31.41,-13.84,2.2695086705202314,0.7400000000000001,0.37000000000000005,2.313220940550133,13.84,0.1384,1.2695086705202312,0,0.0,1,0.5,1,0.5,0,0.9363000000000001,0.59875,1.0,0.5,0.5,0.5,0.0
full2025_validation,all,m15score_m5req,score,true,true,room_under_382,1,0,0.0,-9.51,0,-9.51,0.0,-0.4,-0.4,0.0,9.51,0.0951,-1.0,0,0.0,0,0.0,1,1.0,0,0.6424,0.4,1.0,0.0,0.0,0.0,0.0
full2025_validation,all,m5accept,off,false,false,none,1,1,1.0,3.76,3.76,0,inf,0.1526,0.1526,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0,0.8838,1.4282,1.0,1.0,0.0,0.0,0.0
full2025_validation,all,m5accept,off,true,false,outside_beyond_impulse,5,0,0.0,-52.78,0,-52.78,0.0,-2.2721,-0.45442,0.0,52.78,0.5277999999999999,-1.0,1,0.2,0,0.0,4,0.8,0,0.13336,0.50624,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,m5accept,off,true,false,room_under_382,1,1,1.0,31.45,31.45,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,0,1.3029,0.1701,1.0,1.0,1.0,1.0,0.0
full2025_validation,all,m5accept,off,true,true,room_382_618,1,0,0.0,-13.62,0,-13.62,0.0,-0.5635,-0.5635,0.0,13.62,0.1362,-1.0,0,0.0,0,0.0,1,1.0,0,0.5691,0.7072,1.0,0.0,0.0,0.0,0.0
full2025_validation,all,m5accept,off,true,true,room_under_382,2,1,0.5,21.810000000000002,30.89,-9.08,3.4019823788546257,0.9005,0.45025,3.2512499999999998,9.079999999999998,0.09079999999999998,2.401982378854626,0,0.0,1,0.5,1,0.5,0,0.9714499999999999,0.24695,1.0,0.5,0.5,0.5,0.0
full2025_validation,all,m5diag,off,false,false,none,50,11,0.22,-242.84999999999994,173.64000000000001,-416.49000000000007,0.4169127710149103,-10.595199999999998,-0.21190399999999998,0.4236288664280353,242.84999999999994,2.428499999999999,-1.0,5,0.1,5,0.1,40,0.8,0,0.509228,0.55646,0.46,0.24,0.18,0.02,0.0
full2025_validation,all,m5diag,off,true,false,none,1,1,1.0,29.71,29.71,0,inf,1.3,1.3,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,0,1.3,0.3111,1.0,1.0,1.0,1.0,0.0
full2025_validation,all,m5diag,off,true,false,outside_beyond_impulse,213,50,0.2347417840375587,-824.4300000000003,1081.4099999999996,-1905.84,0.5674190907946101,-36.235999999999954,-0.1701220657276993,0.5717665633782174,859.5000000000002,8.595000000000002,-0.9591972076788832,23,0.107981220657277,33,0.15492957746478872,157,0.7370892018779343,0,0.6043112676056336,0.5770441314553991,0.49295774647887325,0.323943661971831,0.24882629107981222,0.14084507042253522,0.004694835680751174
