run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSecondaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpRequireM5InvalidationClose,InpUsePostBreakAcceptance,InpRequireFirstRetestAfterInvalidation,InpM15WaveContextMode,InpExitMode,InpStructureTargetMode
q1_base,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,base,baseline_c10,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_base.ini,fx_session_reversal_refined_m5abc_q1_base,16385,15,5,5,0,false,0,false,false,false,0,1,0
q1_nosess,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,nosess,no_session_gate_baseline,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess.ini,fx_session_reversal_refined_m5abc_q1_nosess,16385,15,5,5,1,false,0,false,false,false,0,1,0
q1_m5diag,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,m5diag,m5_abc_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5diag.ini,fx_session_reversal_refined_m5abc_q1_m5diag,16385,15,5,5,0,true,1,false,false,false,0,1,0
q1_m5score,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,m5score,m5_abc_score,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5score.ini,fx_session_reversal_refined_m5abc_q1_m5score,16385,15,5,5,0,true,2,true,false,false,0,1,0
q1_m5req,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,m5req,m5_abc_invalidation_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5req.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5req.ini,fx_session_reversal_refined_m5abc_q1_m5req,16385,15,5,5,0,true,3,true,false,false,0,1,0
q1_m5accept,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,m5accept,m5_abc_acceptance_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5accept.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m5accept.ini,fx_session_reversal_refined_m5abc_q1_m5accept,16385,15,5,5,0,true,3,true,true,true,0,1,0
q1_m15score_m5req,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,m15score_m5req,m15_wave2_score_m5_abc_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m15score_m5req.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m15score_m5req.ini,fx_session_reversal_refined_m5abc_q1_m15score_m5req,16385,15,5,5,0,true,3,true,false,false,2,1,0
q1_m15light_m5score,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,m15light_m5score,m15_wave2_required_light_m5_abc_score,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m15light_m5score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_m15light_m5score.ini,fx_session_reversal_refined_m5abc_q1_m15light_m5score,16385,15,5,5,0,true,2,false,false,false,3,1,0
q1_nosess_m5score,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,nosess_m5score,no_session_gate_m5_abc_score,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess_m5score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess_m5score.ini,fx_session_reversal_refined_m5abc_q1_nosess_m5score,16385,15,5,5,1,true,2,true,false,false,0,1,0
q1_nosess_m5req,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,nosess_m5req,no_session_gate_m5_abc_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess_m5req.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess_m5req.ini,fx_session_reversal_refined_m5abc_q1_nosess_m5req,16385,15,5,5,1,true,3,true,false,false,0,1,0
full2025_all_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_base.ini,fx_session_reversal_refined_m5abc_full2025_all_base,16385,15,5,5,0,false,0,false,false,false,0,1,0
full2025_all_nosess,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,nosess,no_session_gate_baseline,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_nosess.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_nosess.ini,fx_session_reversal_refined_m5abc_full2025_all_nosess,16385,15,5,5,1,false,0,false,false,false,0,1,0
full2025_all_m5diag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m5diag,m5_abc_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5diag.ini,fx_session_reversal_refined_m5abc_full2025_all_m5diag,16385,15,5,5,0,true,1,false,false,false,0,1,0
full2025_all_m5score,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m5score,m5_abc_score,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5score.ini,fx_session_reversal_refined_m5abc_full2025_all_m5score,16385,15,5,5,0,true,2,true,false,false,0,1,0
full2025_all_m5req,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m5req,m5_abc_invalidation_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5req.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5req.ini,fx_session_reversal_refined_m5abc_full2025_all_m5req,16385,15,5,5,0,true,3,true,false,false,0,1,0
full2025_all_m5accept,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m5accept,m5_abc_acceptance_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5accept.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m5accept.ini,fx_session_reversal_refined_m5abc_full2025_all_m5accept,16385,15,5,5,0,true,3,true,true,true,0,1,0
full2025_all_m15score_m5req,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m15score_m5req,m15_wave2_score_m5_abc_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m15score_m5req.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m15score_m5req.ini,fx_session_reversal_refined_m5abc_full2025_all_m15score_m5req,16385,15,5,5,0,true,3,true,false,false,2,1,0
full2025_all_m15light_m5score,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m15light_m5score,m15_wave2_required_light_m5_abc_score,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m15light_m5score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_m15light_m5score.ini,fx_session_reversal_refined_m5abc_full2025_all_m15light_m5score,16385,15,5,5,0,true,2,false,false,false,3,1,0
full2025_all_nosess_m5score,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,nosess_m5score,no_session_gate_m5_abc_score,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_nosess_m5score.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_nosess_m5score.ini,fx_session_reversal_refined_m5abc_full2025_all_nosess_m5score,16385,15,5,5,1,true,2,true,false,false,0,1,0
full2025_all_nosess_m5req,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,nosess_m5req,no_session_gate_m5_abc_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_nosess_m5req.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_all_nosess_m5req.ini,fx_session_reversal_refined_m5abc_full2025_all_nosess_m5req,16385,15,5,5,1,true,3,true,false,false,0,1,0
full2025_one_base,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,base,baseline_c10_reference,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_base.ini,fx_session_reversal_refined_m5abc_full2025_one_base,16385,15,5,5,0,false,0,false,false,false,0,1,0
full2025_ldn_base,full2025_validation,ldn,6,london_first120_reference,2025.01.01,2025.12.31,base,baseline_c10_reference,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_ldn_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_ldn_base.ini,fx_session_reversal_refined_m5abc_full2025_ldn_base,16385,15,5,5,0,false,0,false,false,false,0,1,0
full2025_tky_base,full2025_validation,tky,5,tokyo_first120_reference,2025.01.01,2025.12.31,base,baseline_c10_reference,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_tky_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_tky_base.ini,fx_session_reversal_refined_m5abc_full2025_tky_base,16385,15,5,5,0,false,0,false,false,false,0,1,0
