period_id,scenario_key,variant,time_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,0-30,269,67,0.24907063197026022,-964.4600000000002,1410.31,-2374.7699999999995,0.593872248680925,-42.44049999999998,-0.15777137546468395,0.5971973083530271,971.2700000000001,9.7127,-0.9929885613681058,28,0.10408921933085502,41,0.1524163568773234,200,0.7434944237918215,0,0.5905754646840148,0.5658449814126394,0.48698884758364314,0.3048327137546468,0.24535315985130113,0.12639405204460966,0.0
full2025_validation,all,base,30-60,35,8,0.22857142857142856,-124.55999999999996,175.73,-300.29,0.585200972393353,-5.393099999999999,-0.15408857142857138,0.5957378228865268,182.36999999999998,1.8236999999999997,-0.6830070735318308,4,0.11428571428571428,6,0.17142857142857143,25,0.7142857142857143,0,0.7036542857142858,0.5653742857142857,0.6285714285714286,0.45714285714285713,0.2857142857142857,0.11428571428571428,0.0
full2025_validation,all,base,60-90,9,2,0.2222222222222222,7.949999999999999,61.39,-53.440000000000005,1.14876497005988,0.30390000000000006,0.033766666666666674,1.1291103747132296,53.44,0.5344,0.14876497005988024,0,0.0,2,0.2222222222222222,7,0.7777777777777778,0,0.6441111111111111,0.6506888888888889,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111
full2025_validation,all,base,90-120,5,0,0.0,-63.82000000000001,0,-63.82000000000001,0.0,-2.791,-0.5582,0.0,63.82000000000001,0.6382000000000001,-1.0,1,0.2,0,0.0,4,0.8,0,0.11613999999999998,0.67328,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,m15light_m5score,0-30,30,11,0.36666666666666664,33.55,288.82000000000005,-255.27000000000004,1.1314294668390332,1.2917,0.04305666666666667,1.1234186890884768,109.68,1.0968,0.3058898614150255,4,0.13333333333333333,8,0.26666666666666666,18,0.6,0,0.7394233333333332,0.54724,0.6,0.43333333333333335,0.36666666666666664,0.2,0.0
full2025_validation,all,m15light_m5score,30-60,10,4,0.4,63.28,125.74,-62.46000000000001,2.013128402177393,2.6731000000000003,0.26731000000000005,2.040926791277258,44.28,0.4428,1.4290876242095754,1,0.1,4,0.4,5,0.5,0,0.86295,0.33201,0.8,0.6,0.4,0.4,0.0
full2025_validation,all,m15light_m5score,60-90,7,3,0.42857142857142855,35.19,80.14,-44.95,1.7828698553948832,1.4524,0.20748571428571427,1.7874647581869443,25.11,0.2511,1.4014336917562724,1,0.14285714285714285,2,0.2857142857142857,4,0.5714285714285714,0,0.9131142857142857,0.5235714285714286,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0
full2025_validation,all,m15light_m5score,90-120,3,1,0.3333333333333333,2.269999999999996,33.66,-31.39,1.0723160242115322,0.07640000000000002,0.025466666666666676,1.0610174906157654,31.39,0.3139,0.0723160242115322,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.6074666666666667,0.5949666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
full2025_validation,all,m15score_m5req,0-30,13,3,0.23076923076923078,-67.54,67.15,-134.69,0.4985522310490757,-2.9612000000000003,-0.22778461538461542,0.48199072859267034,94.51,0.9451,-0.7146333721299334,2,0.15384615384615385,2,0.15384615384615385,9,0.6923076923076923,0,0.5356615384615385,0.700846153846154,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0
full2025_validation,all,m15score_m5req,30-60,3,0,0.0,-25.759999999999998,0,-25.759999999999998,0.0,-1.0592000000000001,-0.3530666666666667,0.0,25.759999999999998,0.2576,-1.0,0,0.0,0,0.0,3,1.0,0,0.5526333333333334,0.5214333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
full2025_validation,all,m15score_m5req,90-120,2,1,0.5,23.06,30.75,-7.69,3.998699609882965,0.9578,0.4789,3.7754274123442477,7.690000000000001,0.07690000000000001,2.9986996098829644,0,0.0,1,0.5,1,0.5,0,0.7748999999999999,0.31555,0.5,0.5,0.5,0.5,0.0
full2025_validation,all,m5accept,0-30,5,1,0.2,-44.510000000000005,3.76,-48.269999999999996,0.07789517298529107,-1.9363000000000001,-0.38726000000000005,0.07305280291062281,44.510000000000005,0.4451,-1.0,1,0.2,0,0.0,4,0.8,0,0.34668,0.72888,0.4,0.2,0.0,0.0,0.0
full2025_validation,all,m5accept,30-60,2,1,0.5,17.270000000000003,30.89,-13.62,2.2679882525697503,0.737,0.3685,2.307897071872227,13.619999999999997,0.13619999999999996,1.2679882525697508,0,0.0,1,0.5,1,0.5,0,0.9348000000000001,0.40055,1.0,0.5,0.5,0.5,0.0
full2025_validation,all,m5accept,60-90,1,0,0.0,-5.9,0,-5.9,0.0,-0.2381,-0.2381,0.0,5.9,0.059000000000000004,-1.0,0,0.0,0,0.0,1,1.0,0,0.2127,0.254,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,m5accept,90-120,2,1,0.5,23.759999999999998,31.45,-7.69,4.0897269180754225,0.9578,0.4789,3.7754274123442477,7.690000000000001,0.07690000000000001,3.0897269180754217,0,0.0,1,0.5,1,0.5,0,0.7748999999999999,0.31555,0.5,0.5,0.5,0.5,0.0
full2025_validation,all,m5diag,0-30,269,67,0.24907063197026022,-964.4600000000002,1410.31,-2374.7699999999995,0.593872248680925,-42.44049999999998,-0.15777137546468395,0.5971973083530271,971.2700000000001,9.7127,-0.9929885613681058,28,0.10408921933085502,41,0.1524163568773234,200,0.7434944237918215,0,0.5905754646840148,0.5658449814126394,0.48698884758364314,0.3048327137546468,0.24535315985130113,0.12639405204460966,0.0
full2025_validation,all,m5diag,30-60,35,8,0.22857142857142856,-124.55999999999996,175.73,-300.29,0.585200972393353,-5.393099999999999,-0.15408857142857138,0.5957378228865268,182.36999999999998,1.8236999999999997,-0.6830070735318308,4,0.11428571428571428,6,0.17142857142857143,25,0.7142857142857143,0,0.7036542857142858,0.5653742857142857,0.6285714285714286,0.45714285714285713,0.2857142857142857,0.11428571428571428,0.0
full2025_validation,all,m5diag,60-90,9,2,0.2222222222222222,7.949999999999999,61.39,-53.440000000000005,1.14876497005988,0.30390000000000006,0.033766666666666674,1.1291103747132296,53.44,0.5344,0.14876497005988024,0,0.0,2,0.2222222222222222,7,0.7777777777777778,0,0.6441111111111111,0.6506888888888889,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111
full2025_validation,all,m5diag,90-120,5,0,0.0,-63.82000000000001,0,-63.82000000000001,0.0,-2.791,-0.5582,0.0,63.82000000000001,0.6382000000000001,-1.0,1,0.2,0,0.0,4,0.8,0,0.11613999999999998,0.67328,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,m5req,0-30,13,3,0.23076923076923078,-67.54,67.15,-134.69,0.4985522310490757,-2.9612000000000003,-0.22778461538461542,0.48199072859267034,94.51,0.9451,-0.7146333721299334,2,0.15384615384615385,2,0.15384615384615385,9,0.6923076923076923,0,0.5356615384615385,0.700846153846154,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0
full2025_validation,all,m5req,30-60,3,0,0.0,-25.759999999999998,0,-25.759999999999998,0.0,-1.0592000000000001,-0.3530666666666667,0.0,25.759999999999998,0.2576,-1.0,0,0.0,0,0.0,3,1.0,0,0.5526333333333334,0.5214333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
full2025_validation,all,m5req,90-120,2,1,0.5,23.06,30.75,-7.69,3.998699609882965,0.9578,0.4789,3.7754274123442477,7.690000000000001,0.07690000000000001,2.9986996098829644,0,0.0,1,0.5,1,0.5,0,0.7748999999999999,0.31555,0.5,0.5,0.5,0.5,0.0
full2025_validation,all,m5score,0-30,269,67,0.24907063197026022,-964.4600000000002,1410.31,-2374.7699999999995,0.593872248680925,-42.44049999999998,-0.15777137546468395,0.5971973083530271,971.2700000000001,9.7127,-0.9929885613681058,28,0.10408921933085502,41,0.1524163568773234,200,0.7434944237918215,0,0.5905754646840148,0.5658449814126394,0.48698884758364314,0.3048327137546468,0.24535315985130113,0.12639405204460966,0.0
full2025_validation,all,m5score,30-60,35,8,0.22857142857142856,-124.55999999999996,175.73,-300.29,0.585200972393353,-5.393099999999999,-0.15408857142857138,0.5957378228865268,182.36999999999998,1.8236999999999997,-0.6830070735318308,4,0.11428571428571428,6,0.17142857142857143,25,0.7142857142857143,0,0.7036542857142858,0.5653742857142857,0.6285714285714286,0.45714285714285713,0.2857142857142857,0.11428571428571428,0.0
full2025_validation,all,m5score,60-90,9,2,0.2222222222222222,7.949999999999999,61.39,-53.440000000000005,1.14876497005988,0.30390000000000006,0.033766666666666674,1.1291103747132296,53.44,0.5344,0.14876497005988024,0,0.0,2,0.2222222222222222,7,0.7777777777777778,0,0.6441111111111111,0.6506888888888889,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111
full2025_validation,all,m5score,90-120,5,0,0.0,-63.82000000000001,0,-63.82000000000001,0.0,-2.791,-0.5582,0.0,63.82000000000001,0.6382000000000001,-1.0,1,0.2,0,0.0,4,0.8,0,0.11613999999999998,0.67328,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,nosess,0-30,273,67,0.2454212454212454,-1001.3400000000003,1410.31,-2411.649999999999,0.5847904961333529,-44.149199999999986,-0.16171868131868128,0.5876669558809657,1008.1500000000002,10.081500000000002,-0.9932450528195209,28,0.10256410256410256,41,0.15018315018315018,204,0.7472527472527473,0,0.5853890109890109,0.5642578754578755,0.47985347985347987,0.30036630036630035,0.24175824175824176,0.12454212454212454,0.0
full2025_validation,all,nosess,120+,2,2,1.0,29.73,29.73,0,inf,1.3585,0.67925,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,0,0.9938,0.13525,1.0,0.5,0.5,0.5,0.0
full2025_validation,all,nosess,30-60,35,8,0.22857142857142856,-123.67999999999996,175.73,-299.41,0.5869209445242309,-5.393099999999999,-0.15408857142857138,0.5957378228865268,181.48999999999998,1.8148999999999997,-0.6814700534464707,4,0.11428571428571428,6,0.17142857142857143,25,0.7142857142857143,0,0.7036542857142858,0.5653742857142857,0.6285714285714286,0.45714285714285713,0.2857142857142857,0.11428571428571428,0.0
full2025_validation,all,nosess,60-90,9,2,0.2222222222222222,7.949999999999999,61.39,-53.440000000000005,1.14876497005988,0.30390000000000006,0.033766666666666674,1.1291103747132296,53.44,0.5344,0.14876497005988024,0,0.0,2,0.2222222222222222,7,0.7777777777777778,0,0.6441111111111111,0.6506888888888889,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111
full2025_validation,all,nosess,90-120,5,0,0.0,-63.82000000000001,0,-63.82000000000001,0.0,-2.791,-0.5582,0.0,63.82000000000001,0.6382000000000001,-1.0,1,0.2,0,0.0,4,0.8,0,0.11613999999999998,0.67328,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,nosess_m5req,0-30,13,3,0.23076923076923078,-62.46999999999999,67.15,-129.62,0.5180527696343157,-2.7076999999999996,-0.20828461538461535,0.5043565806333518,89.39,0.8939,-0.6988477458328671,2,0.15384615384615385,2,0.15384615384615385,9,0.6923076923076923,0,0.5225538461538461,0.6828000000000002,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0
full2025_validation,all,nosess_m5req,120+,10,3,0.3,-17.54,67.64999999999999,-85.19000000000001,0.7941072895879796,-0.6120999999999999,-0.06120999999999999,0.8334557723179061,26.04,0.2604,-0.67357910906298,1,0.1,2,0.2,7,0.7,0,0.7316100000000001,0.6397000000000002,0.6,0.4,0.3,0.2,0.0
full2025_validation,all,nosess_m5req,30-60,2,0,0.0,-17.06,0,-17.06,0.0,-0.6952,-0.3476,0.0,17.06,0.17059999999999997,-1.0,0,0.0,0,0.0,2,1.0,0,0.6867000000000001,0.54575,1.0,0.5,0.0,0.0,0.0
full2025_validation,all,nosess_m5req,90-120,2,1,0.5,23.06,30.75,-7.69,3.998699609882965,0.9578,0.4789,3.7754274123442477,7.690000000000001,0.07690000000000001,2.9986996098829644,0,0.0,1,0.5,1,0.5,0,0.7748999999999999,0.31555,0.5,0.5,0.5,0.5,0.0
full2025_validation,all,nosess_m5score,0-30,273,67,0.2454212454212454,-1001.3400000000003,1410.31,-2411.649999999999,0.5847904961333529,-44.149199999999986,-0.16171868131868128,0.5876669558809657,1008.1500000000002,10.081500000000002,-0.9932450528195209,28,0.10256410256410256,41,0.15018315018315018,204,0.7472527472527473,0,0.5853890109890109,0.5642578754578755,0.47985347985347987,0.30036630036630035,0.24175824175824176,0.12454212454212454,0.0
full2025_validation,all,nosess_m5score,120+,2,2,1.0,29.73,29.73,0,inf,1.3585,0.67925,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,0,0.9938,0.13525,1.0,0.5,0.5,0.5,0.0
full2025_validation,all,nosess_m5score,30-60,35,8,0.22857142857142856,-123.67999999999996,175.73,-299.41,0.5869209445242309,-5.393099999999999,-0.15408857142857138,0.5957378228865268,181.48999999999998,1.8148999999999997,-0.6814700534464707,4,0.11428571428571428,6,0.17142857142857143,25,0.7142857142857143,0,0.7036542857142858,0.5653742857142857,0.6285714285714286,0.45714285714285713,0.2857142857142857,0.11428571428571428,0.0
full2025_validation,all,nosess_m5score,60-90,9,2,0.2222222222222222,7.949999999999999,61.39,-53.440000000000005,1.14876497005988,0.30390000000000006,0.033766666666666674,1.1291103747132296,53.44,0.5344,0.14876497005988024,0,0.0,2,0.2222222222222222,7,0.7777777777777778,0,0.6441111111111111,0.6506888888888889,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111
full2025_validation,all,nosess_m5score,90-120,5,0,0.0,-63.82000000000001,0,-63.82000000000001,0.0,-2.791,-0.5582,0.0,63.82000000000001,0.6382000000000001,-1.0,1,0.2,0,0.0,4,0.8,0,0.11613999999999998,0.67328,0.0,0.0,0.0,0.0,0.0
full2025_validation,clean,base,0-30,9,3,0.3333333333333333,38.33,94.74000000000001,-56.41,1.6794894522247832,1.4902,0.16557777777777777,1.6148958118423768,30.27,0.30269999999999997,1.2662702345556656,0,0.0,3,0.3333333333333333,6,0.6666666666666666,0,0.7069777777777778,0.5425222222222222,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0
full2025_validation,ldn,base,0-30,21,8,0.38095238095238093,33.55,228.39999999999998,-194.85,1.172183731075186,1.3567999999999998,0.0646095238095238,1.1669003862523677,50.769999999999996,0.5077,0.6608233208587748,1,0.047619047619047616,6,0.2857142857142857,14,0.6666666666666666,0,0.6254333333333333,0.6212333333333334,0.47619047619047616,0.38095238095238093,0.3333333333333333,0.19047619047619047,0.0
full2025_validation,ny,base,0-30,26,7,0.2692307692307692,-16.439999999999998,167.24,-183.68,0.9104965156794426,-0.6712000000000005,-0.025815384615384632,0.9139321664422647,56.5,0.565,-0.2909734513274336,2,0.07692307692307693,5,0.19230769230769232,19,0.7307692307692307,0,0.5518615384615385,0.4535769230769231,0.38461538461538464,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.0
full2025_validation,ny,base,30-60,1,0,0.0,-11.52,0,-11.52,0.0,-0.5059,-0.5059,0.0,11.52,0.1152,-1.0,0,0.0,0,0.0,1,1.0,0,0.0711,0.5534,0.0,0.0,0.0,0.0,0.0
full2025_validation,one,base,0-30,94,28,0.2978723404255319,-74.89000000000001,742.81,-817.6999999999999,0.9084138437079614,-2.7214999999999994,-0.028952127659574462,0.9200219818326618,233.33,2.3333,-0.3209617280246861,6,0.06382978723404255,22,0.23404255319148937,66,0.7021276595744681,0,0.6028765957446809,0.5541819148936168,0.43617021276595747,0.3191489361702128,0.2765957446808511,0.19148936170212766,0.0
full2025_validation,one,base,30-60,1,0,0.0,-11.52,0,-11.52,0.0,-0.5059,-0.5059,0.0,11.52,0.1152,-1.0,0,0.0,0,0.0,1,1.0,0,0.0711,0.5534,0.0,0.0,0.0,0.0,0.0
full2025_validation,one,base,60-90,1,0,0.0,-3.3,0,-3.3,0.0,-0.1389,-0.1389,0.0,3.3,0.033,-1.0,0,0.0,0,0.0,1,1.0,0,0.9954,0.2824,1.0,1.0,0.0,0.0,0.0
full2025_validation,tky,base,0-30,16,8,0.5,104.80999999999999,196.82,-92.01,2.1391153135528747,4.3272,0.27045,2.141892070193957,40.62,0.40619999999999995,2.5802560315115706,1,0.0625,6,0.375,9,0.5625,0,0.8505625,0.5512812500000002,0.625,0.5625,0.5,0.25,0.0
full2025_validation,tky,base,60-90,1,0,0.0,-3.3,0,-3.3,0.0,-0.1389,-0.1389,0.0,3.3,0.033,-1.0,0,0.0,0,0.0,1,1.0,0,0.9954,0.2824,1.0,1.0,0.0,0.0,0.0
q1_quick,all,base,0-30,90,23,0.25555555555555554,-478.00999999999965,381.32000000000005,-859.33,0.44374105407701353,-20.152899999999995,-0.22392111111111107,0.45106162751106565,491.88999999999965,4.918899999999996,-0.971782309052837,13,0.14444444444444443,10,0.1111111111111111,67,0.7444444444444445,0,0.550521111111111,0.5673077777777779,0.4666666666666667,0.25555555555555554,0.2111111111111111,0.1,0.0
q1_quick,all,base,30-60,13,2,0.15384615384615385,-88.89,58.94,-147.83,0.39870121085030097,-3.7244,-0.2864923076923077,0.41246253352263756,118.44,1.1844000000000001,-0.7505065856129686,3,0.23076923076923078,2,0.15384615384615385,8,0.6153846153846154,0,0.6688615384615384,0.6318923076923078,0.6153846153846154,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.0
q1_quick,all,base,60-90,2,1,0.5,28.49,31.79,-3.3,9.633333333333333,1.164,0.582,9.38012958963283,3.3000000000000007,0.03300000000000001,8.633333333333331,0,0.0,1,0.5,1,0.5,0,1.14915,0.55265,1.0,1.0,0.5,0.5,0.0
q1_quick,all,base,90-120,2,0,0.0,-23.490000000000002,0,-23.490000000000002,0.0,-1.0093,-0.50465,0.0,23.490000000000002,0.23490000000000005,-1.0,0,0.0,0,0.0,2,1.0,0,0.08355,0.5507500000000001,0.0,0.0,0.0,0.0,0.0
q1_quick,all,m15light_m5score,0-30,11,4,0.36363636363636365,-4.970000000000001,109.02000000000001,-113.99000000000001,0.9563996841828231,-0.3102000000000002,-0.028200000000000017,0.9338423477222318,52.05,0.5205,-0.09548511047070127,2,0.18181818181818182,3,0.2727272727272727,6,0.5454545454545454,0,0.6828454545454545,0.6431272727272727,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.0
q1_quick,all,m15light_m5score,30-60,3,1,0.3333333333333333,14.979999999999999,33.16,-18.18,1.8239823982398238,0.5710999999999999,0.19036666666666666,1.7829723060049354,18.18,0.1818,0.8239823982398239,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.9821333333333332,0.2798,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0
