period_id,variant,month,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,2025-01,47,11,0.23404255319148937,-363.81,170.16,-533.9699999999999,0.31866958817911123,-14.753400000000001,-0.3139021276595745,0.3300091279410362,363.81,3.6381000000000006,-1.0,12,0.2553191489361702,5,0.10638297872340426,30,0.6382978723404256,0,0.5259829787234043,0.6244595744680849,0.46808510638297873,0.23404255319148937,0.14893617021276595,0.0851063829787234,0.0
full2025_validation,base,2025-02,44,7,0.1590909090909091,-406.2499999999999,75.54000000000002,-481.7899999999999,0.15679030282903347,-17.441300000000002,-0.39639318181818184,0.15410693153820787,406.2499999999999,4.062499999999999,-1.0,6,0.13636363636363635,2,0.045454545454545456,36,0.8181818181818182,0,0.3946840909090909,0.5679272727272727,0.29545454545454547,0.11363636363636363,0.09090909090909091,0.045454545454545456,0.0
full2025_validation,base,2025-03,72,21,0.2916666666666667,-112.0,473.03000000000003,-585.0299999999997,0.8085568261456682,-4.726100000000001,-0.06564027777777778,0.812339433694802,205.26999999999998,2.0526999999999997,-0.5456228382130852,8,0.1111111111111111,13,0.18055555555555555,51,0.7083333333333334,0,0.628652777777778,0.5431125000000001,0.5138888888888888,0.3888888888888889,0.2638888888888889,0.1527777777777778,0.0
full2025_validation,base,2025-04,146,52,0.3561643835616438,313.9300000000001,1394.38,-1080.45,1.2905548614003426,12.810700000000004,0.08774452054794524,1.2680130045105733,211.94,2.1194,1.4812211003114095,9,0.06164383561643835,45,0.3082191780821918,92,0.6301369863013698,0,0.7543232876712328,0.5722335616438354,0.5958904109589042,0.4589041095890411,0.4041095890410959,0.2465753424657534,0.0
full2025_validation,base,2025-05,31,9,0.2903225806451613,-59.59,182.07,-241.66000000000003,0.753413887279649,-3.0326,-0.0978258064516129,0.7183090741893234,132.68,1.3268,-0.44912571600844137,1,0.03225806451612903,3,0.0967741935483871,27,0.8709677419354839,0,0.5772903225806452,0.5446483870967742,0.45161290322580644,0.3548387096774194,0.2903225806451613,0.0967741935483871,0.0
full2025_validation,base,2025-06,22,8,0.36363636363636365,40.59,216.85000000000002,-176.26000000000002,1.2302848065357994,1.2986000000000006,0.059027272727272755,1.1626238212715865,85.82,0.8582,0.47296667443486373,3,0.13636363636363635,7,0.3181818181818182,12,0.5454545454545454,0,0.7208499999999999,0.5214909090909091,0.6363636363636364,0.4090909090909091,0.36363636363636365,0.2727272727272727,0.0
full2025_validation,base,2025-07,38,10,0.2631578947368421,21.68999999999998,279.56999999999994,-257.88000000000005,1.0841088878548157,0.8846999999999993,0.023281578947368403,1.0792053501884564,118.25,1.1825,0.1834249471458772,1,0.02631578947368421,9,0.23684210526315788,28,0.7368421052631579,0,0.5664842105263158,0.5469210526315791,0.42105263157894735,0.23684210526315788,0.23684210526315788,0.13157894736842105,0.0
full2025_validation,base,2025-08,21,4,0.19047619047619047,-49.45,102.49,-151.94,0.6745425825983941,-2.0251,-0.09643333333333334,0.6955560900808803,107.88,1.0788,-0.4583796811271784,0,0.0,3,0.14285714285714285,18,0.8571428571428571,0,0.5204142857142857,0.505747619047619,0.38095238095238093,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.0
full2025_validation,base,2025-09,17,3,0.17647058823529413,-50.720000000000006,70.03999999999999,-120.75999999999999,0.5799933752898311,-2.1681,-0.12753529411764705,0.5972245443905703,79.28,0.7928,-0.6397578203834511,0,0.0,2,0.11764705882352941,15,0.8823529411764706,0,0.5236470588235294,0.46556470588235294,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.0,0.0
full2025_validation,base,2025-10,32,1,0.03125,-363.88999999999993,29.6,-393.49,0.07522427507687617,-15.931599999999998,-0.49786249999999993,0.07837375046279157,363.88999999999993,3.638899999999999,-1.0,1,0.03125,1,0.03125,30,0.9375,0,0.467625,0.6450781250000001,0.34375,0.1875,0.15625,0.03125,0.03125
full2025_validation,base,2025-11,13,3,0.23076923076923078,-66.80000000000001,48.64,-115.44000000000001,0.4213444213444213,-3.0654999999999997,-0.23580769230769227,0.40387756689483517,70.06,0.7006,-0.9534684556094777,2,0.15384615384615385,0,0.0,11,0.8461538461538461,0,0.44590769230769234,0.46923076923076923,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0
