period_id,scenario_key,variant,exit_type,exit_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,full_sl,m5_failure_exit,33,0,0.0,-772.2100000000002,0,-772.2100000000002,0.0,-33.68159999999999,-1.020654545454545,0.0,772.2100000000002,7.722100000000001,-1.0,33,1.0,0,0.0,0,0.0,0,0.44158181818181824,1.0500333333333334,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.0
full2025_validation,all,base,time,m5_failure_exit,236,28,0.11864406779661017,-1814.15,205.96000000000004,-2020.1100000000001,0.10195484404314617,-80.86509999999998,-0.34264872881355923,0.10316103044579603,1820.96,18.209600000000002,-0.9962602143924084,0,0.0,0,0.0,236,1.0,0,0.4691347457627117,0.5224652542372882,0.4110169491525424,0.19491525423728814,0.11016949152542373,0.00423728813559322,0.0
full2025_validation,all,base,tp,m5_failure_exit,49,49,1.0,1441.47,1441.47,0,inf,64.226,1.310734693877551,inf,0.0,0.0,inf,0,0.0,49,1.0,0,0.0,0,1.318008163265306,0.4749,1.0,1.0,1.0,0.7959183673469388,0.02040816326530612
full2025_validation,all,m15light_m5score,full_sl,m5_failure_exit,7,0,0.0,-173.8,0,-173.8,0.0,-7.0955,-1.0136428571428573,0.0,173.8,1.738,-1.0,7,1.0,0,0.0,0,0.0,0,0.3142857142857142,1.0136428571428573,0.2857142857142857,0.0,0.0,0.0,0.0
full2025_validation,all,m15light_m5score,time,m5_failure_exit,28,4,0.14285714285714285,-171.66000000000005,48.61,-220.27000000000004,0.22068370636037585,-7.041700000000001,-0.25148928571428575,0.22061981184283344,183.07000000000005,1.8307000000000004,-0.9376741137269897,0,0.0,0,0.0,28,1.0,0,0.6100892857142857,0.4509535714285714,0.5357142857142857,0.32142857142857145,0.17857142857142858,0.0,0.0
full2025_validation,all,m15light_m5score,tp,m5_failure_exit,15,15,1.0,479.7500000000001,479.7500000000001,0,inf,19.6308,1.30872,inf,0.0,0.0,inf,0,0.0,15,1.0,0,0.0,0,1.3162599999999998,0.3643333333333334,1.0,1.0,1.0,0.8,0.0
full2025_validation,all,m15score_m5req,full_sl,m5_failure_exit,2,0,0.0,-46.25,0,-46.25,0.0,-2.0114,-1.0057,0.0,46.25,0.46249999999999997,-1.0,2,1.0,0,0.0,0,0.0,0,0.22365,1.0057,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,m15score_m5req,time,m5_failure_exit,13,1,0.07692307692307693,-118.13,3.76,-121.89,0.03084748543768972,-4.956799999999999,-0.38129230769230765,0.0298665205307864,118.13,1.1812999999999998,-1.0,0,0.0,0,0.0,13,1.0,0,0.44756923076923083,0.6124615384615384,0.38461538461538464,0.23076923076923078,0.0,0.0,0.0
full2025_validation,all,m15score_m5req,tp,m5_failure_exit,3,3,1.0,94.14,94.14,0,inf,3.9056,1.3018666666666667,inf,0.0,0.0,inf,0,0.0,3,1.0,0,0.0,0,1.3018666666666667,0.4443333333333333,1.0,1.0,1.0,0.6666666666666666,0.0
full2025_validation,all,m5accept,full_sl,m5_failure_exit,1,0,0.0,-22.99,0,-22.99,0.0,-1.0035,-1.0035,0.0,22.99,0.2299,-1.0,1,1.0,0,0.0,0,0.0,0,0.0822,1.0035,0.0,0.0,0.0,0.0,0.0
