period_id,variant,year,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,2025,488,131,0.26844262295081966,-1089.169999999999,3077.439999999999,-4166.610000000003,0.7385956449007699,-47.82879999999998,-0.09800983606557373,0.7361999260922086,1393.04,13.930399999999999,-0.7818655602136327,43,0.08811475409836066,91,0.1864754098360656,354,0.7254098360655737,0,0.60681987704918,0.5605118852459022,0.48360655737704916,0.32786885245901637,0.26229508196721313,0.14754098360655737,0.0020491803278688526
full2025_validation,m15light_m5score,2025,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0
full2025_validation,m15score_m5req,2025,18,4,0.2222222222222222,-70.24000000000001,97.9,-168.14,0.5822528845010111,-3.0625999999999998,-0.17014444444444443,0.5699078755196045,111.57000000000001,1.1157,-0.6295599175405575,2,0.1111111111111111,3,0.16666666666666666,13,0.7222222222222222,0,0.5650722222222223,0.6281333333333333,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.0
full2025_validation,m5accept,2025,10,3,0.3,-9.379999999999999,66.10000000000001,-75.47999999999999,0.8757286698463171,-0.4796000000000002,-0.047960000000000017,0.8517740140932129,45.79,0.4579,-0.20484822013540072,1,0.1,2,0.2,7,0.7,0,0.53655,0.5330600000000001,0.5,0.3,0.2,0.2,0.0
full2025_validation,m5diag,2025,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,m5req,2025,18,4,0.2222222222222222,-70.24000000000001,97.9,-168.14,0.5822528845010111,-3.0625999999999998,-0.17014444444444443,0.5699078755196045,111.57000000000001,1.1157,-0.6295599175405575,2,0.1111111111111111,3,0.16666666666666666,13,0.7222222222222222,0,0.5650722222222223,0.6281333333333333,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.0
full2025_validation,m5score,2025,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,nosess,2025,324,79,0.24382716049382716,-1151.16,1677.16,-2828.3199999999993,0.5929880635854502,-50.670899999999975,-0.1563916666666666,0.5964314244276111,1186.23,11.862300000000001,-0.9704357502339345,33,0.10185185185185185,50,0.15432098765432098,241,0.7438271604938271,0,0.5950753086419753,0.5658135802469139,0.49382716049382713,0.3148148148148148,0.24382716049382716,0.12654320987654322,0.0030864197530864196
full2025_validation,nosess_m5req,2025,27,7,0.25925925925925924,-74.00999999999999,165.55,-239.55999999999997,0.6910586074469862,-3.0571999999999995,-0.11322962962962961,0.6996443518755034,129.60999999999999,1.2960999999999998,-0.5710207545714066,3,0.1111111111111111,5,0.18518518518518517,19,0.7037037037037037,0,0.6308333333333332,0.6294814814814814,0.5185185185185185,0.37037037037037035,0.2222222222222222,0.14814814814814814,0.0
full2025_validation,nosess_m5score,2025,324,79,0.24382716049382716,-1151.16,1677.16,-2828.3199999999993,0.5929880635854502,-50.670899999999975,-0.1563916666666666,0.5964314244276111,1186.23,11.862300000000001,-0.9704357502339345,33,0.10185185185185185,50,0.15432098765432098,241,0.7438271604938271,0,0.5950753086419753,0.5658135802469139,0.49382716049382713,0.3148148148148148,0.24382716049382716,0.12654320987654322,0.0030864197530864196
q1_quick,base,2025,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,m15light_m5score,2025,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0
q1_quick,m15score_m5req,2025,3,0,0.0,-17.83,0,-17.83,0.0,-0.7354,-0.24513333333333334,0.0,17.83,0.1783,-1.0,0,0.0,0,0.0,3,1.0,0,0.43556666666666666,0.3376666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
q1_quick,m5accept,2025,3,1,0.3333333333333333,15.810000000000002,30.89,-15.08,2.0484084880636604,0.6813,0.2271,2.100290697674419,9.18,0.09179999999999999,1.7222222222222225,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.5460666666666666,0.24503333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
q1_quick,m5diag,2025,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,m5req,2025,3,0,0.0,-17.83,0,-17.83,0.0,-0.7354,-0.24513333333333334,0.0,17.83,0.1783,-1.0,0,0.0,0,0.0,3,1.0,0,0.43556666666666666,0.3376666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
q1_quick,m5score,2025,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,nosess,2025,111,27,0.24324324324324326,-586.6399999999999,473.3400000000001,-1059.9800000000002,0.44655559538859224,-24.817899999999995,-0.22358468468468465,0.4527632063468964,600.5199999999999,6.0051999999999985,-0.9768866981948977,16,0.14414414414414414,13,0.11711711711711711,82,0.7387387387387387,0,0.5588045045045046,0.5660072072072071,0.4774774774774775,0.27927927927927926,0.1981981981981982,0.10810810810810811,0.0
q1_quick,nosess_m5req,2025,5,0,0.0,-37.849999999999994,0,-37.849999999999994,0.0,-1.5793,-0.31586,0.0,37.849999999999994,0.37849999999999995,-1.0,0,0.0,0,0.0,5,1.0,0,0.38746,0.38617999999999997,0.2,0.2,0.0,0.0,0.0
q1_quick,nosess_m5score,2025,111,27,0.24324324324324326,-586.6399999999999,473.3400000000001,-1059.9800000000002,0.44655559538859224,-24.817899999999995,-0.22358468468468465,0.4527632063468964,600.5199999999999,6.0051999999999985,-0.9768866981948977,16,0.14414414414414414,13,0.11711711711711711,82,0.7387387387387387,0,0.5588045045045046,0.5660072072072071,0.4774774774774775,0.27927927927927926,0.1981981981981982,0.10810810810810811,0.0
