period_id,scenario_key,variant,m5_invalidation_detected,m5_invalidation_close_break,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,false,false,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,all,m15light_m5score,false,false,34,13,0.38235294117647056,68.63000000000001,355.41,-286.78000000000003,1.2393123648790012,2.9028,0.08537647058823529,1.2479753972321888,134.01,1.3401,0.5121259607491979,6,0.17647058823529413,10,0.29411764705882354,18,0.5294117647058824,0,0.78645,0.5271294117647057,0.6470588235294118,0.5,0.4117647058823529,0.23529411764705882,0.0
full2025_validation,all,m15light_m5score,true,true,16,6,0.375,65.66,172.95,-107.28999999999999,1.611986205610961,2.5908,0.161925,1.5855576901344783,52.33,0.5233,1.2547296006115038,1,0.0625,5,0.3125,10,0.625,0,0.76794375,0.45405,0.625,0.4375,0.375,0.25,0.0
full2025_validation,all,m15score_m5req,true,true,18,4,0.2222222222222222,-70.24000000000001,97.9,-168.14,0.5822528845010111,-3.0625999999999998,-0.17014444444444443,0.5699078755196045,111.57000000000001,1.1157,-0.6295599175405575,2,0.1111111111111111,3,0.16666666666666666,13,0.7222222222222222,0,0.5650722222222223,0.6281333333333333,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.0
full2025_validation,all,m5accept,true,true,10,3,0.3,-9.379999999999999,66.10000000000001,-75.47999999999999,0.8757286698463171,-0.4796000000000002,-0.047960000000000017,0.8517740140932129,45.79,0.4579,-0.20484822013540072,1,0.1,2,0.2,7,0.7,0,0.53655,0.5330600000000001,0.5,0.3,0.2,0.2,0.0
full2025_validation,all,m5diag,false,false,201,50,0.24875621890547264,-738.7000000000004,1127.6599999999999,-1866.36,0.6042028333226173,-32.31149999999997,-0.1607537313432834,0.6082310105133742,773.7700000000003,7.737700000000003,-0.9546764542435091,25,0.12437810945273632,34,0.1691542288557214,142,0.7064676616915423,0,0.6130019900497512,0.5802721393034828,0.5174129353233831,0.3333333333333333,0.25870646766169153,0.14427860696517414,0.0
full2025_validation,all,m5diag,true,true,117,27,0.23076923076923078,-406.18999999999977,519.7700000000001,-925.9600000000003,0.5613309430212967,-18.009199999999993,-0.15392478632478626,0.5647060245332043,424.99999999999983,4.249999999999998,-0.9557411764705881,8,0.06837606837606838,15,0.1282051282051282,94,0.8034188034188035,0,0.5697179487179487,0.5520367521367521,0.46153846153846156,0.2905982905982906,0.2222222222222222,0.09401709401709402,0.008547008547008548
full2025_validation,all,m5req,true,true,18,4,0.2222222222222222,-70.24000000000001,97.9,-168.14,0.5822528845010111,-3.0625999999999998,-0.17014444444444443,0.5699078755196045,111.57000000000001,1.1157,-0.6295599175405575,2,0.1111111111111111,3,0.16666666666666666,13,0.7222222222222222,0,0.5650722222222223,0.6281333333333333,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.0
full2025_validation,all,m5score,false,false,201,50,0.24875621890547264,-738.7000000000004,1127.6599999999999,-1866.36,0.6042028333226173,-32.31149999999997,-0.1607537313432834,0.6082310105133742,773.7700000000003,7.737700000000003,-0.9546764542435091,25,0.12437810945273632,34,0.1691542288557214,142,0.7064676616915423,0,0.6130019900497512,0.5802721393034828,0.5174129353233831,0.3333333333333333,0.25870646766169153,0.14427860696517414,0.0
full2025_validation,all,m5score,true,true,117,27,0.23076923076923078,-406.18999999999977,519.7700000000001,-925.9600000000003,0.5613309430212967,-18.009199999999993,-0.15392478632478626,0.5647060245332043,424.99999999999983,4.249999999999998,-0.9557411764705881,8,0.06837606837606838,15,0.1282051282051282,94,0.8034188034188035,0,0.5697179487179487,0.5520367521367521,0.46153846153846156,0.2905982905982906,0.2222222222222222,0.09401709401709402,0.008547008547008548
