episode_id,symbol,direction,signal_msc,processing_msc,request_msc,quote_msc,entry_msc,exit_msc,requested_volume,filled_volume,closed_volume,entry_price,exit_price,sl,tp,risk_amount,gross_profit,commission,fee,swap,net_profit,gross_r,net_r,hold_seconds,exit_reason,entry_deals,exit_deals,position_identifier,month
usdjpy_only_ml_202505_20260912_USDJPY_mh_9,USDJPY,-1,1746201380250,1746201381055,1746201381258,1746201381157,1746201381258,1746202281321,0.04,0.04,0.04,144.663,144.557,144.956,144.37,8.09,2.93,0,0,0,2.93,0.36217552533993,0.36217552533993,900.063,TIME,1,1,2,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_12,USDJPY,1,1746204516000,1746204516601,1746204516804,1746204516701,1746204516804,1746205417399,0.04,0.04,0.04,143.819,143.887,143.486,144.152,9.28,1.89,0,0,0,1.89,0.20366379310345,0.20366379310345,900.595,TIME,1,1,8,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_13,USDJPY,-1,1746205505250,1746205506041,1746205506062,1746205506060,1746205506062,1746206406086,0.04,0.04,0.04,143.884,144.093,144.222,143.546,9.37,-5.8,0,0,0,-5.8,-0.61899679829242,-0.61899679829242,900.024,TIME,1,1,10,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_17,USDJPY,-1,1746210671500,1746210672162,1746210672866,1746210672793,1746210672866,1746211573258,0.05,0.05,0.05,144.42,144.457,144.69,144.15,9.33,-1.28,0,0,0,-1.28,-0.13719185423365,-0.13719185423365,900.392,TIME,1,1,12,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_18,USDJPY,-1,1746211636500,1746211636666,1746211636967,1746211636867,1746211636967,1746212536992,0.05,0.05,0.05,144.497,144.622,144.748,144.246,8.67,-4.32,0,0,0,-4.32,-0.49826989619377,-0.49826989619377,900.025,TIME,1,1,14,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_36,USDJPY,1,1746455153750,1746455157244,1746455157347,1746455157304,1746455157347,1746456057561,0.1,0.1,0.1,143.792,143.89,143.656,143.928,9.47,6.81,0,0,0,6.81,0.71911298838437,0.71911298838437,900.214,TIME,1,1,16,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_42,USDJPY,-1,1746466205250,1746466207323,1746466207523,1746466207494,1746466207523,1746467108965,0.06,0.06,0.06,143.698,143.745,143.928,143.468,9.59,-1.96,0,0,0,-1.96,-0.2043795620438,-0.2043795620438,901.442,TIME,1,1,18,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_43,USDJPY,-1,1746467420750,1746467420961,1746467422870,1746467422869,1746467422870,1746468327514,0.06,0.06,0.06,143.813,143.786,144.046,143.58,9.71,1.13,0,0,0,1.13,0.11637487126674,0.11637487126674,904.644,TIME,1,1,20,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_45,USDJPY,-1,1746470541000,1746470543311,1746470543411,1746470543329,1746470543411,1746471447021,0.06,0.06,0.06,143.942,143.988,144.161,143.723,9.11,-1.92,0,0,0,-1.92,-0.21075740944018,-0.21075740944018,903.61,TIME,1,1,22,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_66,USDJPY,1,1746542570500,1746542571265,1746542583265,1746542583252,1746542583265,1746543483399,0.08,0.08,0.08,142.876,142.831,142.703,143.049,9.7,-2.52,0,0,0,-2.52,-0.25979381443299,-0.25979381443299,900.134,TIME,1,1,24,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_118,USDJPY,-1,1746637740000,1746637740339,1746637740627,1746637740602,1746637740627,1746638643175,0.11,0.11,0.11,143.343,143.341,143.473,143.213,9.97,0.15,0,0,0,0.15,0.015045135406219,0.015045135406219,902.548,TIME,1,1,26,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_121,USDJPY,-1,1746649205500,1746649209382,1746649216823,1746649216443,1746649216823,1746650116882,0.12,0.12,0.12,143.495,143.495,143.611,143.379,9.69,0,0,0,0,0,0,0,900.059,TIME,1,1,28,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_127,USDJPY,-1,1746656084750,1746656085167,1746656086475,1746656086379,1746656086475,1746656987242,0.04,0.04,0.04,143.836,143.654,144.149,143.523,8.69,5.07,0,0,0,5.07,0.58342922899885,0.58342922899885,900.767,TIME,1,1,30,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_167,USDJPY,-1,1746720278500,1746720280324,1746720281029,1746720280982,1746720281029,1746721181678,0.06,0.06,0.06,144.621,144.57,144.839,144.403,9.03,2.12,0,0,0,2.12,0.23477297895903,0.23477297895903,900.649,TIME,1,1,32,202505
usdjpy_only_ml_202505_20260912_USDJPY_mh_168,USDJPY,-1,1746721965250,1746721966489,1746721966927,1746721966820,1746721966927,1746722868086,0.07,0.07,0.07,144.6,144.528,144.797,144.403,9.52,3.49,0,0,0,3.49,0.36659663865546,0.36659663865546,901.159,TIME,1,1,34,202505
