field,value
総損益:,22.62
残高絶対ドローダウン:,0.04
証拠金絶対ドローダウン:,3.14
残高最大ドローダウン:,60.46 (0.60%)
証拠金最大ドローダウン:,62.25 (0.62%)
残高相対ドローダウン:,0.60% (60.46)
証拠金相対ドローダウン:,0.62% (62.25)
プロフィットファクター:,1.11
