episode_id,symbol,direction,t0_msc,processing_msc,action_msc,quote_msc,status,retcode,detail
usdjpy_only_ml_202505_20260912_USDJPY_mh_9,USDJPY,-1,1746201380250,1746201381055,1746201381258,1746201381157,ENTRY,10009,order=2 deal=2 external=0 request=0
usdjpy_only_ml_202505_20260912_USDJPY_mh_9,USDJPY,-1,1746201380250,1746201381055,1746202281321,1746202281220,CLOSE_TIME,10009,order=3 deal=3 external=0 request=1
usdjpy_only_ml_202505_20260912_USDJPY_mh_10,USDJPY,-1,1746202342000,1746202342110,1746202342273,1746202342142,ENTRY,10009,order=4 deal=4 external=0 request=2
usdjpy_only_ml_202505_20260912_USDJPY_mh_11,USDJPY,-1,1746203401500,1746203401717,1746203402010,1746203401968,ENTRY,10009,order=6 deal=6 external=0 request=3
usdjpy_only_ml_202505_20260912_USDJPY_mh_12,USDJPY,1,1746204516000,1746204516601,1746204516804,1746204516701,ENTRY,10009,order=8 deal=8 external=0 request=4
usdjpy_only_ml_202505_20260912_USDJPY_mh_12,USDJPY,1,1746204516000,1746204516601,1746205417399,1746205417382,CLOSE_TIME,10009,order=9 deal=9 external=0 request=5
usdjpy_only_ml_202505_20260912_USDJPY_mh_13,USDJPY,-1,1746205505250,1746205506041,1746205506062,1746205506060,ENTRY,10009,order=10 deal=10 external=0 request=6
usdjpy_only_ml_202505_20260912_USDJPY_mh_13,USDJPY,-1,1746205505250,1746205506041,1746206406086,1746206405850,CLOSE_TIME,10009,order=11 deal=11 external=0 request=7
usdjpy_only_ml_202505_20260912_USDJPY_mh_17,USDJPY,-1,1746210671500,1746210672162,1746210672866,1746210672793,ENTRY,10009,order=12 deal=12 external=0 request=8
usdjpy_only_ml_202505_20260912_USDJPY_mh_17,USDJPY,-1,1746210671500,1746210672162,1746211573258,1746211571523,CLOSE_TIME,10009,order=13 deal=13 external=0 request=9
usdjpy_only_ml_202505_20260912_USDJPY_mh_18,USDJPY,-1,1746211636500,1746211636666,1746211636967,1746211636867,ENTRY,10009,order=14 deal=14 external=0 request=10
usdjpy_only_ml_202505_20260912_USDJPY_mh_18,USDJPY,-1,1746211636500,1746211636666,1746212536992,1746212536889,CLOSE_TIME,10009,order=15 deal=15 external=0 request=11
usdjpy_only_ml_202505_20260912_USDJPY_mh_36,USDJPY,1,1746455153750,1746455157244,1746455157347,1746455157304,ENTRY,10009,order=16 deal=16 external=0 request=12
usdjpy_only_ml_202505_20260912_USDJPY_mh_36,USDJPY,1,1746455153750,1746455157244,1746456057561,1746456056959,CLOSE_TIME,10009,order=17 deal=17 external=0 request=13
usdjpy_only_ml_202505_20260912_USDJPY_mh_42,USDJPY,-1,1746466205250,1746466207323,1746466207523,1746466207494,ENTRY,10009,order=18 deal=18 external=0 request=14
usdjpy_only_ml_202505_20260912_USDJPY_mh_42,USDJPY,-1,1746466205250,1746466207323,1746467108965,1746467106520,CLOSE_TIME,10009,order=19 deal=19 external=0 request=15
usdjpy_only_ml_202505_20260912_USDJPY_mh_43,USDJPY,-1,1746467420750,1746467420961,1746467422870,1746467422869,ENTRY,10009,order=20 deal=20 external=0 request=16
usdjpy_only_ml_202505_20260912_USDJPY_mh_43,USDJPY,-1,1746467420750,1746467420961,1746468327514,1746468326814,CLOSE_TIME,10009,order=21 deal=21 external=0 request=17
usdjpy_only_ml_202505_20260912_USDJPY_mh_45,USDJPY,-1,1746470541000,1746470543311,1746470543411,1746470543329,ENTRY,10009,order=22 deal=22 external=0 request=18
usdjpy_only_ml_202505_20260912_USDJPY_mh_45,USDJPY,-1,1746470541000,1746470543311,1746471447021,1746471446894,CLOSE_TIME,10009,order=23 deal=23 external=0 request=19
usdjpy_only_ml_202505_20260912_USDJPY_mh_66,USDJPY,1,1746542570500,1746542571265,1746542583265,1746542583252,ENTRY,10009,order=24 deal=24 external=0 request=20
usdjpy_only_ml_202505_20260912_USDJPY_mh_66,USDJPY,1,1746542570500,1746542571265,1746543483399,1746543483384,CLOSE_TIME,10009,order=25 deal=25 external=0 request=21
usdjpy_only_ml_202505_20260912_USDJPY_mh_118,USDJPY,-1,1746637740000,1746637740339,1746637740627,1746637740602,ENTRY,10009,order=26 deal=26 external=0 request=22
usdjpy_only_ml_202505_20260912_USDJPY_mh_118,USDJPY,-1,1746637740000,1746637740339,1746638643175,1746638642683,CLOSE_TIME,10009,order=27 deal=27 external=0 request=23
usdjpy_only_ml_202505_20260912_USDJPY_mh_121,USDJPY,-1,1746649205500,1746649209382,1746649216823,1746649216443,ENTRY,10009,order=28 deal=28 external=0 request=24
usdjpy_only_ml_202505_20260912_USDJPY_mh_121,USDJPY,-1,1746649205500,1746649209382,1746650116882,1746650116547,CLOSE_TIME,10009,order=29 deal=29 external=0 request=25
usdjpy_only_ml_202505_20260912_USDJPY_mh_127,USDJPY,-1,1746656084750,1746656085167,1746656086475,1746656086379,ENTRY,10009,order=30 deal=30 external=0 request=26
usdjpy_only_ml_202505_20260912_USDJPY_mh_127,USDJPY,-1,1746656084750,1746656085167,1746656987242,1746656987177,CLOSE_TIME,10009,order=31 deal=31 external=0 request=27
usdjpy_only_ml_202505_20260912_USDJPY_mh_167,USDJPY,-1,1746720278500,1746720280324,1746720281029,1746720280982,ENTRY,10009,order=32 deal=32 external=0 request=28
usdjpy_only_ml_202505_20260912_USDJPY_mh_167,USDJPY,-1,1746720278500,1746720280324,1746721181678,1746721181101,CLOSE_TIME,10009,order=33 deal=33 external=0 request=29
usdjpy_only_ml_202505_20260912_USDJPY_mh_168,USDJPY,-1,1746721965250,1746721966489,1746721966927,1746721966820,ENTRY,10009,order=34 deal=34 external=0 request=30
usdjpy_only_ml_202505_20260912_USDJPY_mh_168,USDJPY,-1,1746721965250,1746721966489,1746722868086,1746722868051,CLOSE_TIME,10009,order=35 deal=35 external=0 request=31
usdjpy_only_ml_202505_20260912_USDJPY_mh_171,USDJPY,-1,1746725102250,1746725102341,1746725102947,1746725102614,ENTRY,10009,order=36 deal=36 external=0 request=32
usdjpy_only_ml_202505_20260912_USDJPY_mh_171,USDJPY,-1,1746725102250,1746725102341,1746726004030,1746726002531,CLOSE_TIME,10009,order=37 deal=37 external=0 request=33
usdjpy_only_ml_202505_20260912_USDJPY_mh_173,USDJPY,-1,1746727158500,1746727158819,1746727159181,1746727158896,ENTRY,10009,order=38 deal=38 external=0 request=34
usdjpy_only_ml_202505_20260912_USDJPY_mh_173,USDJPY,-1,1746727158500,1746727158819,1746728059544,1746728059439,CLOSE_TIME,10009,order=39 deal=39 external=0 request=35
usdjpy_only_ml_202505_20260912_USDJPY_mh_174,USDJPY,-1,1746728264250,1746728264502,1746728264594,1746728264520,ENTRY,10009,order=40 deal=40 external=0 request=36
usdjpy_only_ml_202505_20260912_USDJPY_mh_174,USDJPY,-1,1746728264250,1746728264502,1746729164935,1746729164690,CLOSE_TIME,10009,order=41 deal=41 external=0 request=37
usdjpy_only_ml_202505_20260912_USDJPY_mh_175,USDJPY,-1,1746729327750,1746729328057,1746729328479,1746729328451,ENTRY,10009,order=42 deal=42 external=0 request=38
usdjpy_only_ml_202505_20260912_USDJPY_mh_176,USDJPY,-1,1746730337750,1746730338118,1746730338419,1746730338119,ENTRY,10009,order=44 deal=44 external=0 request=39
usdjpy_only_ml_202505_20260912_USDJPY_mh_176,USDJPY,-1,1746730337750,1746730338118,1746731239645,1746731239372,CLOSE_TIME,10009,order=45 deal=45 external=0 request=40
usdjpy_only_ml_202505_20260912_USDJPY_mh_178,USDJPY,-1,1746733016000,1746733016827,1746733017429,1746733017411,ENTRY,10009,order=46 deal=46 external=0 request=41
usdjpy_only_ml_202505_20260912_USDJPY_mh_178,USDJPY,-1,1746733016000,1746733016827,1746733920039,1746733919838,CLOSE_TIME,10009,order=47 deal=47 external=0 request=42
usdjpy_only_ml_202505_20260912_USDJPY_mh_187,USDJPY,-1,1746760959250,1746760961156,1746760963269,1746760963169,ENTRY,10009,order=48 deal=48 external=0 request=43
usdjpy_only_ml_202505_20260912_USDJPY_mh_190,USDJPY,-1,1746764806750,1746764808255,1746764808355,1746764808300,ENTRY,10009,order=50 deal=50 external=0 request=44
usdjpy_only_ml_202505_20260912_USDJPY_mh_190,USDJPY,-1,1746764806750,1746764808255,1746765708650,1746765707095,CLOSE_TIME,10009,order=51 deal=51 external=0 request=45
usdjpy_only_ml_202505_20260912_USDJPY_mh_212,USDJPY,-1,1746800956750,1746800957108,1746800957160,1746800957151,ENTRY,10009,order=52 deal=52 external=0 request=46
usdjpy_only_ml_202505_20260912_USDJPY_mh_244,USDJPY,-1,1747044603500,1747044603708,1747044604509,1747044604489,ENTRY,10009,order=54 deal=54 external=0 request=47
usdjpy_only_ml_202505_20260912_USDJPY_mh_245,USDJPY,-1,1747045671000,1747045671164,1747045671464,1747045671456,ENTRY,10009,order=56 deal=56 external=0 request=48
usdjpy_only_ml_202505_20260912_USDJPY_mh_245,USDJPY,-1,1747045671000,1747045671164,1747046572895,1747046572884,CLOSE_TIME,10009,order=57 deal=57 external=0 request=49
usdjpy_only_ml_202505_20260912_USDJPY_mh_246,USDJPY,-1,1747046768000,1747046768162,1747046768263,1747046768163,ENTRY,10009,order=58 deal=58 external=0 request=50
usdjpy_only_ml_202505_20260912_USDJPY_mh_246,USDJPY,-1,1747046768000,1747046768162,1747047669265,1747047668663,CLOSE_TIME,10009,order=59 deal=59 external=0 request=51
usdjpy_only_ml_202505_20260912_USDJPY_mh_248,USDJPY,-1,1747048762500,1747048762656,1747048763358,1747048763157,ENTRY,10009,order=60 deal=60 external=0 request=52
usdjpy_only_ml_202505_20260912_USDJPY_mh_248,USDJPY,-1,1747048762500,1747048762656,1747049663431,1747049663330,CLOSE_TIME,10009,order=61 deal=61 external=0 request=53
