t0_msc,expected_direction,actual_direction,long_error,short_error
1746125789500,0,0,-9.020562075079397e-17,2.42861286636753e-16
1746126974250,0,0,1.8821749714348357e-16,-2.3592239273284576e-16
1746182417750,0,0,3.95516952522712e-16,2.636779683484747e-16
1746183741250,0,0,2.220446049250313e-16,-2.7755575615628914e-17
1746184760750,0,0,3.400058012914542e-16,-2.0816681711721685e-17
1746186253750,0,0,3.2526065174565133e-16,-2.0816681711721685e-16
1746199340750,0,0,1.6653345369377348e-16,2.0816681711721685e-16
1746200395750,0,0,-1.249000902703301e-16,3.1051550219984847e-16
1746201380250,-1,-1,-1.6653345369377348e-16,-2.914335439641036e-16
1746202342000,-1,-1,4.85722573273506e-16,3.469446951953614e-16
1746203401500,-1,-1,5.412337245047638e-16,3.0531133177191805e-16
1746204516000,1,1,-3.95516952522712e-16,4.718447854656915e-16
1746205505250,-1,-1,1.3877787807814457e-17,-4.2327252813834093e-16
1746206517000,0,0,-2.983724378680108e-16,1.734723475976807e-16
1746208665500,0,0,-2.0122792321330962e-16,1.942890293094024e-16
1746209662250,0,0,-3.469446951953614e-17,2.636779683484747e-16
1746210671500,-1,-1,-2.0816681711721685e-16,-6.938893903907228e-17
1746211636500,-1,-1,-5.551115123125783e-17,-3.434752482434078e-16
1746212671750,0,0,-2.636779683484747e-16,-5.551115123125783e-17
1746214302500,0,0,2.498001805406602e-16,-4.640385298237959e-16
1746215349250,0,0,2.8449465006019636e-16,-3.677613769070831e-16
1746432129500,0,0,-3.7470027081099033e-16,-2.0816681711721685e-16
1746433353250,0,0,-5.811323644522304e-17,2.220446049250313e-16
1746434348500,0,0,-4.85722573273506e-16,2.636779683484747e-16
1746435383750,0,0,-4.85722573273506e-16,-1.0408340855860843e-16
1746438649750,0,0,-4.718447854656915e-16,1.9081958235744878e-16
1746439805000,0,0,3.608224830031759e-16,3.7470027081099033e-16
1746441002000,0,0,0.0,-1.5612511283791264e-16
1746442331000,0,0,-1.1796119636642288e-16,1.942890293094024e-16
1746445062750,0,0,6.938893903907228e-18,2.0816681711721685e-16
1746446602250,0,0,4.440892098500626e-16,-2.3592239273284576e-16
1746447909750,0,0,-2.7755575615628914e-16,3.0878077872387166e-16
1746449333750,0,0,-2.467644144577008e-16,-1.3877787807814457e-16
1746451012750,0,0,-3.7470027081099033e-16,-4.163336342344337e-16
1746453183250,0,0,-1.8041124150158794e-16,-4.718447854656915e-16
1746455153750,1,1,3.8163916471489756e-17,-4.3021142204224816e-16
1746458086250,0,0,3.7448343037649323e-16,3.0531133177191805e-16
1746459123500,0,0,3.2786273695961654e-16,-8.326672684688674e-17
1746461490000,0,0,-2.5326962749261384e-16,-1.0408340855860843e-16
1746462899500,0,0,3.3306690738754696e-16,4.163336342344337e-17
1746464392500,0,0,-5.551115123125783e-17,-4.996003610813204e-16
1746466205250,-1,-1,3.3306690738754696e-16,2.2898349882893854e-16
1746467420750,-1,-1,2.7755575615628914e-17,-3.3306690738754696e-16
1746468764500,0,0,-2.220446049250313e-16,-1.4224732503009818e-16
1746470541000,-1,-1,3.608224830031759e-16,2.0816681711721685e-16
1746473299000,0,0,-5.273559366969494e-16,-1.0679391398982219e-16
1746511406750,0,0,4.579669976578771e-16,1.942890293094024e-16
1746513252250,0,0,3.122502256758253e-16,2.636779683484747e-16
1746514442500,0,0,-6.938893903907228e-17,-1.5959455978986625e-16
1746515764250,0,0,-2.3592239273284576e-16,4.440892098500626e-16
1746519620250,0,0,2.498001805406602e-16,5.134781488891349e-16
1746520957500,0,0,-4.3021142204224816e-16,-1.942890293094024e-16
1746522048250,0,0,1.1102230246251565e-16,3.885780586188048e-16
1746523823250,0,0,-4.163336342344337e-16,4.579669976578771e-16
1746525630750,0,0,3.3306690738754696e-16,-3.3306690738754696e-16
1746527126750,0,0,-1.3877787807814457e-16,1.3877787807814457e-17
1746528261750,0,0,-4.85722573273506e-16,4.371503159461554e-16
1746529628750,0,0,-3.7470027081099033e-16,-2.914335439641036e-16
1746530612500,0,0,3.677613769070831e-16,-3.859759734048396e-16
1746531877250,0,0,-3.365363543395006e-16,4.683753385137379e-16
1746534768750,0,0,-7.632783294297951e-17,-1.8041124150158794e-16
1746535814000,0,0,-2.0816681711721685e-16,-2.0816681711721685e-16
1746537515000,0,0,-4.163336342344337e-16,1.8735013540549517e-16
1746539806750,0,0,-4.40619762898109e-16,-2.7755575615628914e-16
1746541335000,0,0,1.0755285551056204e-16,0.0
1746542570500,1,1,2.1163626406917047e-16,6.938893903907228e-17
1746543612250,0,0,2.0816681711721685e-16,-6.938893903907228e-17
1746544753250,0,0,4.5102810375396984e-17,4.85722573273506e-17
1746545721750,0,0,1.5265566588595902e-16,-4.198030811863873e-16
1746546790750,0,0,-4.9439619065339e-17,-5.065392549852277e-16
1746547970750,0,0,3.920475055707584e-16,2.2898349882893854e-16
1746549966250,0,0,-2.671474153004283e-16,-1.3877787807814457e-16
1746551268500,0,0,4.0245584642661925e-16,3.8163916471489756e-17
1746552449000,0,0,1.6653345369377348e-16,3.191891195797325e-16
1746553786500,0,0,6.245004513516506e-17,1.8041124150158794e-16
1746554866500,0,0,3.0531133177191805e-16,-1.214306433183765e-17
1746557419750,0,0,6.938893903907228e-17,1.6653345369377348e-16
1746558669000,0,0,-3.2959746043559335e-16,4.579669976578771e-16
1746560251500,0,0,2.719179048593645e-16,2.42861286636753e-16
1746571632500,0,0,6.245004513516506e-17,3.885780586188048e-16
1746573001250,0,0,1.968911145233676e-16,2.914335439641036e-16
1746574154000,0,0,1.3877787807814457e-16,2.0816681711721685e-16
1746575668250,0,0,-2.1510571102112408e-16,8.326672684688674e-17
1746585975750,0,0,-3.95516952522712e-16,9.71445146547012e-17
1746587047000,0,0,-2.7755575615628914e-17,-9.71445146547012e-17
1746588131000,0,0,1.8041124150158794e-16,2.0816681711721685e-16
1746589211250,0,0,2.2898349882893854e-16,2.914335439641036e-16
1746590301000,0,0,1.942890293094024e-16,3.365363543395006e-16
1746591426000,0,0,-3.608224830031759e-16,1.3183898417423734e-16
1746592616750,0,0,-4.579669976578771e-16,0.0
1746593721250,0,0,-3.3306690738754696e-16,-2.0816681711721685e-16
1746594716000,0,0,1.942890293094024e-16,-1.1449174941446927e-16
1746595861500,0,0,-2.3592239273284576e-16,-3.122502256758253e-16
1746597271250,0,0,-4.510281037539698e-16,2.7755575615628914e-17
1746598523750,0,0,4.5102810375396984e-17,-3.122502256758253e-16
1746600073250,0,0,2.8449465006019636e-16,3.469446951953614e-16
1746603574250,0,0,2.0122792321330962e-16,-2.0816681711721685e-16
1746605525250,0,0,3.469446951953614e-16,-4.0245584642661925e-16
1746606860250,0,0,-4.3021142204224816e-16,5.134781488891349e-16
1746607838750,0,0,-5.551115123125783e-17,-3.3306690738754696e-16
1746609426250,0,0,-2.7755575615628914e-16,4.163336342344337e-17
1746610521500,0,0,-3.885780586188048e-16,3.608224830031759e-16
