side,context,horizon,rule_a,rule_b,train_trades,train_tpd,train_expectancy,train_hit_rate,test_trades,test_tpd,test_expectancy,test_hit_rate,score
long,all,12,all:spread_points <= 15.0000,all:spread_points <= 15.0000,10553,43.96510870980341,0.050952678223526934,0.5038377712498816,276,18.885245901639344,0.1583472732225656,0.6195652173913043,218.83532605671675
long,all,12,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.050952678223526934,0.5038377712498816,276,18.885245901639344,0.1583472732225656,0.6195652173913043,218.83532605671675
long,all,12,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.050952678223526934,0.5038377712498816,276,18.885245901639344,0.1583472732225656,0.6195652173913043,218.83532605671675
long,all,12,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.050952678223526934,0.5038377712498816,276,18.885245901639344,0.1583472732225656,0.6195652173913043,218.83532605671675
long,all,12,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.050952678223526934,0.5038377712498816,276,18.885245901639344,0.1583472732225656,0.6195652173913043,218.83532605671675
long,all,12,all:spread_price <= 0.0150,all:spread_price <= 0.0150,10553,43.96510870980341,0.050952678223526934,0.5038377712498816,276,18.885245901639344,0.1583472732225656,0.6195652173913043,218.83532605671675
short,all,3,all:spread_points <= 15.0000,all:spread_points <= 15.0000,10553,43.96510870980341,0.0052238806354853486,0.4869705297071923,276,18.885245901639344,0.08745100251385401,0.5181159420289855,199.09692988438448
short,all,3,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.0052238806354853486,0.4869705297071923,276,18.885245901639344,0.08745100251385401,0.5181159420289855,199.09692988438448
short,all,3,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.0052238806354853486,0.4869705297071923,276,18.885245901639344,0.08745100251385401,0.5181159420289855,199.09692988438448
short,all,3,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.0052238806354853486,0.4869705297071923,276,18.885245901639344,0.08745100251385401,0.5181159420289855,199.09692988438448
short,all,3,all:spread_points <= 15.0000,all:spread_price <= 0.0150,10553,43.96510870980341,0.0052238806354853486,0.4869705297071923,276,18.885245901639344,0.08745100251385401,0.5181159420289855,199.09692988438448
short,all,3,all:spread_price <= 0.0150,all:spread_price <= 0.0150,10553,43.96510870980341,0.0052238806354853486,0.4869705297071923,276,18.885245901639344,0.08745100251385401,0.5181159420289855,199.09692988438448
