Id,Symbol,MaxSimultaneousHoldings,Concurrent1Trades,Concurrent1ExpectancyR,Concurrent1WinRate,Concurrent1ProfitFactor,Concurrent2Trades,Concurrent2ExpectancyR,Concurrent2WinRate,Concurrent2ProfitFactor,Concurrent2MaxDD_R,SameDirectionTwoPositionEntries,OppositeDirectionEntries,ExactDuplicateSetupEntries,NearDuplicateSetupEntries,DuplicateOrNearSetupEntries
baseline-b-usdjpy-full-2024-2026q1,USDJPY,2,1298,-0.021624727084029308,39.13713405238829,0.9644697522087717,1550,-0.049978220606764774,38.0,0.9193899667632824,97.48115921305889,839,711,63,0,63
baseline-b-usdjpy-2024,USDJPY,2,522,0.0009277397995772962,40.03831417624521,1.0015472210076022,677,-0.03615864217156492,38.55243722304284,0.9411552866582948,47.49163855479115,365,312,27,0,27
baseline-b-usdjpy-2025,USDJPY,2,618,-0.06562396375290175,37.37864077669903,0.8952051431542806,704,-0.08379068172339485,36.64772727272727,0.8677384754859423,67.00348780226327,378,326,29,0,29
baseline-b-usdjpy-2026q1,USDJPY,2,152,0.052646429468335545,42.10526315789474,1.0909347418089426,164,0.021329150702474264,40.853658536585364,1.0360616568577914,10.985494544239993,92,72,7,0,7
baseline-b-usdjpy-2024q1,USDJPY,2,134,-0.029760133032742768,38.80597014925373,0.9513675874830791,184,-0.06256164361485794,37.5,0.8999013702162274,22.507699254851136,97,87,6,0,6
baseline-b-usdjpy-2024q2,USDJPY,2,116,0.20677961704963377,48.275862068965516,1.399773926295958,169,-0.05314565713495842,37.8698224852071,0.9144607994684955,21.49802211378277,99,70,5,0,5
baseline-b-usdjpy-2024q3,USDJPY,2,142,0.05632778252461377,42.25352112676056,1.0975432331523802,177,-0.05369767529419645,37.85310734463277,0.9135955588447929,18.498369855235307,95,82,12,0,12
baseline-b-usdjpy-2024q4,USDJPY,2,130,-0.23086009051269843,30.76923076923077,0.666535424814991,141,0.028502437631425754,41.13475177304964,1.0484198036871206,19.99222261970362,71,70,4,0,4
baseline-b-usdjpy-2025q1,USDJPY,2,151,-0.0730129906466582,37.086092715231786,0.8839477727616272,193,-0.06734342635847618,37.30569948186528,0.8925844521720174,20.509022394732312,101,92,9,0,9
baseline-b-usdjpy-2025q2,USDJPY,2,160,-0.031323230517743106,38.75,0.9488600318077665,168,-0.09243686766579459,36.30952380952381,0.8548654788051073,23.024050711276367,96,72,5,0,5
baseline-b-usdjpy-2025q3,USDJPY,2,167,-0.05697952742289452,37.724550898203596,0.9085040280805445,151,-0.08944390904280185,36.42384105960265,0.8593121847347596,31.52368538532876,81,70,5,0,5
baseline-b-usdjpy-2025q4,USDJPY,2,135,-0.12965905303540087,34.81481481481482,0.8010912254570556,178,-0.08684951346747788,36.51685393258427,0.8631928017945923,24.97494852608095,90,88,10,0,10
baseline-b-usdjpy-2026q1-quarter,USDJPY,2,152,0.052646429468335545,42.10526315789474,1.0909347418089426,164,0.021329150702474264,40.853658536585364,1.0360616568577914,10.985494544239993,92,72,7,0,7
baseline-b-eurusd-full-2024-2026q1,EURUSD,2,1261,-0.21479095760002967,31.403647898493258,0.6868769970709397,1455,-0.12366056805379134,35.05154639175258,0.8096019825203528,194.42095982398178,780,675,62,0,62
baseline-b-xauusd-full-2024-2026q1,XAUUSD,2,1445,-0.027683307827508188,38.89273356401384,0.9546971916073057,1643,-0.017048411973843706,39.31832014607426,0.9719051746509272,65.00575158135331,940,703,49,0,49
