Id,Symbol,Direction,Session,Trades,ExpectancyR,WinRate,ProfitFactor
baseline-b-usdjpy-full-2024-2026q1,USDJPY,LONG,asia,561,-0.001663606216446497,39.928698752228165,0.9972306139838975
baseline-b-usdjpy-full-2024-2026q1,USDJPY,LONG,london,374,-0.0505440745645442,37.967914438502675,0.918519466003709
baseline-b-usdjpy-full-2024-2026q1,USDJPY,LONG,new_york,440,-0.0283221494027635,38.86363636363637,0.9536738076683418
baseline-b-usdjpy-full-2024-2026q1,USDJPY,LONG,late_us,62,-0.3546701531988032,25.806451612903224,0.5219663152537869
baseline-b-usdjpy-full-2024-2026q1,USDJPY,SHORT,asia,520,0.014177352421965939,40.57692307692308,1.0238583277003956
baseline-b-usdjpy-full-2024-2026q1,USDJPY,SHORT,london,391,-0.0857019094692427,36.57289002557545,0.8648812636997022
baseline-b-usdjpy-full-2024-2026q1,USDJPY,SHORT,new_york,450,-0.07238120256089821,37.111111111111114,0.8849062150091722
baseline-b-usdjpy-full-2024-2026q1,USDJPY,SHORT,late_us,50,0.14923378020016387,46.0,1.2763588522225258
baseline-b-usdjpy-2024,USDJPY,LONG,asia,225,0.07790656911682295,43.111111111111114,1.1369451410256655
baseline-b-usdjpy-2024,USDJPY,LONG,london,162,0.0034257742764241365,40.123456790123456,1.0057213962142344
baseline-b-usdjpy-2024,USDJPY,LONG,new_york,194,0.030941894345279265,41.23711340206186,1.0526555044121417
baseline-b-usdjpy-2024,USDJPY,LONG,late_us,28,-0.463839382947931,21.428571428571427,0.4096589671571787
baseline-b-usdjpy-2024,USDJPY,SHORT,asia,212,-0.2099347102528524,31.60377358490566,0.6930609753544503
baseline-b-usdjpy-2024,USDJPY,SHORT,london,169,-0.08294074723319841,36.68639053254438,0.8690001282017706
baseline-b-usdjpy-2024,USDJPY,SHORT,new_york,191,0.08620890507198786,43.455497382198956,1.1524620450810157
baseline-b-usdjpy-2024,USDJPY,SHORT,late_us,18,0.3868302859993046,55.55555555555556,1.8703681434984354
baseline-b-usdjpy-2025,USDJPY,LONG,asia,271,-0.1050496979814203,35.79335793357934,0.8363881140634204
baseline-b-usdjpy-2025,USDJPY,LONG,london,163,-0.07956024899813789,36.809815950920246,0.8740939748864421
baseline-b-usdjpy-2025,USDJPY,LONG,new_york,200,-0.16234871787467456,33.5,0.7558665896621437
baseline-b-usdjpy-2025,USDJPY,LONG,late_us,28,-0.19650167056370732,32.142857142857146,0.7104185907482208
