Id,Symbol,Session,Trades,ExpectancyR,WinRate,ProfitFactor
baseline-b-usdjpy-full-2024-2026q1,USDJPY,asia,1081,0.005956466394075648,40.24051803885291,1.0099673996470515
baseline-b-usdjpy-full-2024-2026q1,USDJPY,london,765,-0.06851363462694564,37.254901960784316,0.8908063948133053
baseline-b-usdjpy-full-2024-2026q1,USDJPY,new_york,890,-0.05059919875238217,37.97752808988764,0.9184179585332976
baseline-b-usdjpy-full-2024-2026q1,USDJPY,late_us,112,-0.12971304007426437,34.82142857142857,0.8009882124888
baseline-b-usdjpy-2024,USDJPY,asia,437,-0.061732678540777026,37.52860411899314,0.9011824889292328
baseline-b-usdjpy-2024,USDJPY,london,331,-0.040670727642386134,38.368580060422964,0.9340097507371085
baseline-b-usdjpy-2024,USDJPY,new_york,385,0.05836007369281518,42.33766233766234,1.101210037710513
baseline-b-usdjpy-2024,USDJPY,late_us,46,-0.13096864292509974,34.78260869565217,0.7991814141815137
baseline-b-usdjpy-2025,USDJPY,asia,525,0.028422179873114257,41.142857142857146,1.0482901114349026
baseline-b-usdjpy-2025,USDJPY,london,339,-0.10020707379448271,35.9882005899705,0.8434553086805084
baseline-b-usdjpy-2025,USDJPY,new_york,402,-0.18530794426885486,32.58706467661692,0.7251151527819936
baseline-b-usdjpy-2025,USDJPY,late_us,56,-0.10717682774176637,35.714285714285715,0.8332804901794746
baseline-b-usdjpy-2026q1,USDJPY,asia,116,0.12064058507101755,44.827586206896555,1.2186610604412187
baseline-b-usdjpy-2026q1,USDJPY,london,91,-0.06578215728397716,37.362637362637365,0.8949793629325977
baseline-b-usdjpy-2026q1,USDJPY,new_york,100,0.049935069992207766,42.0,1.0860949482624274
baseline-b-usdjpy-2026q1,USDJPY,late_us,9,-0.16682228446934497,33.333333333333336,0.7497665732959825
baseline-b-usdjpy-2024q1,USDJPY,asia,118,-0.004215774296652844,39.83050847457627,0.9929935018731686
baseline-b-usdjpy-2024q1,USDJPY,london,82,-0.08515975687904709,36.58536585365854,0.8657096141522718
baseline-b-usdjpy-2024q1,USDJPY,new_york,98,-0.03045209718400782,38.775510204081634,0.9502615745994539
baseline-b-usdjpy-2024q1,USDJPY,late_us,20,-0.2517166648200865,30.0,0.6404047645427337
baseline-b-usdjpy-2024q2,USDJPY,asia,110,-0.09074447228931894,36.36363636363637,0.8574015435453559
baseline-b-usdjpy-2024q2,USDJPY,london,85,0.00019060612359516975,40.0,1.000317676872658
baseline-b-usdjpy-2024q2,USDJPY,new_york,79,0.3286865373290641,53.164556962025316,1.7017901742971906
baseline-b-usdjpy-2024q2,USDJPY,late_us,11,-0.09052059052063897,36.36363636363637,0.8577533577532817
baseline-b-usdjpy-2024q3,USDJPY,asia,111,-0.03152400520213275,38.73873873873874,0.9485416973906361
baseline-b-usdjpy-2024q3,USDJPY,london,88,-0.062457061751922206,37.5,0.9000687011969244
baseline-b-usdjpy-2024q3,USDJPY,new_york,110,0.045342725308637644,41.81818181818182,1.0779328091242208
baseline-b-usdjpy-2024q3,USDJPY,late_us,10,0.25017428190781266,50.0,1.5003485638156253
baseline-b-usdjpy-2024q4,USDJPY,asia,99,-0.11614810733386635,35.35353535353536,0.8203333964679257
baseline-b-usdjpy-2024q4,USDJPY,london,72,-0.06248459544283727,37.5,0.9000246472914601
