Preset,DirectionFilter,Month,Trades,ProfitR,ExpectancyR
C,ANY,2024-01,32,0.5004241023999998,0.015638253199999994
C,ANY,2024-02,38,12.0092000515,0.3160315803026316
C,ANY,2024-03,26,1.4747780013,0.05672223081923077
C,ANY,2024-04,37,-12.006151743,-0.32449058764864863
C,ANY,2024-05,41,18.9963037437,0.4633244815536586
C,ANY,2024-06,32,0.4931405280000003,0.01541064150000001
C,ANY,2024-07,31,-1.0010868115000005,-0.03229312295161292
C,ANY,2024-08,29,-4.0061952584,-0.13814466408275863
C,ANY,2024-09,28,-2.9991961474,-0.10711414812142858
C,ANY,2024-10,40,-7.4913748356999985,-0.18728437089249997
C,ANY,2024-11,23,4.4994579336000005,0.19562860580869568
C,ANY,2024-12,29,0.9948498925999996,0.034305168710344815
C,ANY,2025-01,34,18.490116234899997,0.543826948085294
C,ANY,2025-02,30,-2.4900440714999994,-0.08300146904999998
C,ANY,2025-03,32,-1.999626623300001,-0.062488331978125033
C,ANY,2025-04,26,-5.9996993091999995,-0.23075766573846151
C,ANY,2025-05,26,11.5004627193,0.4423254892038461
C,ANY,2025-06,31,8.999504056100001,0.29030658245483876
C,ANY,2025-07,34,-1.5068034571,-0.044317748738235296
C,ANY,2025-08,32,15.4913804175,0.484105638046875
C,ANY,2025-09,23,2.0018564265,0.0870372359347826
C,ANY,2025-10,31,-11.008671103000001,-0.3551184226774194
C,ANY,2025-11,25,7.505151506899999,0.30020606027599994
C,ANY,2025-12,20,2.5005876355000005,0.12502938177500003
C,ANY,2026-01,27,-1.9998235490999998,-0.07406753885555555
C,ANY,2026-02,20,0.002520909800000082,0.0001260454900000041
C,ANY,2026-03,24,0.9947684456999997,0.041448685237499984
C,LONG_ONLY,2024-01,1,1.5,1.5
C,LONG_ONLY,2024-02,5,2.5054890347,0.5010978069400001
C,LONG_ONLY,2024-03,9,-4.001186580800001,-0.4445762867555556
C,LONG_ONLY,2024-05,7,3.0056224138000003,0.4293746305428572
