Preset,DirectionFilter,FullTrades,FullExpectancyR,FullPF,FullMaxDD_R,FullMaxConsecutiveLosses,PositiveYears,PositiveQuarters,PassFullExpectancy,PassFullPF,PassYears,PassQuarters
C,ANY,801,0.06734810199303869,1.1175290407329501,23.005897865582856,14,2/3,5/9,yes,yes,yes,no
C,LONG_ONLY,296,-0.0708509136132851,0.8872480084433748,29.973298154446912,9,0/3,3/9,no,no,no,no
C,SHORT_ONLY,505,0.1483518814375375,1.2744238099851892,16.00480050531634,14,3/3,9/9,yes,yes,yes,yes
H,ANY,633,0.062343473118976776,1.1084159848470119,20.00077818591243,13,3/3,7/9,yes,yes,yes,yes
H,LONG_ONLY,229,-0.0610356240131889,0.9022576370697885,31.981851366770485,7,1/3,5/9,no,no,no,no
H,SHORT_ONLY,406,0.12670092705254327,1.2306752304185316,16.00239234449755,13,3/3,7/9,yes,yes,yes,yes
J,ANY,532,0.08534808782355696,1.1508477831300077,21.496858696664873,11,3/3,8/9,yes,yes,yes,yes
J,LONG_ONLY,193,-0.028400782833720873,0.9535478721448466,26.994487090944947,10,2/3,4/9,no,no,yes,no
J,SHORT_ONLY,340,0.1467250994383543,1.2711224663534806,11.506979500460073,10,3/3,8/9,yes,yes,yes,yes
