Preset,DirectionFilter,Period,PeriodLabel,PeriodRole,From,To,Magic,TotalTrades,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxConsecutiveLosses,LongTrades,ShortTrades,LongExpectancyR,ShortExpectancyR,MaxDD_R
C,ANY,2024,2024,year,2024.01.01,2024.12.31,2026051702,386,41.19170984455958,1.4997745248852912,-1.0,0.029699869058967297,1.0505028610430014,11,102,284,-0.11750818215237059,0.08257036632501125,23.005897865582856
C,ANY,2025,2025,year,2025.01.01,2025.12.31,2026051703,343,45.18950437317784,1.49989815763426,-1.0,0.12969158726912633,1.2366181618793102,14,173,170,-0.01728224713706576,0.2792590775766041,17.513471608360987
C,ANY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051704,71,39.436619718309856,1.4999094930840104,-1.0,-0.014120199910531147,0.9766852513105185,5,21,50,-0.28553367120372436,0.09987345803260997,10.495958820786303
C,LONG_ONLY,2024,2024,year,2024.01.01,2024.12.31,2026051715,102,35.294117647058826,1.5003934839016169,-1.0,-0.11750818215237059,0.8183964457645183,8,102,0,-0.11750818215237059,0.0,17.491896556469232
C,LONG_ONLY,2025,2025,year,2025.01.01,2025.12.31,2026051716,173,39.30635838150289,1.5001495771365827,-1.0,-0.01728224713706576,0.9715254404313107,9,173,0,-0.01728224713706576,0.0,20.98630696752236
C,LONG_ONLY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051717,21,28.571428571428573,1.5006321507869647,-1.0,-0.28553367120372436,0.6002528603147859,5,21,0,-0.28553367120372436,0.0,6.998599439775877
C,SHORT_ONLY,2024,2024,year,2024.01.01,2024.12.31,2026051728,284,43.309859154929576,1.4995933661488061,-1.0,0.08257036632501125,1.145652074759647,11,0,284,0.0,0.08257036632501125,16.00239234449755
C,SHORT_ONLY,2025,2025,year,2025.01.01,2025.12.31,2026051729,170,51.1764705882353,1.4997016458393415,-1.0,0.2792590775766041,1.5719764239520808,14,0,170,0.0,0.2792590775766041,16.004800505316325
C,SHORT_ONLY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051730,50,44.0,1.4997124046195685,-1.0,0.09987345803260997,1.178345460772518,5,0,50,0.0,0.09987345803260997,5.497584541063065
H,ANY,2024,2024,year,2024.01.01,2024.12.31,2026051741,304,40.78947368421053,1.499862471224065,-1.0,0.019680744841395065,1.0332385912876891,11,81,223,-0.0738856063042499,0.053666728889813206,20.00077818591243
H,ANY,2025,2025,year,2025.01.01,2025.12.31,2026051742,278,43.52517985611511,1.4998321928234766,-1.0,0.0880564580274846,1.1559216263161827,13,137,141,-0.05106727513210035,0.22323341861516652,15.495431536095296
H,ANY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051743,50,48.0,1.500032363370311,-1.0,0.20001553441774925,1.3846452584956717,4,10,40,0.0003792904721729995,0.24992459540414327,4.497607655502449
H,LONG_ONLY,2024,2024,year,2024.01.01,2024.12.31,2026051754,81,37.03703703703704,1.5005088629785255,-1.0,-0.0738856063042499,0.8826522723403092,7,81,0,-0.0738856063042499,0.0,14.495919887484126
H,LONG_ONLY,2025,2025,year,2025.01.01,2025.12.31,2026051755,138,37.68115942028985,1.500072755901966,-1.0,-0.057943599225346,0.9070207361267701,7,138,0,-0.057943599225346,0.0,24.99272380859132
H,LONG_ONLY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051756,10,40.0,1.5009482261804323,-1.0,0.0003792904721729995,1.0006321507869549,3,10,0,0.0003792904721729995,0.0,3.0
H,SHORT_ONLY,2024,2024,year,2024.01.01,2024.12.31,2026051767,223,42.152466367713004,1.4996561759832794,-1.0,0.053666728889813206,1.092772717383165,11,0,223,0.0,0.053666728889813206,16.00239234449755
H,SHORT_ONLY,2025,2025,year,2025.01.01,2025.12.31,2026051768,142,48.59154929577465,1.4996508989092532,-1.0,0.21461909876576396,1.4174782469142255,13,0,142,0.0,0.21461909876576396,15.503105590062177
H,SHORT_ONLY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051769,40,50.0,1.499849190808287,-1.0,0.24992459540414327,1.499849190808287,4,0,40,0.0,0.24992459540414327,4.0
J,ANY,2024,2024,year,2024.01.01,2024.12.31,2026051780,261,41.76245210727969,1.4994860232744662,-1.0,0.04384665339814894,1.0752893193218211,8,70,191,0.0001763305572596455,0.05985148375868429,11.506979500460073
J,ANY,2025,2025,year,2025.01.01,2025.12.31,2026051781,230,43.91304347826087,1.4997349931687078,-1.0,0.09770971439147595,1.1742111186824766,11,113,117,-0.07077422239502684,0.2604335165869873,21.496858696664866
J,ANY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051782,40,52.5,1.4994272321512365,-1.0,0.3121992968793991,1.6572616776408402,4,9,31,0.38931032274685884,0.2898122248533624,4.004637518224854
J,LONG_ONLY,2024,2024,year,2024.01.01,2024.12.31,2026051793,70,40.0,1.5004408263931495,-1.0,0.0001763305572596455,1.0002938842620996,5,70,0,0.0001763305572596455,0.0,9.001018329938717
J,LONG_ONLY,2025,2025,year,2025.01.01,2025.12.31,2026051794,114,36.8421052631579,1.500059830222904,-1.0,-0.07892532570735115,0.8750349009633607,10,114,0,-0.07892532570735115,0.0,26.994487090944947
J,LONG_ONLY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051795,9,55.55555555555556,1.5007585809443458,-1.0,0.38931032274685884,1.8759482261804323,3,9,0,0.38931032274685884,0.0,3.0
J,SHORT_ONLY,2024,2024,year,2024.01.01,2024.12.31,2026051806,191,42.40837696335078,1.4991559678754158,-1.0,0.05985148375868429,1.103923939980988,8,0,191,0.0,0.05985148375868429,11.506979500460073
J,SHORT_ONLY,2025,2025,year,2025.01.01,2025.12.31,2026051807,117,50.427350427350426,1.4995037532318216,-1.0,0.2604335165869873,1.5253572662185773,10,0,117,0.0,0.2604335165869873,10.0
J,SHORT_ONLY,2026q1,2026Q1,year,2026.01.01,2026.03.30,2026051808,31,51.61290322580645,1.4990111856533899,-1.0,0.2898122248533624,1.598945264696949,4,0,31,0.0,0.2898122248533624,4.004637518224854
