side,context,horizon,feature,operator,quantile,threshold,train_trades,train_tpd,train_expectancy,train_hit_rate,test_trades,test_tpd,test_expectancy,test_hit_rate,score
short,all,6,rsi7,>=,0.8,70.36876584424625,14800,56.7517908023327,0.011705212685103246,0.5196621621621622,5051,56.76609693280262,0.1307071744649427,0.5404870322708375,207.5467516752443
short,all,3,rsi7,>=,0.8,70.36876584424625,14800,56.7517908023327,0.01844630523145804,0.5235135135135135,5051,56.76609693280262,0.08753012502776976,0.5547416353197386,205.07820479232538
short,all,6,ret_3,>=,0.8,0.0012042929572535944,14881,57.069230461935895,0.008496439235829824,0.5074927760231167,6352,71.38749707328495,0.10940109886511973,0.5311712846347607,204.92757516679887
short,all,12,tick_volume_z,>=,0.8,0.8247329491046158,14876,57.09262936261511,0.031209676196422835,0.49536165635923635,4864,54.70076926080675,0.20728185893387643,0.4965049342105263,203.77743015268913
short,all,6,ret_6,>=,0.8,0.0016807804737585031,14882,57.069265798514024,0.008112214576177959,0.5146485687407607,6404,71.97190353547178,0.09444823730320133,0.5315427857589007,203.7404196339345
long,all,6,roc_atr_6,<=,0.2,-1.3738598464876055,14883,57.09134500119875,0.07990086955726193,0.534838406235302,5164,58.124516355962015,0.023052441513733878,0.5548024786986832,202.67954639027343
long,all,12,range_compression_12,>=,0.8,0.0074818168704777884,14884,57.44022940758707,0.03716433101669878,0.5206933619994625,9929,111.83230348064137,0.0704671780164358,0.5156611944808138,202.39457632899496
long,all,6,rsi7,<=,0.2,29.577224554401095,14800,56.78354470851539,0.08779975802506103,0.5349324324324324,5364,60.37565951459726,0.03551624359823277,0.5456748695003728,202.30688128987828
long,all,3,roc_atr_6,<=,0.2,-1.3738598464876055,14883,57.09134500119875,0.04906159073360916,0.5316132500167977,5164,58.124516355962015,0.03413228771047955,0.5505422153369481,201.99892727208822
long,all,3,high_break_12,<=,0.2,-3.0687498274504956,14883,57.098950285074864,0.04953032030618653,0.5310085332258281,5117,57.61351108331053,0.022628158143890815,0.5532538596834082,201.1395902075934
