"group_name","group_value","trades","net","pf","avg_R","win_rate","full_sl","tp","break_even","time_exit"
"c1_full_hard_wave3:session_label","new_york","39","-47.63","0.871","-0.0435","0.5128","13","5","0","21"
"c1_full_hard_wave3:session_label","tokyo","34","-70.33","0.795","-0.0932","0.4412","11","4","0","19"
"c1_full_hard_wave3:session_label","london_newyork_overlap","54","-146.41","0.766","-0.1124","0.4444","23","8","0","23"
"c1_full_hard_wave3:session_label","london","36","-8.51","0.979","-0.0069","0.4722","16","7","0","13"
"c2_q1_soft_bias:session_label","new_york","33","-197.39","0.449","-0.2492","0.3636","12","2","0","19"
"c2_q1_soft_bias:session_label","london_newyork_overlap","33","20.73","1.047","0.0198","0.4242","17","11","0","5"
"c2_q1_soft_bias:session_label","tokyo","18","5.49","1.034","0.0181","0.4444","5","2","0","11"
"c2_q1_soft_bias:session_label","london","17","96.51","1.525","0.2364","0.5294","7","6","0","4"
"c3_q1_retest_reclaim:session_label","new_york","33","-198.22","0.448","-0.2518","0.3636","12","2","0","19"
"c3_q1_retest_reclaim:session_label","london_newyork_overlap","32","44.94","1.108","0.0522","0.4375","16","11","0","5"
"c3_q1_retest_reclaim:session_label","tokyo","18","5.49","1.034","0.0181","0.4444","5","2","0","11"
"c3_q1_retest_reclaim:session_label","london","16","122.2","1.774","0.3156","0.5625","6","6","0","4"
"c4_q1_be_1_1r:session_label","new_york","33","-234.77","0.344","-0.2979","0.3333","12","1","1","19"
"c4_q1_be_1_1r:session_label","london_newyork_overlap","32","12.45","1.03","0.0075","0.4062","16","10","2","4"
"c4_q1_be_1_1r:session_label","tokyo","18","6.24","1.038","0.018","0.4444","5","2","1","10"
"c4_q1_be_1_1r:session_label","london","16","122.2","1.774","0.3156","0.5625","6","6","0","4"
"c5_q1_break_then_retest:session_label","new_york","31","-156.75","0.531","-0.2143","0.4194","12","2","0","17"
"c5_q1_break_then_retest:session_label","tokyo","19","-13.38","0.918","-0.0193","0.3684","5","2","0","12"
"c5_q1_break_then_retest:session_label","london_newyork_overlap","30","-77.91","0.81","-0.1062","0.4","16","7","0","7"
"c5_q1_break_then_retest:session_label","london","18","186.83","2.201","0.4226","0.6111","6","7","0","5"
"c6_full_cycle5_final:session_label","new_york","72","-53.97","0.921","-0.0318","0.4861","26","10","0","36"
"c6_full_cycle5_final:session_label","tokyo","37","-0.2","0.999","0.0076","0.4054","11","7","0","19"
"c6_full_cycle5_final:session_label","london_newyork_overlap","113","-725.78","0.533","-0.2739","0.3628","62","16","0","35"
"c6_full_cycle5_final:session_label","london","63","79.82","1.113","0.0501","0.4603","28","18","0","17"
