"cycle","period","trades","net","pf","avg_R","closed_trade_max_dd","win_rate","full_sl","tp","break_even_exit","time_exit","break_even_triggered","final_equity","peak_equity","htf_permission_rejections","signals","orders_sent","break_even_mode","allow_structure_trend_bias_when_no_wave3","require_retest_close_beyond_neckline","notes"
"c1_full_hard_wave3","2025 full year","163","-272.88","0.844","-0.0686","451.15","0.4663","63","24","0","76","0","9727.12","10150.51","88733","2371","163","no_break_even",,,"ordered Dow H1/M30/M5 hard structure wave3, no BE"
"c2_q1_soft_bias","2025 Q1","101","-74.66","0.935","-0.0319","346.97","0.4257","41","21","0","39","0","9925.34","10188.35","5639","1188","101","no_break_even","true",,"allow M30 trend bias when no confirmed wave3, no BE"
"c3_q1_retest_reclaim","2025 Q1","99","-25.59","0.977","-0.0128","261.77","0.4343","39","21","0","39","0","9974.41","10188.35","5645","1188","99","no_break_even","true","true","require retest candle close beyond neckline, no BE"
"c4_q1_be_1_1r","2025 Q1","99","-93.88","0.914","-0.0426","295.79","0.4141","39","19","4","37","22","9906.12","10191.78","5645","1188","99","break_even_at_1_1r","true","true","cycle3 logic plus break-even at 1.1R"
"c5_q1_break_then_retest","2025 Q1","98","-61.21","0.942","-0.0264","262.09","0.4388","39","18","0","41","0","9938.79","10156.41","5669","1177","98","no_break_even","true","true","previous bar must break neckline, current bar retests/reclaims, no BE"
"c6_full_cycle5_final","2025 full year","285","-700.13","0.788","-0.1046","831.72","0.4211","127","51","0","107","0","9299.87","10156.41","25881","4831","285","no_break_even","true","true","final concept-correct cycle5 logic full-year 2025, no BE"
