"group_name","group_value","trades","net","pf","avg_R","win_rate","full_sl","tp","break_even","time_exit"
"c1_full_hard_wave3:exit_type","full_sl","63","-1524.52","0","-1.0133","0","63","0","0","0"
"c1_full_hard_wave3:exit_type","time","76","390.87","2.766","0.2159","0.6842","0","0","0","76"
"c1_full_hard_wave3:exit_type","tp","24","860.77","999","1.5103","1","0","24","0","0"
"c2_q1_soft_bias:exit_type","full_sl","41","-1011.67","0","-1.0148","0","41","0","0","0"
"c2_q1_soft_bias:exit_type","time","39","167.16","2.28","0.1708","0.5641","0","0","0","39"
"c2_q1_soft_bias:exit_type","tp","21","769.85","999","1.5105","1","0","21","0","0"
"c3_q1_retest_reclaim:exit_type","full_sl","39","-963.06","0","-1.0169","0","39","0","0","0"
"c3_q1_retest_reclaim:exit_type","time","39","166.13","2.262","0.1708","0.5641","0","0","0","39"
"c3_q1_retest_reclaim:exit_type","tp","21","771.34","999","1.5113","1","0","21","0","0"
"c4_q1_be_1_1r:exit_type","full_sl","39","-959.24","0","-1.0169","0","39","0","0","0"
"c4_q1_be_1_1r:exit_type","time","37","169.83","2.328","0.1842","0.5946","0","0","0","37"
"c4_q1_be_1_1r:exit_type","tp","19","695.99","999","1.5075","1","0","19","0","0"
"c4_q1_be_1_1r:exit_type","break_even","4","-0.46","0","-0.0048","0","0","0","4","0"
"c5_q1_break_then_retest:exit_type","full_sl","39","-962.63","0","-1.0178","0","39","0","0","0"
"c5_q1_break_then_retest:exit_type","time","41","238.04","3.361","0.2427","0.6098","0","0","0","41"
"c5_q1_break_then_retest:exit_type","tp","18","663.38","999","1.5085","1","0","18","0","0"
"c6_full_cycle5_final:exit_type","full_sl","127","-3046.42","0","-1.0157","0","127","0","0","0"
"c6_full_cycle5_final:exit_type","time","107","523.36","3.086","0.207","0.6449","0","0","0","107"
"c6_full_cycle5_final:exit_type","tp","51","1822.93","999","1.5107","1","0","51","0","0"
