"group_name","group_value","trades","net","pf","avg_R","win_rate","full_sl","tp","break_even","time_exit"
"c1_full_hard_wave3:entry_pattern","sweep_high_reclaim","3","47.46","2.93","0.6667","0.6667","1","2","0","0"
"c1_full_hard_wave3:entry_pattern","double_bottom","33","-16.29","0.954","-0.0225","0.5152","14","5","0","14"
"c1_full_hard_wave3:entry_pattern","double_top","37","-84.75","0.818","-0.0907","0.4324","18","7","0","12"
"c1_full_hard_wave3:entry_pattern","head_and_shoulders","42","-193.49","0.61","-0.192","0.381","17","5","0","20"
"c1_full_hard_wave3:entry_pattern","inverse_head_and_shoulders","42","17.69","1.051","0.0192","0.5238","12","5","0","25"
"c1_full_hard_wave3:entry_pattern","choch_up","1","-7.3","0","-0.3303","0","0","0","0","1"
"c1_full_hard_wave3:entry_pattern","sweep_low_reclaim","3","-19.18","0.214","-0.2618","0.6667","1","0","0","2"
"c1_full_hard_wave3:entry_pattern","choch_down","2","-17.02","0.232","-0.3556","0.5","0","0","0","2"
"c2_q1_soft_bias:entry_pattern","sweep_high_reclaim","5","-0.04","0.999","-0.0039","0.4","3","2","0","0"
"c2_q1_soft_bias:entry_pattern","double_bottom","23","-134.23","0.607","-0.2393","0.3043","12","5","0","6"
"c2_q1_soft_bias:entry_pattern","sweep_low_reclaim","4","50.03","3.155","0.503","0.75","1","2","0","1"
"c2_q1_soft_bias:entry_pattern","double_top","25","-24.37","0.928","-0.0341","0.4","13","7","0","5"
"c2_q1_soft_bias:entry_pattern","inverse_head_and_shoulders","27","9.68","1.042","0.007","0.4815","8","2","0","17"
"c2_q1_soft_bias:entry_pattern","choch_up","1","-7.3","0","-0.3303","0","0","0","0","1"
"c2_q1_soft_bias:entry_pattern","head_and_shoulders","16","31.57","1.25","0.0799","0.5","4","3","0","9"
"c3_q1_retest_reclaim:entry_pattern","sweep_high_reclaim","5","-0.04","0.999","-0.0039","0.4","3","2","0","0"
"c3_q1_retest_reclaim:entry_pattern","double_bottom","22","-168.95","0.504","-0.3179","0.2727","12","4","0","6"
"c3_q1_retest_reclaim:entry_pattern","sweep_low_reclaim","4","50.03","3.155","0.503","0.75","1","2","0","1"
"c3_q1_retest_reclaim:entry_pattern","double_top","25","37.82","1.121","0.0668","0.44","12","8","0","5"
"c3_q1_retest_reclaim:entry_pattern","inverse_head_and_shoulders","26","31.28","1.15","0.043","0.5","7","2","0","17"
"c3_q1_retest_reclaim:entry_pattern","choch_up","1","-7.3","0","-0.3303","0","0","0","0","1"
"c3_q1_retest_reclaim:entry_pattern","head_and_shoulders","16","31.57","1.25","0.0799","0.5","4","3","0","9"
"c4_q1_be_1_1r:entry_pattern","sweep_high_reclaim","5","0.78","1.011","-0.0039","0.4","3","2","0","0"
"c4_q1_be_1_1r:entry_pattern","double_bottom","22","-168.95","0.504","-0.3179","0.2727","12","4","0","6"
"c4_q1_be_1_1r:entry_pattern","sweep_low_reclaim","4","50.03","3.155","0.503","0.75","1","2","0","1"
"c4_q1_be_1_1r:entry_pattern","double_top","25","4.7","1.015","0.0117","0.4","12","7","2","4"
"c4_q1_be_1_1r:entry_pattern","inverse_head_and_shoulders","26","-4.64","0.978","-0.0176","0.4615","7","1","1","17"
"c4_q1_be_1_1r:entry_pattern","choch_up","1","-7.3","0","-0.3303","0","0","0","0","1"
"c4_q1_be_1_1r:entry_pattern","head_and_shoulders","16","31.5","1.249","0.0798","0.5","4","3","1","8"
"c5_q1_break_then_retest:entry_pattern","sweep_high_reclaim","5","0.78","1.011","-0.0039","0.4","3","2","0","0"
"c5_q1_break_then_retest:entry_pattern","inverse_head_and_shoulders","26","-23.62","0.889","-0.0383","0.4615","7","1","0","18"
"c5_q1_break_then_retest:entry_pattern","sweep_low_reclaim","4","49.96","3.152","0.503","0.75","1","2","0","1"
"c5_q1_break_then_retest:entry_pattern","double_top","26","-1.45","0.996","-0.0029","0.3846","13","8","0","5"
"c5_q1_break_then_retest:entry_pattern","bos_up","2","-10.19","0.566","-0.2233","0.5","1","0","0","1"
"c5_q1_break_then_retest:entry_pattern","choch_up","1","-7.3","0","-0.3303","0","0","0","0","1"
"c5_q1_break_then_retest:entry_pattern","head_and_shoulders","15","24.21","1.219","0.0756","0.6","4","1","0","10"
"c5_q1_break_then_retest:entry_pattern","double_bottom","17","-166.27","0.399","-0.4055","0.2353","10","2","0","5"
"c5_q1_break_then_retest:entry_pattern","choch_down","2","72.67","999","1.5135","1","0","2","0","0"
"c6_full_cycle5_final:entry_pattern","sweep_high_reclaim","16","11.98","1.055","0.0214","0.4375","9","6","0","1"
"c6_full_cycle5_final:entry_pattern","inverse_head_and_shoulders","74","-119.7","0.831","-0.068","0.4459","26","8","0","40"
"c6_full_cycle5_final:entry_pattern","sweep_low_reclaim","13","35.29","1.25","0.0985","0.5385","6","4","0","3"
"c6_full_cycle5_final:entry_pattern","double_top","63","-292.98","0.68","-0.1956","0.3492","37","15","0","11"
"c6_full_cycle5_final:entry_pattern","bos_up","2","-10.19","0.566","-0.2233","0.5","1","0","0","1"
"c6_full_cycle5_final:entry_pattern","choch_up","1","-7.3","0","-0.3303","0","0","0","0","1"
"c6_full_cycle5_final:entry_pattern","head_and_shoulders","52","-154.86","0.692","-0.126","0.4231","18","5","0","29"
"c6_full_cycle5_final:entry_pattern","double_bottom","61","-214.59","0.717","-0.145","0.4262","30","11","0","20"
"c6_full_cycle5_final:entry_pattern","choch_down","3","52.22","3.554","0.6973","0.6667","0","2","0","1"
