"group_name","group_value","trades","net","pf","avg_R","win_rate","full_sl","tp","break_even","time_exit"
"c1_full_hard_wave3:symbol","EURJPY","18","-32.22","0.806","-0.0605","0.5556","6","1","0","11"
"c1_full_hard_wave3:symbol","USDJPY","92","233.5","1.27","0.107","0.5435","30","18","0","44"
"c1_full_hard_wave3:symbol","GBPJPY","9","-80.57","0.456","-0.3638","0.2222","6","2","0","1"
"c1_full_hard_wave3:symbol","GBPUSD","18","-165.25","0.286","-0.397","0.3333","8","1","0","9"
"c1_full_hard_wave3:symbol","EURUSD","21","-131.46","0.451","-0.2578","0.381","9","2","0","10"
"c1_full_hard_wave3:symbol","AUDJPY","5","-96.88","0","-0.8202","0","4","0","0","1"
"c2_q1_soft_bias:symbol","EURJPY","13","-173.6","0.249","-0.5482","0.1538","8","1","0","4"
"c2_q1_soft_bias:symbol","USDJPY","57","186.09","1.317","0.1353","0.5263","21","15","0","21"
"c2_q1_soft_bias:symbol","GBPJPY","13","-36.29","0.739","-0.1281","0.3077","5","2","0","6"
"c2_q1_soft_bias:symbol","GBPUSD","9","-82.44","0.225","-0.3842","0.3333","4","0","0","5"
"c2_q1_soft_bias:symbol","EURUSD","8","33.68","1.437","0.1754","0.5","3","3","0","2"
"c2_q1_soft_bias:symbol","AUDJPY","1","-2.1","0","-0.0879","0","0","0","0","1"
"c3_q1_retest_reclaim:symbol","EURJPY","12","-148.94","0.279","-0.5081","0.1667","7","1","0","4"
"c3_q1_retest_reclaim:symbol","USDJPY","56","148.11","1.252","0.1108","0.5179","21","14","0","21"
"c3_q1_retest_reclaim:symbol","GBPJPY","13","-36.09","0.74","-0.1346","0.3077","5","2","0","6"
"c3_q1_retest_reclaim:symbol","GBPUSD","9","-20.25","0.752","-0.1038","0.4444","3","1","0","5"
"c3_q1_retest_reclaim:symbol","EURUSD","8","33.68","1.437","0.1754","0.5","3","3","0","2"
"c3_q1_retest_reclaim:symbol","AUDJPY","1","-2.1","0","-0.0879","0","0","0","0","1"
"c4_q1_be_1_1r:symbol","EURJPY","12","-148.12","0.28","-0.5081","0.1667","7","1","0","4"
"c4_q1_be_1_1r:symbol","USDJPY","56","75.64","1.129","0.0554","0.4821","21","12","2","21"
"c4_q1_be_1_1r:symbol","GBPJPY","13","-32.73","0.758","-0.1236","0.3077","5","2","2","4"
"c4_q1_be_1_1r:symbol","GBPUSD","9","-20.25","0.752","-0.1038","0.4444","3","1","0","5"
"c4_q1_be_1_1r:symbol","EURUSD","8","33.68","1.437","0.1754","0.5","3","3","0","2"
"c4_q1_be_1_1r:symbol","AUDJPY","1","-2.1","0","-0.0879","0","0","0","0","1"
"c5_q1_break_then_retest:symbol","EURJPY","12","-103.76","0.438","-0.3676","0.25","7","1","0","4"
"c5_q1_break_then_retest:symbol","USDJPY","54","126.81","1.24","0.1028","0.5185","19","11","0","24"
"c5_q1_break_then_retest:symbol","GBPJPY","14","-12.31","0.911","-0.0491","0.3571","5","3","0","6"
"c5_q1_break_then_retest:symbol","GBPUSD","9","-43.81","0.595","-0.2062","0.4444","4","1","0","4"
"c5_q1_break_then_retest:symbol","EURUSD","8","-26.04","0.741","-0.1369","0.375","4","2","0","2"
"c5_q1_break_then_retest:symbol","AUDJPY","1","-2.1","0","-0.0879","0","0","0","0","1"
"c6_full_cycle5_final:symbol","EURJPY","34","-78.86","0.781","-0.1005","0.4412","14","4","0","16"
"c6_full_cycle5_final:symbol","USDJPY","162","-119.67","0.934","-0.0273","0.463","68","33","0","61"
"c6_full_cycle5_final:symbol","GBPJPY","20","-4.28","0.978","-0.013","0.4","7","4","0","9"
"c6_full_cycle5_final:symbol","GBPUSD","27","-300.35","0.277","-0.4788","0.2963","17","2","0","8"
"c6_full_cycle5_final:symbol","EURUSD","34","-110.92","0.725","-0.1486","0.3824","16","7","0","11"
"c6_full_cycle5_final:symbol","AUDJPY","8","-86.05","0.287","-0.4667","0.125","5","1","0","2"
