"group_name","group_value","trades","net","pf","avg_R","win_rate","full_sl","tp","break_even","time_exit"
"c1_full_hard_wave3:direction","SHORT","84","-247.8","0.755","-0.1206","0.4167","36","14","0","34"
"c1_full_hard_wave3:direction","LONG","79","-25.08","0.966","-0.0133","0.519","27","10","0","42"
"c2_q1_soft_bias:direction","SHORT","46","7.16","1.013","0.0089","0.4348","20","12","0","14"
"c2_q1_soft_bias:direction","LONG","55","-81.82","0.864","-0.066","0.4182","21","9","0","25"
"c3_q1_retest_reclaim:direction","SHORT","46","69.35","1.135","0.0637","0.4565","19","13","0","14"
"c3_q1_retest_reclaim:direction","LONG","53","-94.94","0.836","-0.0791","0.4151","20","8","0","25"
"c4_q1_be_1_1r:direction","SHORT","46","36.98","1.073","0.0337","0.4348","19","12","3","12"
"c4_q1_be_1_1r:direction","LONG","53","-130.86","0.774","-0.1088","0.3962","20","7","1","25"
"c5_q1_break_then_retest:direction","SHORT","48","96.21","1.185","0.0847","0.4792","20","13","0","15"
"c5_q1_break_then_retest:direction","LONG","50","-157.42","0.711","-0.1331","0.4","19","5","0","26"
"c6_full_cycle5_final:direction","SHORT","134","-383.64","0.768","-0.1227","0.3955","64","28","0","42"
"c6_full_cycle5_final:direction","LONG","151","-316.49","0.807","-0.0886","0.4437","63","23","0","65"
