"cycle","trades","avg_R","avg_MFE_R","avg_MAE_R","full_sl_rate","break_even_trigger_rate","break_even_exit_rate"
"c1_full_hard_wave3","163","-0.0686","0.3804","0.449","0.3865","0","0"
"c2_q1_soft_bias","101","-0.0319","0.4352","0.4671","0.4059","0","0"
"c3_q1_retest_reclaim","99","-0.0128","0.4442","0.4569","0.3939","0","0"
"c4_q1_be_1_1r","99","-0.0426","0.7915","0.7449","0.3939","0.2222","0.0404"
"c5_q1_break_then_retest","98","-0.0264","0.4219","0.4483","0.398","0","0"
"c6_full_cycle5_final","285","-0.1046","0.386","0.4906","0.4456","0","0"
