distance_index,distance_atr,direction,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,positive_segments,min_segment_trades,distance_p10,distance_p50,distance_p90,entry_spread_p10,entry_spread_p50,entry_spread_p90,tp_touch_seconds_p10,tp_touch_seconds_p50,tp_touch_seconds_p90,sl_touch_seconds_p10,sl_touch_seconds_p50,sl_touch_seconds_p90,mfe_60_p10,mfe_60_p50,mfe_60_p90,mae_60_p10,mae_60_p50,mae_60_p90,mfe_300_p10,mfe_300_p50,mfe_300_p90,mae_300_p10,mae_300_p50,mae_300_p90,mfe_900_p10,mfe_900_p50,mfe_900_p90,mae_900_p10,mae_900_p50,mae_900_p90,distance_spread_p10,distance_spread_p50
0,0.25,-1,72,0.33333333333333,-0.37263161571619,-26.829476331566,-2.2486111111112,-161.9,0.47216697342002,27.829476331566,0,72,24,48,0,-0.37263161571619,,-31.829476331566,0,0,0.00057,0.0585,0.071,0.00018,0.017,0.019,30.5889,112.8505,419.8096,6.7691,51.4405,483.2753,0,0.0055,0.077,0.000512,0.044,0.1521,1.3e-05,0.044,0.1988,0.001201,0.089,0.2838,0.000492,0.0705,0.3177,0.001627,0.1175,0.4023,3,3.3819444444444
0,0.25,1,72,0.36111111111111,-0.32198253143893,-23.182742263603,-1.7847222222223,-128.50000000001,0.52864071427024,24.947494536435,72,0,26,46,0,-0.32198253143893,,-28.182742263603,0,0,0.00057,0.0585,0.071,0.00018,0.017,0.019,23.4426,110.47,508.1308,10.138,49.812,232.9628,0,0.0095,0.1164,0.000632,0.0385,0.1117,4.1e-05,0.0555,0.2452,0.001124,0.0775,0.234,0.000498,0.081,0.3672,0.001729,0.1065,0.3555,3,3.3819444444444
1,0.5,-1,763,0.34731323722149,-0.33363764250666,-254.56552123258,-2.5089121887287,-1914.3,0.50565568937704,256.56552123258,0,763,256,493,14,-0.33363764250666,1,-259.56552123258,0,35,0.00062,0.055,0.101,0.00018,0.016,0.022,56.471,278.886,701.881,22.2062,128.693,566.9934,0,0.00017,0.044,0.00028,0.016,0.0748,0,0.00111,0.119,0.00043,0.019,0.143,3e-05,0.0028,0.2208,0.000622,0.02,0.2488,3.1052631578947,3.75
1,0.5,1,763,0.36566186107471,-0.29438263669117,-224.61395179536,-2.2530799475754,-1719.1,0.54917511482101,227.47622974729,763,0,270,473,20,-0.29438263669117,1,-229.61395179536,0,35,0.00062,0.055,0.101,0.00018,0.016,0.022,65.6551,259.9345,721.3288,23.0028,131.757,536.4278,0,0.00014,0.037,0.00029,0.017,0.0818,0,0.00122,0.1078,0.000392,0.019,0.1578,0,0.00237,0.2132,0.000542,0.023,0.262,3.1052631578947,3.75
2,0.75,-1,1681,0.39321832242713,-0.2371814401854,-398.70200095166,-2.1503271861987,-3614.7,0.60001106778774,399.70200095167,0,1681,558,936,187,-0.2371814401854,0.66295292981388,-403.70200095166,0,139,0.00065,0.00103,0.124,0.00018,0.00023,0.022,96.5544,335.931,735.688,40.8748,207.2505,656.8389,0,3e-05,0.028,0.00025,0.00064,0.059,0,0.00048,0.083,0.00033,0.00113,0.114,0,0.00118,0.161,0.00042,0.00178,0.181,3.1666666666667,4.25
2,0.75,1,1681,0.38726948245092,-0.23426601253026,-393.80116706337,-2.0230814991077,-3400.8,0.60096804953812,396.79005595226,1681,0,558,916,207,-0.23426601253026,1,-398.80116706337,0,139,0.00065,0.00103,0.124,0.00018,0.00023,0.022,94.1631,360.2905,754.5391,41.5728,214.172,677.3512,0,3e-05,0.02,0.00024,0.00063,0.069,0,0.0005,0.073,0.00031,0.0011,0.122,0,0.00108,0.141,0.00043,0.0018,0.201,3.1666666666667,4.25
3,1,-1,2456,0.40920195439739,-0.19828053778807,-486.97700080749,-1.944828990228,-4776.5,0.62022541967733,486.97700080749,0,2456,681,1136,639,-0.19828053778807,,-491.97700080749,0,313,0.00071,0.00112,0.1455,0.00018,0.00023,0.022,135.638,426.386,773.6266,63.6024,300.051,729.4238,0,0,0.018,0.00024,0.00053,0.052,0,0.00031,0.063,0.00031,0.0009,0.094,0,0.00083,0.121,0.00039,0.0014,0.146,3.25,4.6666666666667
3,1,1,2456,0.3900651465798,-0.23025495046382,-565.50615833914,-2.3462540716612,-5762.4,0.56973717338211,569.8257676172,2456,0,630,1137,689,-0.23025495046382,1,-570.50615833914,0,313,0.00071,0.00112,0.1455,0.00018,0.00023,0.022,134.9778,422.941,774.3142,66.2866,297.569,724.2788,0,0,0.012,0.00024,0.000515,0.057,0,0.00033,0.055,0.0003,0.00086,0.1025,0,0.00078,0.1085,0.000385,0.00139,0.1635,3.25,4.6666666666667
4,1.5,-1,3228,0.41480793060719,-0.15246320851212,-492.15123707711,-1.9147149938042,-6180.6999999999,0.61373830182372,492.15123707711,0,3228,487,877,1864,-0.15246320851212,,-497.15123707711,0,545,0.00084,0.00142,0.199,0.00018,0.00024,0.021,189.6836,534.995,837.5626,122.432,433.176,783.068,0,0,0.01,0.00024,0.00046,0.045,0,0.00021,0.045,0.00029,0.000745,0.078,0,0.000605,0.095,0.00035,0.00113,0.122,3.6,6.0854545454545
4,1.5,1,3228,0.38847583643123,-0.19914718558205,-642.84711505884,-2.6069392812887,-8415.2,0.53051028682068,648.8340270899,3228,0,434,966,1828,-0.19914718558205,0.72645970977525,-647.84711505884,0,545,0.00084,0.00142,0.199,0.00018,0.00024,0.021,195.3034,547.054,815.3406,142.237,432.408,784.9826,0,0,0.004,0.00024,0.00046,0.05,0,0.00022,0.038,0.00029,0.00073,0.0843,0,0.00058,0.082,0.00035,0.00113,0.135,3.6,6.0854545454545
5,2,-1,3549,0.40602986756833,-0.13430315810311,-476.64190810793,-2.0060016906171,-7119.3,0.57530421620521,476.64190810793,0,3549,258,557,2734,-0.13430315810311,,-481.64190810793,0,681,0.00095,0.00176,0.2532,0.00018,0.00024,0.021,219.4848,595.5665,853.1091,172.428,511.969,819.397,0,0,0.006,0.00024,0.00043,0.0422,0,0.00017,0.039,0.00029,0.00069,0.0732,0,0.0005,0.0842,0.00034,0.00104,0.114,4.0793846153846,7.6666666666667
5,2,1,3549,0.3905325443787,-0.15740556029371,-558.63233348239,-2.4635108481262,-8743,0.52643115134859,562.61680983122,3549,0,247,597,2705,-0.15740556029371,1,-563.63233348239,0,681,0.00095,0.00176,0.2532,0.00018,0.00024,0.021,200.1788,589.253,832.5002,182.945,541.092,824.584,0,0,0.002014,0.00024,0.00044,0.047,0,0.00017,0.033,0.00028,0.00068,0.079,0,0.00051,0.074,0.00034,0.00103,0.1262,4.0793846153846,7.6666666666667
