candidate_id,model_key,method,distance_index,distance_atr,scope,threshold_name,threshold,primary_extra_cost_pips,threshold_signals,overlap_skips,entry_rejections,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,positive_segments,min_segment_trades,individual_gate,neighbor_positive_count,candidate_gate
g1_SHALLOW_TREE_absolute_-0.1,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_-0.1,-0.1,0.2,618,90,249,279,0.52688172043011,0.016061044525408,4.4810314225888,0.19426523297489,54.199999999994,1.0325116233437,16.680664396232,185,94,144,127,8,0.040617863043652,0.52893174379736,-0.449615692937,3,8,False,1,False
g1_SHALLOW_TREE_absolute_0,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0,0,0.2,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0,False,1,False
g1_SHALLOW_TREE_absolute_0.05,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.05,0.05,0.2,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0,False,0,False
g1_SHALLOW_TREE_absolute_0.1,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.1,0.1,0.2,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0,False,0,False
g1_SHALLOW_TREE_absolute_0.2,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.2,0.2,0.2,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0,False,0,False
g1_SHALLOW_TREE_absolute_0.3,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.3,0.3,0.2,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0,False,0,False
g1_SHALLOW_TREE_train_quantile_target_200,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,train_quantile_target_200,-0.010060497399369,0.2,483,41,239,203,0.52216748768473,0.0034816235528734,0.7067695812333,0.12709359605911,25.799999999999,1.0069954617832,17.655804080024,203,0,103,92,8,0.028846465260857,0.30343189870197,-4.2247293041126,3,5,False,1,False
g1_SHALLOW_TREE_train_quantile_target_300,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,train_quantile_target_300,-0.010060497399369,0.2,483,41,239,203,0.52216748768473,0.0034816235528734,0.7067695812333,0.12709359605911,25.799999999999,1.0069954617832,17.655804080024,203,0,103,92,8,0.028846465260857,0.30343189870197,-4.2247293041126,3,5,False,1,False
g1_SHALLOW_TREE_train_quantile_target_500,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,train_quantile_target_500,-0.026543458996299,0.2,618,90,249,279,0.52688172043011,0.016061044525408,4.4810314225888,0.19426523297489,54.199999999994,1.0325116233437,16.680664396232,185,94,144,127,8,0.040617863043652,0.52893174379736,-0.449615692937,3,8,False,2,False
g1_SHALLOW_TREE_train_quantile_target_800,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,train_quantile_target_800,-0.33931224496842,0.2,1101,194,493,414,0.47101449275362,-0.09698131704331,-40.150265255931,-0.68913043478256,-285.29999999998,0.82416993505522,43.978402280942,333,81,191,211,12,-0.071448587296601,0.38347469017516,-45.080362823012,0,16,False,1,False
g1_SHALLOW_TREE_train_quantile_target_1000,g1_SHALLOW_TREE,SHALLOW_TREE,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,train_quantile_target_1000,-0.33931224496842,0.2,1101,194,493,414,0.47101449275362,-0.09698131704331,-40.150265255931,-0.68913043478256,-285.29999999998,0.82416993505522,43.978402280942,333,81,191,211,12,-0.071448587296601,0.38347469017516,-45.080362823012,0,16,False,1,False
g1_ELASTICNET_LOGISTIC_absolute_-0.1,g1_ELASTICNET_LOGISTIC,ELASTICNET_LOGISTIC,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_-0.1,-0.1,0.2,277,26,111,140,0.65,0.26922313700809,37.691239181133,2.0885714285713,292.39999999999,1.7523503870913,4.3142171766828,93,47,89,46,5,0.29346330069569,0.27042909109368,32.764238962264,4,2,False,0,False
g1_ELASTICNET_LOGISTIC_absolute_0,g1_ELASTICNET_LOGISTIC,ELASTICNET_LOGISTIC,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0,0,0.2,125,8,52,65,0.72307692307692,0.40034032775156,26.022121303852,3.3553846153845,218.09999999999,2.3679344223797,4.2157411293946,41,24,45,18,2,0.42438977426725,0.28521134648478,21.095597382702,4,1,False,0,False
g1_ELASTICNET_LOGISTIC_absolute_0.05,g1_ELASTICNET_LOGISTIC,ELASTICNET_LOGISTIC,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.05,0.05,0.2,88,4,42,42,0.78571428571429,0.52615740127125,22.098610853393,4.702380952381,197.5,3.3356588027768,3.1827740964276,24,18,32,9,1,0.54966229131569,0.27789849023436,17.166682500609,4,1,False,0,False
g1_ELASTICNET_LOGISTIC_absolute_0.1,g1_ELASTICNET_LOGISTIC,ELASTICNET_LOGISTIC,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.1,0.1,0.2,54,1,30,23,0.78260869565217,0.49960154574721,11.490835552186,4.0565217391304,93.299999999999,3.1169235050369,2.3134459834366,12,11,17,5,1,0.52247321239322,0.35980185526303,6.5736314251662,3,0,False,0,False
g1_ELASTICNET_LOGISTIC_absolute_0.2,g1_ELASTICNET_LOGISTIC,ELASTICNET_LOGISTIC,1,0.5,DEVELOPMENT_FITTED_SAME_MONTH,absolute_0.2,0.2,0.2,33,1,23,9,0.77777777777778,0.50963281930175,4.5866953737157,4.0222222222222,36.2,3.036438216182,2.2523125608569,4,5,7,2,0,0.53106404846911,0.50095880107987,-0.31338482192913,2,0,False,0,False
