distance_index,direction,feature,bin,lower,upper,rows,net_expectancy_r,win_rate,scope
0,-1,quote_mid,0,1.09337,1.141574,15,-0.26368205312613,0.4,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_mid,1,1.141574,143.5659,14,-0.64161752795249,0.21428571428571,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_mid,2,143.5659,145.4666,14,-0.20375903933999,0.42857142857143,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_mid,3,145.4666,146.7272,14,-0.62814222364487,0.21428571428571,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_mid,4,146.7272,148.1535,15,-0.30897320355605,0.4,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_spread,0,0.00018,0.000218,15,-0.39772085383159,0.33333333333333,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_spread,1,0.000218,0.016,21,-0.22936781870669,0.42857142857143,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_spread,2,0.016,0.017,13,-0.59061807388533,0.23076923076923,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_spread,3,0.017,0.018,16,-0.43110124293443,0.3125,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,quote_spread,4,0.018,0.021,7,-0.55155715365445,0.28571428571429,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,shock_direction,0,-1,1,72,-0.40582072115772,0.33333333333333,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr7,0,0.000644791869,0.001410631845,15,-0.39780903725311,0.33333333333333,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr7,1,0.001410631845,0.078720367868,14,-0.37719143146999,0.35714285714286,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr7,2,0.078720367868,0.09441457641,14,-0.35899765270981,0.35714285714286,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr7,3,0.09441457641,0.113275665028,14,-0.48712699454168,0.28571428571429,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr7,4,0.113275665028,0.236998689188,15,-0.40836875083055,0.33333333333333,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr14,0,0.000712977503,0.0012424713578,15,-0.25483479837727,0.4,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr14,1,0.0012424713578,0.0834856557676,14,-0.52704244897884,0.28571428571429,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr14,2,0.0834856557676,0.0989643944366,14,-0.20846243914495,0.42857142857143,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr14,3,0.0989643944366,0.118946768509,14,-0.64106973483728,0.21428571428571,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
0,-1,m1_atr14,4,0.118946768509,0.21605319123,15,-0.40830168174944,0.33333333333333,DEVELOPMENT_EXPLORATORY_NOT_DEPLOYABLE_RULE
