check,expected,actual,tolerance,status
duplicate_feature_episode,0,0,0.0,PASS
duplicate_outcome_key,0,0,0.0,PASS
feature_future_count,0,0,0.0,PASS
feature_after_t0,0,0,0.0,PASS
entry_before_processing,0,0,0.0,PASS
entry_before_eligible,0,0,0.0,PASS
entry_not_after_source_quote,0,0,0.0,PASS
entry_not_after_t0,0,0,0.0,PASS
exit_before_entry,0,0,0.0,PASS
entry_executable_side,0,0,0.0,PASS
gross_r,0,0,0.0,PASS
gross_pips,0,0,0.0,PASS
equal_tp_sl_distance,0,0,0.0,PASS
risk_distance,0,0,0.0,PASS
tp_limit_exit,0,0,0.0,PASS
stop_gap_not_favorable,0,0,0.0,PASS
cost_distance_guard,0,0,0.0,PASS
analysis_feature_sha,d2551f98888ed5edbd192a3d77de213b5aff5481caad73d981b8a464fca58b85,d2551f98888ed5edbd192a3d77de213b5aff5481caad73d981b8a464fca58b85,0.0,PASS
analysis_outcome_sha,9a807bb104d4b71fe80f2735c50d3f9e3d0992b766564873a4478d4d511cc873,9a807bb104d4b71fe80f2735c50d3f9e3d0992b766564873a4478d4d511cc873,0.0,PASS
model_direction_parity,0,0,0.0,PASS
model_score_parity,0,0,0.0,PASS
