distance_index,method,direction,feature,importance,scope
1,SHALLOW_TREE,1,quote_mid,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,quote_spread,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,shock_direction,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr7,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr14,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr28,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr14_price,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr7_atr28,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr14_pct64,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr14_z64,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_atr14_change3,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_spread_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_tick_volume,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_tick_volume_rel20,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_tick_volume_pct64,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_body_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_upper_wick_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_lower_wick_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_bar_range_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_bar_close_location,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_value,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_price_gap_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_close_gap_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_slope1_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_slope3_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_accel_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_gap_pct64,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_gap_z64,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_ema5_sma_gap_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_sma5_value,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_sma5_price_gap_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_sma5_slope1_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_sma5_slope3_atr,0,DEVELOPMENT_FIT
1,SHALLOW_TREE,1,m1_sma5_gap_pct64,0,DEVELOPMENT_FIT
