feature_set,model,commission_r,trades,mean_net_r
MODEL_X,LIGHTGBM,0.02,47,-0.8200720970996809
MODEL_X,LIGHTGBM,0.05,47,-0.8500720970996809
MODEL_X,LIGHTGBM,0.1,47,-0.9000720970996808
MODEL_X,LOGISTIC,0.02,106,-1.0818768083087358
MODEL_X,LOGISTIC,0.05,106,-1.1118768083087358
MODEL_X,LOGISTIC,0.1,106,-1.161876808308736
MODEL_X_PLUS_EXISTING,LIGHTGBM,0.02,42,-0.7083475821611905
MODEL_X_PLUS_EXISTING,LIGHTGBM,0.05,42,-0.7383475821611906
MODEL_X_PLUS_EXISTING,LIGHTGBM,0.1,42,-0.7883475821611906
MODEL_X_PLUS_EXISTING,LOGISTIC,0.02,69,-0.9529346927923623
MODEL_X_PLUS_EXISTING,LOGISTIC,0.05,69,-0.9829346927923622
MODEL_X_PLUS_EXISTING,LOGISTIC,0.1,69,-1.0329346927923624
