feature_set,model,folds,mean_ap,mean_auc,trades,tp,sl,mean_fold_net_r_005
MODEL_X,LIGHTGBM,4,0.21096115579972147,0.6636164703289658,47,7,40,-0.9501500537159069
MODEL_X,LOGISTIC,4,0.1802466672075224,0.587507450314541,106,12,94,-1.1800719264733792
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,0.20220365291949094,0.6967539730837039,42,6,36,-0.7118189265979278
MODEL_X_PLUS_EXISTING,LOGISTIC,4,0.17557605474535576,0.6626320646512001,69,7,62,-0.871853393285889
