feature_set,model,trades,clusters,tp,mean_gross_r,mean_net_r_005,sl_or_timeout
MODEL_X,LIGHTGBM,47,46,7,-0.8000720970996809,-0.8500720970996809,40
MODEL_X,LOGISTIC,106,103,12,-1.0618768083087358,-1.1118768083087358,94
MODEL_X_PLUS_EXISTING,LIGHTGBM,42,41,6,-0.6883475821611904,-0.7383475821611905,36
MODEL_X_PLUS_EXISTING,LOGISTIC,69,67,7,-0.9329346927923624,-0.9829346927923622,62
