feature_set,model,fold,train_clusters,validation_clusters,threshold,validation_action_rows,ap,auc,trades,mean_gross_r,mean_net_r_005,tp,sl,timeout
MODEL_X,LOGISTIC,1,142,53,0.5000000000000002,118,0.20315969596324723,0.5922222222222222,36,-0.8401933035413889,-0.8901933035413889,4,32,0
MODEL_X,LOGISTIC,2,195,54,0.5000000000000002,110,0.17752861603083023,0.5605053191489362,32,-0.8179539335674062,-0.8679539335674062,5,27,0
MODEL_X,LOGISTIC,3,249,53,0.5000000000000002,112,0.24943548753789715,0.6591666666666667,16,-1.1382722390308126,-1.1882722390308125,2,14,0
MODEL_X,LOGISTIC,4,302,54,0.47500000000000014,124,0.0908628692981149,0.538135593220339,22,-1.7238682297539092,-1.7738682297539092,1,21,0
MODEL_X,LIGHTGBM,1,142,53,0.5000000000000002,118,0.25346615500868236,0.6855555555555556,17,-0.8218563659061175,-0.8718563659061177,2,15,0
MODEL_X,LIGHTGBM,2,195,54,0.5000000000000002,110,0.18889068157372457,0.5611702127659575,16,-0.4520949227796875,-0.5020949227796874,4,12,0
MODEL_X,LIGHTGBM,3,249,53,0.5000000000000002,112,0.3051063427211257,0.71,5,-1.1353821891986,-1.1853821891986,1,4,0
MODEL_X,LIGHTGBM,4,302,54,0.5000000000000002,124,0.09638144389535327,0.6977401129943502,9,-1.1912667369792223,-1.2412667369792223,0,9,0
MODEL_X_PLUS_EXISTING,LOGISTIC,1,142,53,0.5000000000000002,118,0.20409296186576736,0.6561111111111111,18,-1.1426073284478333,-1.1926073284478333,0,18,0
MODEL_X_PLUS_EXISTING,LOGISTIC,2,195,54,0.5000000000000002,110,0.16694045859254814,0.5511968085106383,27,-0.845566122529,-0.8955661225289999,3,24,0
MODEL_X_PLUS_EXISTING,LOGISTIC,3,249,53,0.5000000000000002,112,0.2409123557962438,0.7666666666666666,6,-0.20092046805599997,-0.250920468056,2,4,0
MODEL_X_PLUS_EXISTING,LOGISTIC,4,302,54,0.47500000000000014,124,0.09035844272686377,0.6765536723163842,18,-1.098319654110722,-1.1483196541107223,2,16,0
MODEL_X_PLUS_EXISTING,LIGHTGBM,1,142,53,0.5000000000000002,118,0.2757199724591029,0.6977777777777778,16,-0.7124606529455,-0.7624606529455,2,14,0
MODEL_X_PLUS_EXISTING,LIGHTGBM,2,195,54,0.5000000000000002,110,0.1609462732902867,0.5674867021276595,18,-0.6278974373462778,-0.6778974373462776,3,15,0
MODEL_X_PLUS_EXISTING,LIGHTGBM,3,249,53,0.5000000000000002,112,0.24692562119363423,0.7166666666666666,3,-0.1627569745453333,-0.21275697454533335,1,2,0
MODEL_X_PLUS_EXISTING,LIGHTGBM,4,302,54,0.5000000000000002,124,0.12522274473493986,0.8050847457627118,5,-1.1441606415546,-1.1941606415546,0,5,0
