symbol,hypothesis,fixed_action,episodes,market_clusters,continuation_tp,reversal_tp,both_sl,both_sl_rate,tradeable_episodes,continuation_only_share_tradeable,fixed_action_mean_gross_r,fixed_action_mean_net_r_005,fixed_action_pf_gross,oracle_mean_gross_r,wins,losses
AUDUSD,GROUP,CONTINUATION,65,65,7,6,52,0.8,13,0.5384615384615384,-1.2893840477124925,-1.3393840477124925,0.11788237395753012,0.32,7,58
EURUSD,GROUP,CONTINUATION,20,20,1,5,14,0.7,6,0.16666666666666666,-1.0143124650553998,-1.0643124650554001,0.07310526248638681,0.48,1,19
GBPUSD,GROUP,CONTINUATION,84,84,7,16,61,0.7261904761904762,23,0.30434782608695654,-1.0475346287642142,-1.0975346287642143,0.11291129712461377,0.43809523809523815,7,77
USDCAD,GROUP,CONTINUATION,71,71,7,1,63,0.8873239436619719,8,0.875,-1.6232786227425917,-1.6732786227425913,0.08857060954959271,0.18028169014084508,7,64
USDCHF,GROUP,CONTINUATION,49,49,1,1,47,0.9591836734693877,2,0.5,-1.410492330759245,-1.460492330759245,0.02262631430337396,0.0653061224489796,1,48
USDJPY,GROUP,CONTINUATION,99,99,23,18,58,0.5858585858585859,41,0.5609756097560976,-0.5732426232656566,-0.6232426232656566,0.39336824031114115,0.6626262626262626,23,76
