check,actual,expected,status
r1_r2_behavior_mismatch,0,0,PASS
feature_duplicate_episode,0,0,PASS
action_duplicate_key,0,0,PASS
cross_symbol_quote_after_t0,0,0,PASS
cross_symbol_feature_after_processing_time,0,0,PASS
anchor_processing_after_t0_processing,0,0,PASS
hindsight_nearest_tick_used,0,0,PASS
future_cluster_information_used,0,0,PASS
entry_before_eligible,0,0,PASS
entry_not_after_decision_quote,0,0,PASS
action_row_reconciliation,7934,7934,PASS
tp_r_violation,0,0,PASS
sl_r_optimism_violation,0,0,PASS
actual_trade_rows,0,0,PASS
production_order_calls,0,0,PASS
independent_recalculation_failures,0,0,PASS
validation_episode_overlap,0,0,PASS
validation_chronology_violation,0,0,PASS
