breadth_bucket,hypothesis,fixed_action,episodes,market_clusters,continuation_tp,reversal_tp,both_sl,both_sl_rate,tradeable_episodes,continuation_only_share_tradeable,fixed_action_mean_gross_r,fixed_action_mean_net_r_005,fixed_action_pf_gross,oracle_mean_gross_r,wins,losses
0,GROUP,CONTINUATION,13,13,1,2,10,0.7692307692307693,3,0.3333333333333333,-1.2140677693713078,-1.2640677693713076,0.09204458109284845,0.3692307692307693,1,12
1,GROUP,CONTINUATION,39,38,9,0,30,0.7692307692307693,9,1.0,-0.842626554185718,-0.892626554185718,0.30468171631774943,0.36923076923076925,9,30
2,GROUP,CONTINUATION,53,48,6,8,39,0.7358490566037735,14,0.42857142857142855,-1.2123400581682642,-1.2623400581682642,0.129986148340515,0.4226415094339623,6,47
3,GROUP,CONTINUATION,69,65,6,4,59,0.855072463768116,10,0.6,-1.5442924460927683,-1.5942924460927683,0.08264734688069648,0.2318840579710145,6,63
4,GROUP,CONTINUATION,75,75,9,9,57,0.76,18,0.5,-1.0380269390633066,-1.0880269390633064,0.15609414225204887,0.38400000000000006,9,66
5,GROUP,CONTINUATION,139,129,15,24,100,0.7194244604316546,39,0.38461538461538464,-0.9776943052928344,-1.0276943052928345,0.15009427004993248,0.44892086330935255,15,124
