target_lead_bucket,hypothesis,fixed_action,episodes,market_clusters,continuation_tp,reversal_tp,both_sl,both_sl_rate,tradeable_episodes,continuation_only_share_tradeable,fixed_action_mean_gross_r,fixed_action_mean_net_r_005,fixed_action_pf_gross,oracle_mean_gross_r,wins,losses
EARLY,GROUP,CONTINUATION,178,174,21,24,133,0.7471910112359551,45,0.4666666666666667,-1.1681389251985956,-1.2181389251985957,0.13911388588382873,0.4044943820224719,21,157
LATE,GROUP,CONTINUATION,57,57,9,3,45,0.7894736842105263,12,0.75,-0.9881547929106316,-1.0381547929106316,0.20360602330687147,0.33684210526315794,9,48
MIDDLE,GROUP,CONTINUATION,122,118,11,16,95,0.7786885245901639,27,0.4074074074074074,-1.121859132560418,-1.1718591325604182,0.11394033141876024,0.35409836065573774,11,111
NO_CROSSING,GROUP,CONTINUATION,31,30,5,4,22,0.7096774193548387,9,0.5555555555555556,-1.0350542351681937,-1.0850542351681935,0.19956753072380096,0.4645161290322581,5,26
