symbol,ea_m1_minutes_seen,real_tick_discard_warning_count,generated_fallback_minutes,discarded_ticks,missing_interval,stale_proportion_source_note,status,evidence,feature_observations,stale_observations,cross_fx_stale_proportion
EURUSD,31621,0,NOT_OBSERVED,0_REPORTED_BY_EA,NOT_OBSERVED,SEE_CROSS_FX_FEATURE_FRESHNESS,NO_DISCARD_WARNING_OBSERVED,tester_journal_excerpt.txt,3967,2478,0.624653390471389
GBPUSD,31621,0,NOT_OBSERVED,0_REPORTED_BY_EA,NOT_OBSERVED,SEE_CROSS_FX_FEATURE_FRESHNESS,NO_DISCARD_WARNING_OBSERVED,tester_journal_excerpt.txt,3967,2535,0.6390219309301739
USDJPY,31578,0,NOT_OBSERVED,0_REPORTED_BY_EA,NOT_OBSERVED,SEE_CROSS_FX_FEATURE_FRESHNESS,NO_DISCARD_WARNING_OBSERVED,tester_journal_excerpt.txt,3967,2453,0.6183513990420973
AUDUSD,31621,0,NOT_OBSERVED,0_REPORTED_BY_EA,NOT_OBSERVED,SEE_CROSS_FX_FEATURE_FRESHNESS,NO_DISCARD_WARNING_OBSERVED,tester_journal_excerpt.txt,3967,2565,0.6465843206453239
USDCAD,31619,0,NOT_OBSERVED,0_REPORTED_BY_EA,NOT_OBSERVED,SEE_CROSS_FX_FEATURE_FRESHNESS,NO_DISCARD_WARNING_OBSERVED,tester_journal_excerpt.txt,3967,2663,0.6712881270481472
USDCHF,31616,0,NOT_OBSERVED,0_REPORTED_BY_EA,NOT_OBSERVED,SEE_CROSS_FX_FEATURE_FRESHNESS,NO_DISCARD_WARNING_OBSERVED,tester_journal_excerpt.txt,3967,2693,0.6788505167632972
