session,hypothesis,fixed_action,episodes,market_clusters,continuation_tp,reversal_tp,both_sl,both_sl_rate,tradeable_episodes,continuation_only_share_tradeable,fixed_action_mean_gross_r,fixed_action_mean_net_r_005,fixed_action_pf_gross,oracle_mean_gross_r,wins,losses
LONDON,GROUP,CONTINUATION,124,118,13,9,102,0.8225806451612904,22,0.5909090909090909,-1.159345051503992,-1.2093450515039923,0.12639859868161385,0.2838709677419355,13,111
NEW_YORK,GROUP,CONTINUATION,122,102,12,23,87,0.7131147540983607,35,0.34285714285714286,-1.028588752929459,-1.078588752929459,0.13269948332435913,0.45901639344262296,12,110
OTHER,GROUP,CONTINUATION,80,75,6,7,67,0.8375,13,0.46153846153846156,-1.5335658491207376,-1.5835658491207374,0.07257043925030773,0.26,6,74
OVERLAP,GROUP,CONTINUATION,62,61,15,8,39,0.6290322580645161,23,0.6521739130434783,-0.6657284704885966,-0.7157284704885966,0.36767428986794054,0.5935483870967742,15,47
