residual_bucket,hypothesis,fixed_action,episodes,market_clusters,continuation_tp,reversal_tp,both_sl,both_sl_rate,tradeable_episodes,continuation_only_share_tradeable,fixed_action_mean_gross_r,fixed_action_mean_net_r_005,fixed_action_pf_gross,oracle_mean_gross_r,wins,losses
LAGGING,GROUP,CONTINUATION,10,10,3,0,7,0.7,3,1.0,-0.7843588287209001,-0.8343588287209001,0.37963906218426646,0.4800000000000001,3,7
MIDDLE,GROUP,CONTINUATION,118,116,18,19,81,0.6864406779661016,37,0.4864864864864865,-0.8167133618948474,-0.8667133618948472,0.23008308042927517,0.5016949152542373,18,100
OVEREXTENDED,GROUP,CONTINUATION,260,239,25,28,207,0.7961538461538461,53,0.4716981132075472,-1.2653510859732306,-1.3153510859732307,0.10840364505340586,0.3261538461538462,25,235
