week,hypothesis,fixed_action,episodes,market_clusters,continuation_tp,reversal_tp,both_sl,both_sl_rate,tradeable_episodes,continuation_only_share_tradeable,fixed_action_mean_gross_r,fixed_action_mean_net_r_005,fixed_action_pf_gross,oracle_mean_gross_r,wins,losses
2025-03-31/2025-04-06,GROUP,CONTINUATION,49,49,9,5,35,0.7142857142857143,14,0.6428571428571429,-0.6672692610493266,-0.7172692610493266,0.3057571926889836,0.45714285714285713,9,40
2025-04-07/2025-04-13,GROUP,CONTINUATION,209,188,27,31,151,0.722488038277512,58,0.46551724137931033,-0.8579200780893733,-0.9079200780893733,0.19415268182083775,0.4440191387559809,27,182
2025-04-14/2025-04-20,GROUP,CONTINUATION,51,48,8,6,37,0.7254901960784313,14,0.5714285714285714,-1.1117297655888234,-1.1617297655888235,0.1841773841123019,0.43921568627450985,8,43
2025-04-21/2025-04-27,GROUP,CONTINUATION,56,52,1,4,51,0.9107142857142857,5,0.2,-1.991426093645804,-2.041426093645804,0.014144288919754416,0.14285714285714285,1,55
2025-04-28/2025-05-04,GROUP,CONTINUATION,23,19,1,1,21,0.9130434782608695,2,0.5,-2.303803388806521,-2.353803388806522,0.02931075148194066,0.1391304347826087,1,22
