symbol,side,episode_count,cluster_count,median_mfe_atr,median_mae_atr,hit_040_rate,median_hit_040_seconds,median_existing_sl_atr,median_existing_tp_atr,dominant_component,high_movement_rate
AUDUSD,CONT,507,507,0.7589163745582661,2.478650146959167,0.6074950690335306,756.3115,2.954981061509,3.558302689403,ENTRY_SPREAD,0.07100591715976332
AUDUSD,REV,507,507,0.9332271716726528,2.325827012612464,0.6390532544378699,764.6904999999999,2.954981061509,3.558302689403,ENTRY_SPREAD,0.07100591715976332
EURUSD,CONT,248,248,1.1959329073618616,1.9855501525697212,0.7298387096774194,405.641,1.256372413779,1.5181166666500001,ENTRY_SPREAD,0.020161290322580645
EURUSD,REV,248,248,1.3765515735484528,1.7820084592012897,0.7983870967741935,359.505,1.256372413779,1.5181166666500001,ENTRY_SPREAD,0.020161290322580645
USDCAD,CONT,646,646,0.998466288269428,2.1711378466412397,0.6671826625386997,576.23,2.3170472604315,2.7850040879035003,ENTRY_SPREAD,0.07275541795665634
USDCAD,REV,646,646,0.8891593095520507,2.318961506892259,0.6625386996904025,645.3685,2.3170472604315,2.7850040879035003,ENTRY_SPREAD,0.07275541795665634
USDCHF,CONT,313,313,0.8506740400823998,2.2642876551037046,0.65814696485623,742.2845,2.324393347598,2.804431104167,ENTRY_SPREAD,0.01597444089456869
USDCHF,REV,313,313,0.9874536418999367,2.1357572000611422,0.6613418530351438,562.154,2.324393347598,2.804431104167,ENTRY_SPREAD,0.01597444089456869
USDJPY,CONT,1018,1018,1.3134386240700422,1.793835440730035,0.7868369351669942,425.162,0.921871841895,1.113082343654,ENTRY_SPREAD,0.09037328094302555
USDJPY,REV,1018,1018,1.258684868170879,1.779082244136497,0.7612966601178782,384.697,0.921871841895,1.113082343654,ENTRY_SPREAD,0.09037328094302555
