episode_id,market_cluster_id,symbol,shock_direction,entry_spread,atr14_m5,spread_atr_t0,broker_stop_distance,existing_sl_distance,existing_tp_distance,existing_sl_atr,existing_tp_atr,existing_risk_source,existing_continuation_result,existing_continuation_touch_msc,existing_reversal_result,existing_reversal_touch_msc,status,analysis_ready,high_movement,spread_over_tp_0.20,spread_over_tp_0.30,spread_over_tp_0.40,spread_over_tp_0.50,spread_over_existing_sl
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_13,90,USDJPY,SHORT,0.0190000000,0.1008813598,0.188340046571,0.0000000000,0.0760000000,0.0920000000,0.753360186283,0.911962330764,ENTRY_SPREAD,SL_FIRST,1741030189883,TP_FIRST,1741030711228,COMPLETE_3600S,TRUE,NOT_READY,0.9417002327123666,0.6278001551415778,0.4708501163561833,0.3766800930849467,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_14,91,USDJPY,SHORT,0.0180000000,0.0921719610,0.195287154648,0.0000000000,0.0720000000,0.0870000000,0.781148618592,0.943887914132,ENTRY_SPREAD,TP_FIRST,1741031246882,SL_FIRST,1741031235399,COMPLETE_3600S,TRUE,NOT_READY,0.976435773130616,0.6509571820870774,0.488217886565308,0.39057430925224645,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_15,95,USDJPY,LONG,0.0190000000,0.0696744118,0.258344484350,0.0000000000,0.0760000000,0.0920000000,1.090787822811,1.320427364455,ENTRY_SPREAD,SL_FIRST,1741039449410,SL_FIRST,1741039178496,COMPLETE_3600S,TRUE,NOT_READY,1.3634847793576923,0.9089898529051282,0.6817423896788462,0.5453939117430769,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_16,150,USDJPY,LONG,0.0190000000,0.1160761962,0.163685584260,0.0000000000,0.0760000000,0.0920000000,0.654742337041,0.792582829050,ENTRY_SPREAD,SL_FIRST,1741040280378,SL_FIRST,1741040236287,COMPLETE_3600S,TRUE,NOT_READY,0.8184279215724334,0.5456186143816223,0.4092139607862167,0.3273711686289734,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_17,155,USDJPY,SHORT,0.0160000000,0.1310028762,0.137401563353,0.0000000000,0.0640000000,0.0770000000,0.488538891922,0.587773354343,ENTRY_SPREAD,TP_FIRST,1741041445438,SL_FIRST,1741041328826,COMPLETE_3600S,TRUE,NOT_READY,0.6106736151186885,0.407115743412459,0.3053368075593442,0.24426944604747539,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_18,158,USDJPY,LONG,0.0210000000,0.1368367075,0.131543650303,0.0000000000,0.0840000000,0.1010000000,0.613870368079,0.738106037809,ENTRY_SPREAD,TP_FIRST,1741042858181,SL_FIRST,1741042548864,COMPLETE_3600S,TRUE,NOT_READY,0.7673379601010936,0.5115586400673957,0.3836689800505468,0.30693518404043746,0.25
ts15j_post_shock_excursion_r2_202503_USDCAD_mh_1,160,USDCAD,SHORT,0.0002900000,0.0013858665,0.202039665005,0.0000000000,0.0011600000,0.0014000000,0.837021469305,1.010198325023,ENTRY_SPREAD,TP_FIRST,1741043946678,SL_FIRST,1741042812520,COMPLETE_3600S,TRUE,NOT_READY,1.0462768239220732,0.6975178826147155,0.5231384119610366,0.4185107295688293,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_19,166,USDJPY,SHORT,0.0220000000,0.1236715313,0.177890576521,0.0000000000,0.0880000000,0.1060000000,0.711562306084,0.857109141419,ENTRY_SPREAD,TP_FIRST,1741045579678,SL_FIRST,1741044655781,COMPLETE_3600S,TRUE,NOT_READY,0.8894528825163822,0.5929685883442548,0.4447264412581911,0.35578115300655294,0.25
ts15j_post_shock_excursion_r2_202503_USDCAD_mh_2,165,USDCAD,SHORT,0.0002700000,0.0012520835,0.231613946689,0.0000000000,0.0010800000,0.0013000000,0.862562284222,1.038269416193,ENTRY_SPREAD,TIMEOUT,,SL_FIRST,1741044724354,COMPLETE_3600S,TRUE,NOT_READY,1.0782028514871411,0.7188019009914276,0.5391014257435706,0.4312811405948565,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_20,168,USDJPY,SHORT,0.0210000000,0.1027803697,0.155671749849,0.0000000000,0.0840000000,0.1010000000,0.817276686705,0.982677920920,ENTRY_SPREAD,SL_FIRST,1741045971550,TP_FIRST,1741046411408,COMPLETE_3600S,TRUE,NOT_READY,1.0215958582993887,0.6810639055329261,0.5107979291496944,0.40863834331975557,0.25
