session,side,episode_count,cluster_count,median_mfe_atr,median_mae_atr,hit_040_rate,median_hit_040_seconds,median_existing_sl_atr,median_existing_tp_atr,dominant_component,high_movement_rate
LONDON,CONT,655,626,1.1909688829605105,2.1877117755875783,0.7083969465648855,534.616,2.055235850041,2.471176438739,ENTRY_SPREAD,0.024427480916030534
LONDON,REV,655,626,1.157792090483448,2.1790717154492185,0.7068702290076336,552.498,2.055235850041,2.471176438739,ENTRY_SPREAD,0.024427480916030534
NEW_YORK,CONT,701,642,1.018797307293868,1.6463921631255893,0.7061340941512125,461.147,1.309731408551,1.58191666552,ENTRY_SPREAD,0.15263908701854492
NEW_YORK,REV,701,642,0.9227846741284793,1.7099780613730706,0.6975748930099858,457.843,1.309731408551,1.58191666552,ENTRY_SPREAD,0.15263908701854492
OTHER,CONT,136,124,0.6715158188966237,1.982527910850198,0.5882352941176471,582.2465,1.490565060707,1.7937660899085,ENTRY_SPREAD,0.058823529411764705
OTHER,REV,136,124,0.7033527862106334,1.7548728228167934,0.6323529411764706,589.9835,1.490565060707,1.7937660899085,ENTRY_SPREAD,0.058823529411764705
OVERLAP,CONT,569,520,1.3339856373213808,2.497731227468383,0.7557117750439367,488.34799999999996,1.709357901873,2.053656040081,ENTRY_SPREAD,0.05799648506151142
OVERLAP,REV,569,520,1.5250126532889485,2.277248324118278,0.7697715289982425,438.5515,1.709357901873,2.053656040081,ENTRY_SPREAD,0.05799648506151142
TOKYO,CONT,671,661,0.9803231513772728,2.2908387134909622,0.6825633383010432,574.2370000000001,2.205337315473,2.66478258953,ENTRY_SPREAD,0.03129657228017884
TOKYO,REV,671,661,1.0341267575127875,2.2838644310073297,0.6795827123695977,584.865,2.205337315473,2.66478258953,ENTRY_SPREAD,0.03129657228017884
