population,side,horizon_seconds,n,mfe_mean,mfe_std,mae_mean,mae_std,mfe_increment_median,fraction_60m_mfe_median,mfe_p10,mae_p10,mfe_p25,mae_p25,mfe_p50,mae_p50,mfe_p75,mae_p75,mfe_p90,mae_p90,mfe_p95,mae_p95
ALL,CONT,30,2732,0.05096343857841544,0.2665584651006563,0.7282262682315334,0.6502297522730638,nan,0.0,0.0,0.26762395710494286,0.0,0.38555101738773845,0.0,0.5944450722030636,0.0,0.8825913654868269,0.08864206321944706,1.230680337593178,0.24750077392101638,1.5394851804965934
ALL,CONT,60,2732,0.08864408995407358,0.3439506487843783,0.8044134514280638,0.6774539557669961,0.0,0.0,0.0,0.30010595271253226,0.0,0.4466785232570404,0.0,0.6715741736975227,0.0,0.9693937319765927,0.2281597740887866,1.3618192479857218,0.4848339060600189,1.7154398325926825
ALL,CONT,120,2732,0.14793869665572387,0.4265431033185348,0.9070992194842534,0.7199290429576022,0.0,0.0,0.0,0.33366470134215653,0.0,0.4997515218396122,0.0,0.7615702222111561,0.12737424853764717,1.0999624460664372,0.4360799543311096,1.5556980500809652,0.6972772125081675,1.9085923730074925
ALL,CONT,300,2732,0.2969157778126981,0.5948921873733639,1.1200557964375122,0.8287234845010415,0.0,0.08403361344537816,0.0,0.3997470559715123,0.0,0.6227714614402151,0.0,0.9488198726816932,0.37423577659821144,1.3942330108712595,0.8858121599631752,1.9276178471843288,1.3085502950242733,2.362599666330955
ALL,CONT,600,2732,0.5062619836076753,0.8245008204326819,1.3614692259219296,0.9850806186824185,0.19790405447448878,0.28124999999999994,0.0,0.4583379572966169,0.0,0.7325367222563818,0.19790405447448878,1.1504697262592405,0.7249141735027504,1.7273825555311544,1.3726220019930144,2.418799299447224,1.87177153223913,2.9210475098873174
ALL,CONT,900,2732,0.6710932885269929,0.9913731355770392,1.5327208310187659,1.1150034505973392,0.14495713476406602,0.47169811320754723,0.0,0.4998614254564101,0.0,0.8089873389330777,0.3428611892385548,1.3025122294600961,0.9807744917044593,1.9465111970870936,1.748697110622798,2.7352671725979762,2.4024196808999787,3.360919932298944
ALL,CONT,1800,2732,1.0264620825586535,1.305881681484205,1.9461622536013181,1.406165279445619,0.31870125977981156,0.8869565217391305,0.0,0.5986681734128856,0.013217633598608955,0.9538026933660031,0.6615624490183664,1.633988629887991,1.5020257545598308,2.5611585784814026,2.5156564655800966,3.5651813280437894,3.1950196071252956,4.490683451198197
ALL,CONT,3600,2732,1.5663191659963236,1.807066325343669,2.539966832100803,1.9236875999826344,0.42139822237482927,1.0,0.0,0.7392609846989739,0.2367497419448516,1.2041568582614897,1.0829606713931956,2.074120271367386,2.293733934154546,3.317946348025093,3.7148531616680813,4.878484972426599,4.8261793381585845,6.19014187863182
ALL,REV,30,2732,0.0460874566176061,0.3259706312907387,0.7257775219205335,0.638779688850529,nan,0.0,0.0,0.2535274274673216,0.0,0.3716589848025442,0.0,0.5983962125793421,0.0,0.883848988129048,0.08319443389234987,1.2326049645781167,0.20963420855062304,1.5715439084116223
ALL,REV,60,2732,0.07553264411162237,0.3548807832313461,0.81028828458701,0.6961419256069298,0.0,0.0,0.0,0.28161394038458787,0.0,0.423755244529714,0.0,0.6723857473860011,0.010187578217144133,0.9761289000063995,0.21821418083463623,1.3735178799742789,0.37880734189916315,1.7484917447638693
