scope,sl_atr_bin,side,episode_count,cluster_count,tp_first_rate,sl_first_rate,timeout_rate,mfe_atr_median,mae_atr_median
ALL,<0.25,CONTINUATION,0,0,nan,nan,nan,nan,nan
ALL,<0.25,REVERSAL,0,0,nan,nan,nan,nan,nan
ALL,0.25-0.50,CONTINUATION,50,50,0.5,0.5,0.0,1.407795897210609,1.280419026533171
ALL,0.25-0.50,REVERSAL,50,50,0.3,0.7,0.0,1.0330180418027965,1.619314413515553
ALL,0.50-0.75,CONTINUATION,261,261,0.2950191570881226,0.7049808429118773,0.0,1.1557031390120995,1.5702413089503322
ALL,0.50-0.75,REVERSAL,261,261,0.37547892720306514,0.6245210727969349,0.0,1.2548558263789322,1.485157483733995
ALL,0.75-1.00,CONTINUATION,386,384,0.344559585492228,0.6476683937823834,0.007772020725388601,1.3225549870676363,1.4916139917069435
ALL,0.75-1.00,REVERSAL,386,384,0.33419689119170987,0.6398963730569949,0.025906735751295335,1.0472669728273942,1.7648784521670868
ALL,1.00-1.50,CONTINUATION,562,560,0.304270462633452,0.6316725978647687,0.06405693950177936,1.144438357084546,1.9147189754175153
ALL,1.00-1.50,REVERSAL,562,560,0.302491103202847,0.6120996441281139,0.08540925266903915,1.277330820308408,1.7379626725611637
ALL,>=1.50,CONTINUATION,1473,1397,0.1384928716904277,0.406653088934148,0.4548540393754243,0.9453272065170035,2.3844006785050573
ALL,>=1.50,REVERSAL,1473,1397,0.1384928716904277,0.41412084181941616,0.44738628649015616,0.9464079302101586,2.414304467527196
AUDUSD,<0.25,CONTINUATION,0,0,nan,nan,nan,nan,nan
AUDUSD,<0.25,REVERSAL,0,0,nan,nan,nan,nan,nan
AUDUSD,0.25-0.50,CONTINUATION,0,0,nan,nan,nan,nan,nan
AUDUSD,0.25-0.50,REVERSAL,0,0,nan,nan,nan,nan,nan
AUDUSD,0.50-0.75,CONTINUATION,0,0,nan,nan,nan,nan,nan
AUDUSD,0.50-0.75,REVERSAL,0,0,nan,nan,nan,nan,nan
AUDUSD,0.75-1.00,CONTINUATION,0,0,nan,nan,nan,nan,nan
AUDUSD,0.75-1.00,REVERSAL,0,0,nan,nan,nan,nan,nan
AUDUSD,1.00-1.50,CONTINUATION,8,8,0.25,0.5,0.25,1.4110858131589663,1.3745682583641299
AUDUSD,1.00-1.50,REVERSAL,8,8,0.125,0.75,0.125,0.6720287874491626,2.1112953136345385
AUDUSD,>=1.50,CONTINUATION,499,499,0.10020040080160321,0.37074148296593185,0.5290581162324649,0.7569719341523473,2.499662687563468
AUDUSD,>=1.50,REVERSAL,499,499,0.11022044088176353,0.33867735470941884,0.5511022044088176,0.9371212911827536,2.3482869637980253
EURUSD,<0.25,CONTINUATION,0,0,nan,nan,nan,nan,nan
EURUSD,<0.25,REVERSAL,0,0,nan,nan,nan,nan,nan
EURUSD,0.25-0.50,CONTINUATION,0,0,nan,nan,nan,nan,nan
EURUSD,0.25-0.50,REVERSAL,0,0,nan,nan,nan,nan,nan
EURUSD,0.50-0.75,CONTINUATION,23,23,0.2608695652173913,0.7391304347826086,0.0,1.009314811112556,1.8881601307159444
EURUSD,0.50-0.75,REVERSAL,23,23,0.43478260869565216,0.5652173913043478,0.0,1.5565807906877784,1.32348075438403
EURUSD,0.75-1.00,CONTINUATION,44,44,0.2727272727272727,0.7272727272727273,0.0,1.2491809733060166,1.4505337997161583
EURUSD,0.75-1.00,REVERSAL,44,44,0.36363636363636365,0.6363636363636364,0.0,1.0003346400948887,1.663796324266984
EURUSD,1.00-1.50,CONTINUATION,103,103,0.2912621359223301,0.6504854368932039,0.05825242718446602,1.0401264050761139,1.8495329053319502
EURUSD,1.00-1.50,REVERSAL,103,103,0.2912621359223301,0.5922330097087378,0.11650485436893204,1.2615396509190397,1.619717234392983
EURUSD,>=1.50,CONTINUATION,78,78,0.32051282051282054,0.5897435897435898,0.08974358974358974,1.4845095642938388,2.709386588161067
EURUSD,>=1.50,REVERSAL,78,78,0.3076923076923077,0.5256410256410257,0.16666666666666666,1.7514695766787511,2.46401147068954
USDCAD,<0.25,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDCAD,<0.25,REVERSAL,0,0,nan,nan,nan,nan,nan
USDCAD,0.25-0.50,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDCAD,0.25-0.50,REVERSAL,0,0,nan,nan,nan,nan,nan
USDCAD,0.50-0.75,CONTINUATION,3,3,0.3333333333333333,0.6666666666666666,0.0,0.6285729003518782,1.052778465462262
USDCAD,0.50-0.75,REVERSAL,3,3,0.3333333333333333,0.6666666666666666,0.0,0.6996726447482113,0.9965180127529776
USDCAD,0.75-1.00,CONTINUATION,28,28,0.25,0.6785714285714286,0.07142857142857142,0.8802097295839821,1.6591468177675046
USDCAD,0.75-1.00,REVERSAL,28,28,0.4642857142857143,0.5,0.03571428571428571,1.2312860290641816,1.392798652828335
USDCAD,1.00-1.50,CONTINUATION,92,92,0.2826086956521739,0.6086956521739131,0.10869565217391304,1.0321849571904127,1.645730404475179
USDCAD,1.00-1.50,REVERSAL,92,92,0.2717391304347826,0.5760869565217391,0.15217391304347827,1.0005702965948668,1.6327720342459386
USDCAD,>=1.50,CONTINUATION,523,523,0.13766730401529637,0.3881453154875717,0.47418738049713194,1.000905104187072,2.3223120939207074
USDCAD,>=1.50,REVERSAL,523,523,0.13766730401529637,0.4225621414913958,0.4397705544933078,0.8639804394828501,2.455670142358706
USDCHF,<0.25,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDCHF,<0.25,REVERSAL,0,0,nan,nan,nan,nan,nan
USDCHF,0.25-0.50,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDCHF,0.25-0.50,REVERSAL,0,0,nan,nan,nan,nan,nan
USDCHF,0.50-0.75,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDCHF,0.50-0.75,REVERSAL,0,0,nan,nan,nan,nan,nan
USDCHF,0.75-1.00,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDCHF,0.75-1.00,REVERSAL,0,0,nan,nan,nan,nan,nan
USDCHF,1.00-1.50,CONTINUATION,31,31,0.0967741935483871,0.8064516129032258,0.0967741935483871,0.5108710811717952,2.2947188075311717
USDCHF,1.00-1.50,REVERSAL,31,31,0.45161290322580644,0.3870967741935484,0.16129032258064516,1.5825646948490841,1.2023271432223022
USDCHF,>=1.50,CONTINUATION,282,282,0.11347517730496454,0.40425531914893614,0.48226950354609927,0.9172816429056898,2.236304620895684
USDCHF,>=1.50,REVERSAL,282,282,0.11702127659574468,0.4326241134751773,0.450354609929078,0.8876549859986389,2.2357661903992323
USDJPY,<0.25,CONTINUATION,0,0,nan,nan,nan,nan,nan
USDJPY,<0.25,REVERSAL,0,0,nan,nan,nan,nan,nan
USDJPY,0.25-0.50,CONTINUATION,50,50,0.5,0.5,0.0,1.407795897210609,1.280419026533171
USDJPY,0.25-0.50,REVERSAL,50,50,0.3,0.7,0.0,1.0330180418027965,1.619314413515553
USDJPY,0.50-0.75,CONTINUATION,235,235,0.2978723404255319,0.7021276595744681,0.0,1.1712602508532959,1.5443320366827396
USDJPY,0.50-0.75,REVERSAL,235,235,0.3702127659574468,0.6297872340425532,0.0,1.245366558605437,1.509182604850405
USDJPY,0.75-1.00,CONTINUATION,314,314,0.3630573248407643,0.6337579617834395,0.0031847133757961785,1.367324243447744,1.5087807720678275
USDJPY,0.75-1.00,REVERSAL,314,314,0.3184713375796178,0.6528662420382165,0.028662420382165606,1.0620944337670353,1.804753100632652
USDJPY,1.00-1.50,CONTINUATION,328,328,0.3353658536585366,0.6189024390243902,0.04573170731707317,1.3085195755467574,1.974493640288732
USDJPY,1.00-1.50,REVERSAL,328,328,0.3048780487804878,0.6463414634146342,0.04878048780487805,1.3670781877661768,1.9164692597887965
USDJPY,>=1.50,CONTINUATION,91,91,0.27472527472527475,0.5604395604395604,0.16483516483516483,1.9037693625007368,2.6519439442696835
USDJPY,>=1.50,REVERSAL,91,91,0.21978021978021978,0.6263736263736264,0.15384615384615385,1.6183370739959924,2.9298007770466454
