population,side,tp_atr,hit_count,pre_tp_mae_median,pre_tp_mae_p75,pre_tp_mae_p90,pre_tp_mae_p95
ALL,CONT,0.2,2088,0.8746431480753641,1.441374364579115,2.1985814201303504,2.798436955581178
ALL,CONT,0.3,1996,0.892787345305073,1.4477841233621855,2.206128980203517,2.781730171832877
ALL,CONT,0.4,1927,0.9215917976158406,1.4906741072794958,2.2466435296615117,2.8601569380916594
ALL,CONT,0.5,1845,0.952960363806989,1.516841235430108,2.27461710735391,2.872629646242733
ALL,REV,0.2,2114,0.8546118349670719,1.4486391982802453,2.2270328527697583,2.8387562813096903
ALL,REV,0.3,2030,0.8892209171207983,1.4940639995219698,2.2659236545010795,2.8534398991007555
ALL,REV,0.4,1932,0.925224143322943,1.5218814606739794,2.3096683873996695,2.89388383761947
ALL,REV,0.5,1843,0.9484938947922325,1.5582056198445238,2.3569903207546643,2.938491207063999
HIGH_MOVEMENT,CONT,0.2,149,0.5537191347118511,1.1010789420120446,1.3694502351024704,1.886566904658521
HIGH_MOVEMENT,CONT,0.3,145,0.5902149316443975,1.1357728565127119,1.3883659360147567,1.9272186215148939
HIGH_MOVEMENT,CONT,0.4,144,0.7576093453763956,1.1756742955198072,1.4510770066132304,1.9373815507289827
HIGH_MOVEMENT,CONT,0.5,138,0.7778635241834857,1.177093152293182,1.4864566714353593,2.035266961617674
HIGH_MOVEMENT,REV,0.2,150,0.542050643847985,0.9915145581098257,1.566024779541514,2.062489853161066
HIGH_MOVEMENT,REV,0.3,144,0.6127850167855146,1.1774244472910917,1.6806543978611939,2.1830337837732845
HIGH_MOVEMENT,REV,0.4,139,0.6228919002251755,1.2371668396052786,1.7824438691373679,2.220109958431798
HIGH_MOVEMENT,REV,0.5,134,0.6327877449109478,1.286483261035352,1.8342215127408683,2.245614905931953
FILTER_OUT,CONT,0.2,1211,0.917623250022474,1.488542214357327,2.1961232826100625,2.833819639208402
FILTER_OUT,CONT,0.3,1159,0.9331873270586676,1.4778334286683519,2.1829175123960454,2.779492455400762
FILTER_OUT,CONT,0.4,1115,0.9695531014087155,1.5127637700989633,2.2440270850986255,2.8656834194725618
FILTER_OUT,CONT,0.5,1072,1.0012817224474053,1.5341634404215212,2.2472744436780268,2.85901101839855
FILTER_OUT,REV,0.2,1234,0.8842751299177338,1.4954386431628515,2.2599718714554116,2.8758953323273895
FILTER_OUT,REV,0.3,1186,0.91645361880006,1.5350130188170792,2.3097734926530435,2.8710420161858323
FILTER_OUT,REV,0.4,1123,0.945323661096741,1.5707640231207471,2.3586617134770647,2.9606043684316052
FILTER_OUT,REV,0.5,1069,0.9760135629736603,1.6063359028282436,2.362776057853009,2.9621159143755444
