population,side,distance_atr,episodes,hit_count,hit_rate,median_seconds,p75_seconds,p90_seconds
ALL,CONT,0.1,2732,2162,0.7913616398243045,247.79,742.079,1734.6323000000004
ALL,CONT,0.2,2732,2088,0.7642752562225475,345.56550000000004,912.48725,1940.8858
ALL,CONT,0.3,2732,1996,0.7306002928257687,412.639,1029.0535,2058.7715
ALL,CONT,0.4,2732,1927,0.7053440702781845,518.263,1223.2624999999998,2252.369000000002
ALL,CONT,0.5,2732,1845,0.6753294289897511,598.837,1416.016,2386.8982
ALL,CONT,0.75,2732,1633,0.5977306002928258,799.427,1634.167,2545.8738
ALL,CONT,1.0,2732,1428,0.5226939970717424,1005.6969999999999,1887.93475,2716.2267
ALL,CONT,1.5,2732,1084,0.3967789165446559,1364.088,2252.11675,2885.8269
ALL,REV,0.1,2732,2205,0.8071010248901903,229.582,751.365,1805.2009999999993
ALL,REV,0.2,2732,2114,0.773792093704246,332.7885,919.9925000000001,1991.2301000000002
ALL,REV,0.3,2732,2030,0.7430453879941434,417.8275,1093.3690000000001,2103.8414
ALL,REV,0.4,2732,1932,0.7071742313323572,521.733,1278.316,2241.7789000000002
ALL,REV,0.5,2732,1843,0.674597364568082,593.783,1413.415,2403.4478
ALL,REV,0.75,2732,1637,0.599194729136164,823.951,1760.517,2618.16
ALL,REV,1.0,2732,1429,0.5230600292825769,1019.972,1926.445,2741.7146000000002
ALL,REV,1.5,2732,1093,0.40007320644216693,1416.179,2308.717,3019.5817999999986
ALL,EITHER,0.1,2732,2711,0.9923133235724744,115.578,296.515,645.021
ALL,EITHER,0.2,2732,2708,0.9912152269399708,173.69,405.8635,796.7554000000001
ALL,EITHER,0.3,2732,2699,0.9879209370424598,241.297,525.1845000000001,978.3215999999998
ALL,EITHER,0.4,2732,2686,0.9831625183016105,329.3845,667.0125,1268.482
ALL,EITHER,0.5,2732,2668,0.9765739385065886,399.62850000000003,829.1400000000001,1547.7080000000017
ALL,EITHER,0.75,2732,2586,0.9465592972181552,619.94,1207.1625,2030.8535000000002
ALL,EITHER,1.0,2732,2425,0.887628111273792,853.337,1582.093,2437.6889999999994
ALL,EITHER,1.5,2732,2007,0.7346266471449487,1316.264,2139.34,2853.661
HIGH_MOVEMENT,CONT,0.1,185,156,0.8432432432432433,121.2795,463.472,1626.8105
HIGH_MOVEMENT,CONT,0.2,185,149,0.8054054054054054,203.82,767.16,1952.2007999999994
HIGH_MOVEMENT,CONT,0.3,185,145,0.7837837837837838,308.549,996.626,2004.739
HIGH_MOVEMENT,CONT,0.4,185,144,0.7783783783783784,444.79949999999997,1227.41275,2377.6671
HIGH_MOVEMENT,CONT,0.5,185,138,0.745945945945946,569.524,1436.8184999999999,2488.0217
HIGH_MOVEMENT,CONT,0.75,185,115,0.6216216216216216,777.488,1725.871,2543.661
HIGH_MOVEMENT,CONT,1.0,185,102,0.5513513513513514,1030.0605,2047.2575,2606.107500000001
HIGH_MOVEMENT,CONT,1.5,185,65,0.35135135135135137,1391.392,2347.557,2774.9418
HIGH_MOVEMENT,REV,0.1,185,162,0.8756756756756757,173.46300000000002,500.64149999999995,1332.8229000000006
HIGH_MOVEMENT,REV,0.2,185,150,0.8108108108108109,253.333,693.94,1915.3303999999998
HIGH_MOVEMENT,REV,0.3,185,144,0.7783783783783784,367.769,956.27875,2089.0278
HIGH_MOVEMENT,REV,0.4,185,139,0.7513513513513513,469.11,1191.7535,2423.1262
HIGH_MOVEMENT,REV,0.5,185,134,0.7243243243243244,555.3910000000001,1347.197,2476.0436
HIGH_MOVEMENT,REV,0.75,185,122,0.6594594594594595,812.5229999999999,1692.03325,3056.132200000001
HIGH_MOVEMENT,REV,1.0,185,94,0.5081081081081081,961.0564999999999,1785.8397499999999,2730.9750000000004
HIGH_MOVEMENT,REV,1.5,185,71,0.3837837837837838,1413.809,2229.6935000000003,2907.848
HIGH_MOVEMENT,EITHER,0.1,185,185,1.0,58.016,139.102,339.97299999999996
HIGH_MOVEMENT,EITHER,0.2,185,185,1.0,114.444,249.887,552.9426
HIGH_MOVEMENT,EITHER,0.3,185,185,1.0,164.965,351.957,618.7854
HIGH_MOVEMENT,EITHER,0.4,185,185,1.0,242.029,560.177,958.4008
HIGH_MOVEMENT,EITHER,0.5,185,184,0.9945945945945946,320.6435,653.5732499999999,1312.1318999999992
HIGH_MOVEMENT,EITHER,0.75,185,176,0.9513513513513514,547.2565,1151.41825,2145.3199999999997
HIGH_MOVEMENT,EITHER,1.0,185,164,0.8864864864864865,797.885,1640.1750000000002,2489.2368999999994
HIGH_MOVEMENT,EITHER,1.5,185,124,0.6702702702702703,1343.495,2067.3379999999997,2780.7211
FILTER_OUT,CONT,0.1,1618,1262,0.7799752781211372,282.5435,751.49775,1717.3880000000006
FILTER_OUT,CONT,0.2,1618,1211,0.7484548825710754,366.358,909.7875,1832.701
FILTER_OUT,CONT,0.3,1618,1159,0.7163164400494437,437.112,997.422,1964.7722000000008
FILTER_OUT,CONT,0.4,1618,1115,0.6891223733003708,531.204,1195.9830000000002,2173.208
FILTER_OUT,CONT,0.5,1618,1072,0.6625463535228677,602.088,1348.7015000000001,2302.8344999999995
FILTER_OUT,CONT,0.75,1618,956,0.5908529048207664,812.681,1570.2492499999998,2530.7174999999997
FILTER_OUT,CONT,1.0,1618,837,0.5173053152039555,993.666,1801.429,2625.0283999999997
FILTER_OUT,CONT,1.5,1618,635,0.39245982694684795,1364.475,2186.6155,2899.5944
FILTER_OUT,REV,0.1,1618,1279,0.7904820766378244,241.638,763.201,1813.5522
FILTER_OUT,REV,0.2,1618,1234,0.7626699629171817,338.621,949.02375,2015.9202000000005
FILTER_OUT,REV,0.3,1618,1186,0.7330037082818294,425.661,1119.8895,2106.0005
FILTER_OUT,REV,0.4,1618,1123,0.6940667490729295,523.583,1311.0115,2201.4716
FILTER_OUT,REV,0.5,1618,1069,0.6606922126081582,586.788,1394.13,2339.9228000000003
FILTER_OUT,REV,0.75,1618,956,0.5908529048207664,840.249,1782.64225,2617.3495000000003
FILTER_OUT,REV,1.0,1618,842,0.5203955500618047,1017.4490000000001,1950.18775,2760.6501
FILTER_OUT,REV,1.5,1618,667,0.4122373300370828,1445.192,2372.301,3061.9303999999993
FILTER_OUT,EITHER,0.1,1618,1605,0.9919653893695921,124.499,329.656,705.5182
FILTER_OUT,EITHER,0.2,1618,1603,0.9907292954264524,184.741,439.2595,859.406
FILTER_OUT,EITHER,0.3,1618,1596,0.9864029666254636,263.62699999999995,559.4014999999999,1059.5065
FILTER_OUT,EITHER,0.4,1618,1589,0.9820766378244746,347.083,700.792,1347.3128
FILTER_OUT,EITHER,0.5,1618,1577,0.9746600741656366,412.245,849.931,1642.6754
FILTER_OUT,EITHER,0.75,1618,1531,0.946229913473424,632.155,1240.239,2089.096
FILTER_OUT,EITHER,1.0,1618,1436,0.8875154511742892,858.6990000000001,1551.15175,2406.7155000000002
FILTER_OUT,EITHER,1.5,1618,1203,0.7435105067985167,1333.607,2157.54,2922.898
