day,offset_atr,eligible,triggered,no_entry,ambiguous
2025-04-01,0.02,3,2,0,1
2025-04-01,0.05,3,2,0,1
2025-04-01,0.1,3,3,0,0
2025-04-02,0.02,17,4,0,13
2025-04-02,0.05,17,5,0,12
2025-04-02,0.1,17,8,0,9
2025-04-03,0.02,59,13,0,46
2025-04-03,0.05,59,22,0,37
2025-04-03,0.1,59,50,0,9
2025-04-04,0.02,241,38,0,203
2025-04-04,0.05,241,99,0,142
2025-04-04,0.1,241,181,0,60
2025-04-07,0.02,338,69,0,269
2025-04-07,0.05,338,140,0,198
2025-04-07,0.1,338,261,0,77
2025-04-08,0.02,233,31,0,202
2025-04-08,0.05,233,52,0,181
2025-04-08,0.1,233,122,0,111
2025-04-09,0.02,349,59,0,290
2025-04-09,0.05,349,125,0,224
2025-04-09,0.1,349,244,1,104
2025-04-10,0.02,264,33,0,231
2025-04-10,0.05,264,61,0,203
2025-04-10,0.1,264,160,0,104
2025-04-11,0.02,334,64,0,270
2025-04-11,0.05,334,142,0,192
2025-04-11,0.1,334,249,0,85
2025-04-14,0.02,202,17,0,185
2025-04-14,0.05,202,39,0,163
2025-04-14,0.1,202,99,0,103
2025-04-15,0.02,132,12,0,120
2025-04-15,0.05,132,23,0,109
2025-04-15,0.1,132,54,0,78
2025-04-16,0.02,170,15,0,155
2025-04-16,0.05,170,35,0,135
2025-04-16,0.1,170,70,0,100
2025-04-17,0.02,148,11,0,137
2025-04-17,0.05,148,15,0,133
2025-04-17,0.1,148,42,0,106
2025-04-18,0.02,145,2,0,143
2025-04-18,0.05,145,4,0,141
2025-04-18,0.1,145,6,0,139
2025-04-21,0.02,192,6,0,186
2025-04-21,0.05,192,13,0,179
2025-04-21,0.1,192,41,0,151
2025-04-22,0.02,190,8,0,182
2025-04-22,0.05,190,14,0,176
2025-04-22,0.1,190,56,0,134
2025-04-23,0.02,249,32,0,217
2025-04-23,0.05,249,60,0,189
2025-04-23,0.1,249,130,0,119
2025-04-24,0.02,169,17,0,152
2025-04-24,0.05,169,21,0,148
2025-04-24,0.1,169,53,0,116
2025-04-25,0.02,139,13,0,126
2025-04-25,0.05,139,19,0,120
2025-04-25,0.1,139,40,0,99
2025-04-28,0.02,121,14,0,107
2025-04-28,0.05,121,16,0,105
2025-04-28,0.1,121,30,0,91
2025-04-29,0.02,127,6,0,121
2025-04-29,0.05,127,12,0,115
2025-04-29,0.1,127,31,0,96
2025-04-30,0.02,145,15,0,130
2025-04-30,0.05,145,22,0,123
2025-04-30,0.1,145,42,0,103
