offset_index,offset_atr,tp_index,tp_atr,sl_index,sl_atr,bootstrap_replicates,seed,market_clusters,mean_gross_r,gross_ci_low_r,gross_ci_high_r,mean_net_02_r,net_02_ci_low_r,net_02_ci_high_r
0,0.02,0,0.02,0,0.1,10000,20260908,445,-2.410066003799819,-2.774979217811788,-2.1271645078492267,-2.6104340090850555,-2.9804801279880917,-2.320839493202244
0,0.02,0,0.02,1,0.2,10000,20260908,445,-1.195437646537416,-1.3770497441483085,-1.0499795247026389,-1.2956216491696706,-1.4810290746758543,-1.14661258989394
0,0.02,0,0.02,2,0.3,10000,20260908,445,-0.8012916344662953,-0.9313702930391828,-0.6947222421935305,-0.868080969553859,-1.000971545228387,-0.7589069985102515
0,0.02,0,0.02,3,0.5,10000,20260908,445,-0.4923537576762786,-0.576654563653268,-0.41807356551997765,-0.5324273587061062,-0.6183385505168674,-0.45723015243265547
0,0.02,0,0.02,4,0.75,10000,20260908,445,-0.35232514837089607,-0.4146299343190816,-0.2947725578150374,-0.3790408823902231,-0.44223648425166384,-0.3208660761366283
0,0.02,0,0.02,5,1.0,10000,20260908,445,-0.2630953900504574,-0.31550587641786765,-0.21525811805985973,-0.2831321905656718,-0.33627647932077914,-0.2347540904680515
0,0.02,1,0.03,0,0.1,10000,20260908,445,-2.4132359208337735,-2.7756779930439026,-2.1319272768971778,-2.613603926098388,-2.982773648798673,-2.3244371608879524
0,0.02,1,0.03,1,0.2,10000,20260908,445,-1.1934771804919126,-1.379818993865635,-1.0433463947811799,-1.2936611830681874,-1.483459938747685,-1.140083922604828
0,0.02,1,0.03,2,0.3,10000,20260908,445,-0.8020027942086507,-0.9253670207040524,-0.695997654880629,-0.8687921292568243,-0.9939820615392032,-0.7607230315961593
0,0.02,1,0.03,3,0.5,10000,20260908,445,-0.5013364916804511,-0.5879907567269933,-0.42763933747383126,-0.5414100927104997,-0.6291146248215052,-0.4665244209442784
0,0.02,1,0.03,4,0.75,10000,20260908,445,-0.3581660197780519,-0.42306679240133443,-0.30044192694365024,-0.3848817538009273,-0.4505138885340861,-0.3261478906209184
0,0.02,1,0.03,5,1.0,10000,20260908,445,-0.26819834173157386,-0.3206007368430774,-0.22005630658415,-0.28823514224885466,-0.34109166428288923,-0.2396460373079875
0,0.02,2,0.05,0,0.1,10000,20260908,445,-2.4076652066383577,-2.754812741244925,-2.122892817565812,-2.6080332118778955,-2.9615056514125793,-2.315598992386188
0,0.02,2,0.05,1,0.2,10000,20260908,445,-1.1881398021612266,-1.3733687833489734,-1.0371738330574092,-1.2883238047372223,-1.4774412720308987,-1.1335098287647491
0,0.02,2,0.05,2,0.3,10000,20260908,445,-0.804924658042948,-0.935712836897086,-0.6963919163315629,-0.8717139930813903,-1.0044665713158238,-0.7610927487003336
0,0.02,2,0.05,3,0.5,10000,20260908,445,-0.4984275805287671,-0.5837052417498573,-0.4231112185477744,-0.5385011815475862,-0.6245729590830372,-0.4624714111039166
0,0.02,2,0.05,4,0.75,10000,20260908,445,-0.35383364117943866,-0.41853480672156596,-0.2944571369296922,-0.3805493752021672,-0.446140847315305,-0.32061107019772755
0,0.02,2,0.05,5,1.0,10000,20260908,445,-0.25935632733239916,-0.3121586497456358,-0.2100215069898799,-0.27939312784286713,-0.33267008718266067,-0.22943700983780516
0,0.02,3,0.075,0,0.1,10000,20260908,445,-2.4004434703013056,-2.7725899193411974,-2.110623679067532,-2.600811475585316,-2.981027387640419,-2.3018591227463805
0,0.02,3,0.075,1,0.2,10000,20260908,445,-1.1740608043704261,-1.3622911991388174,-1.021861241477598,-1.2742448069861607,-1.4663813102936214,-1.118619646652257
0,0.02,3,0.075,2,0.3,10000,20260908,445,-0.7933695255836984,-0.9255297881947083,-0.6853415784726435,-0.860158860657545,-0.9956916652590841,-0.7499864850115087
0,0.02,3,0.075,3,0.5,10000,20260908,445,-0.49539181422534717,-0.5818651664531047,-0.41717615421403037,-0.5354654152482758,-0.6232172417068893,-0.4559224828901199
0,0.02,3,0.075,4,0.75,10000,20260908,445,-0.35198941427279834,-0.4177402343755807,-0.289956206641332,-0.378705148279923,-0.4452780372450359,-0.3162207613954821
0,0.02,3,0.075,5,1.0,10000,20260908,445,-0.2581334187321954,-0.3116089596091724,-0.2083558391303336,-0.27817021923514107,-0.33204065235093505,-0.22806547805377556
0,0.02,4,0.1,0,0.1,10000,20260908,445,-2.3949708675531167,-2.7592524502843996,-2.1132713853554588,-2.5953388728180635,-2.9645295178343347,-2.3050794797071625
0,0.02,4,0.1,1,0.2,10000,20260908,445,-1.1659983622813848,-1.3523687565757456,-1.012383384545715,-1.2661823648893247,-1.4558397416849191,-1.1096882696536983
0,0.02,4,0.1,2,0.3,10000,20260908,445,-0.7924351889514968,-0.9258430978851091,-0.6779890588156161,-0.8592245240426499,-0.9943792331682305,-0.7428409593020574
0,0.02,4,0.1,3,0.5,10000,20260908,445,-0.49142553785011023,-0.5808166389984007,-0.4121095791599623,-0.5314991388872783,-0.6216161648862705,-0.45100024712504355
0,0.02,4,0.1,4,0.75,10000,20260908,445,-0.3474575749498566,-0.4144863624057636,-0.28652117819953316,-0.3741733089889403,-0.4421420754807362,-0.3123282596244454
0,0.02,4,0.1,5,1.0,10000,20260908,445,-0.25475143925311644,-0.30977237952950526,-0.2034737642545234,-0.2747882397890606,-0.3301363987528043,-0.22325429629078172
0,0.02,5,0.15,0,0.1,10000,20260908,445,-2.386494263585767,-2.7445517192750204,-2.1022899834723017,-2.586862268824967,-2.9532505241562546,-2.2934839464479544
0,0.02,5,0.15,1,0.2,10000,20260908,445,-1.1717465330626031,-1.3615760775688368,-1.01880522574589,-1.2719305356703392,-1.4651510566040484,-1.1156837506324044
0,0.02,5,0.15,2,0.3,10000,20260908,445,-0.8040395828735883,-0.9337232454545642,-0.6913058456706322,-0.8708289179446786,-1.0032216165846202,-0.7557464467787817
