atr_ratio,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0.85-1.1,2,2,0,100.0,1.3706170000000002,inf,2.7412340000000004,1.3706170000000002,0.0,3.55
1.1-1.2,1,0,1,0.0,-1.0,0.0,-1.0,0.0,-1.0,-0.9
1.2-1.45,25,10,15,40.0,-0.13316784,0.7625033314633383,-3.329196,1.0688668,-0.9345242666666668,-3.280000000000001
1.45-1.6,26,16,10,61.53846153846154,0.3930870384615385,2.2452517469932887,10.220263000000001,1.1517281250000002,-0.8207386999999999,11.34
1.6-1.8,15,8,7,53.333333333333336,0.26101493333333337,1.727479615942468,3.9152240000000003,1.16214075,-0.7688431428571428,4.77
